nquest,nord,sex,parent,anasc,cit,aningr,staciv,studio,tipolau,VOTOEDU,SUEDU,annoedu,tipodip,univer,selode,motiv,apqual,asnonoc,nace,nordp,motent,annoenus,NASCREG,NASCAREA,ireg,NCOMP,ETA,CLETA5,QUAL,Q,SETT,PERC,NPERC,CFRED,AREA3,AREA5,ACOM4C,PESOFIT,ISCO
173,1,1,1,1948,1,,3,5,,44,60,1968,2,2,0,,15,2,10,1,,,18,3,18,1,66,5,6,3,5,1,1,1,3,4,2,0.2966792942,
375,1,2,1,1925,1,,4,2,,,,,,,,,16,,,1,,,16,3,16,1,89,5,6,3,5,1,1,1,3,4,2,1.2056198801,
633,1,2,1,1934,1,,4,2,,,,,,,,,15,1,3,1,,,5,1,5,1,80,5,6,3,5,1,1,1,1,2,1,0.3163464682,
923,1,2,1,1932,1,,4,2,,,,,,,,,16,,,1,,,13,3,13,1,82,5,6,3,5,1,1,1,3,4,2,0.2251784523,
1367,1,1,1,1927,1,,1,2,,,,,,,,,15,1,7,1,,,18,3,18,2,87,5,6,3,5,1,2,1,3,4,2,0.2938701225,
1367,2,2,2,1930,1,,1,1,,,,,,,,,15,1,7,2,,,18,3,18,2,84,5,6,3,5,1,2,0,3,4,2,0.2938701225,
1763,1,1,1,1947,1,,1,2,,,,,,,,,15,1,3,1,,,17,3,17,2,67,5,6,3,5,1,1,1,3,4,0,1.8281784194,
1763,2,2,2,1954,1,,1,2,,,,,,,,,12,1,1,2,,,17,3,17,2,60,4,7,3,5,0,1,0,3,4,0,1.8281784194,
1927,1,2,1,1933,1,,4,3,,,,,,,,,16,,,1,,,5,1,5,1,81,5,6,3,5,1,1,1,1,2,2,1.5202143489,
1946,1,1,1,1953,1,,2,5,,38,60,1977,2,2,0,,16,,,1,,,5,1,5,1,61,4,6,3,5,1,1,1,1,2,2,0.2759956887,
2886,1,1,1,1949,1,,1,5,,37,60,1970,2,1,0,,15,2,15,1,,,13,3,13,3,65,5,6,3,5,1,2,0,3,4,2,0.2406094005,
2886,2,2,2,1952,1,,1,6,10,110,110,2002,5,,1,,2,,17,2,,,13,3,13,3,62,4,2,1,3,1,2,1,3,4,2,0.2406094005,3.2
2886,3,1,6,1977,1,,2,5,,56,60,1996,2,1,0,,11,,,3,,,13,3,13,3,37,2,7,3,5,0,2,0,3,4,2,0.2406094005,
3717,1,2,1,1954,1,,2,5,,96,100,1973,3,2,0,,8,,16,1,,,16,3,16,1,60,4,5,2,3,1,1,1,3,4,2,0.494415659,
5416,1,2,1,1958,1,,3,2,,,,,,,,,1,,19,1,,,20,3,8,5,56,4,1,1,4,1,4,1,1,2,2,0.8318736433,8.1
5416,2,2,7,1979,1,,2,5,,68,100,1998,2,2,0,,1,,19,2,,,8,1,8,5,35,2,1,1,4,1,4,0,1,2,2,0.8318736433,8.1
5416,3,1,7,1981,1,,2,3,,,,,,,,,1,,19,3,,,8,1,8,5,33,1,1,1,4,1,4,0,1,2,2,0.8318736433,8.1
5416,4,2,7,1991,1,,2,3,,,,,,,,,1,,9,4,,,8,1,8,5,23,1,1,1,4,1,4,0,1,2,2,0.8318736433,5.2
5416,5,2,9,2011,1,,2,1,,,,,,,,,18,,,5,,,8,1,8,5,3,1,7,3,5,0,4,0,1,2,2,0.8318736433,
7886,1,1,1,1950,1,,1,5,,48,60,1969,2,2,0,,15,2,11,1,,,9,2,9,2,64,4,6,3,5,1,2,1,2,3,0,0.755472279,
7886,2,2,2,1953,1,,1,5,,45,60,1974,2,2,0,,2,,17,2,,,9,2,9,2,61,4,2,1,3,1,2,0,2,3,0,0.755472279,4.1
11972,1,2,1,1948,1,,1,2,,,,,,,,,15,9,7,1,,,16,3,17,2,66,5,6,3,5,1,2,1,3,4,2,0.2295881754,
11972,2,1,2,1938,1,,1,2,,,,,,,,,15,9,7,2,,,16,3,17,2,76,5,6,3,5,1,2,0,3,4,2,0.2295881754,
20297,1,1,1,1960,1,,1,3,,,,,,,,,16,,,1,,,5,1,5,2,54,3,6,3,5,1,2,1,1,2,2,3.3040144261,
20297,2,2,2,1979,2,2007,1,3,,,,,,,,4,1,,9,2,,,,,5,2,35,2,1,1,4,1,2,0,1,2,2,3.3040144261,5.2
20711,1,2,1,1945,1,,1,3,,,,,,,,,13,,,1,,,4,1,4,2,69,5,7,3,5,0,1,0,1,2,0,1.3943289362,
20711,2,1,2,1944,1,,1,2,,,,,,,,,15,1,6,2,,,4,1,4,2,70,5,6,3,5,1,1,1,1,2,0,1.3943289362,
