AREA5,ACOM,SESSO,ETA,NCOMP,D3d,D1d,D2d,D1,D2,D3,D4,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,MODOINT,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,PESO,ID
4,1,2,74,2,2,7,,2,4,3,4,3,3,4,4,4,3,2,4,2,3,2,1,1,,,,,,,26758.8921765215,10001
3,1,1,32,3,5,1,9,4,2,2,1,3,3,2,2,1,3,2,2,4,2,3,1,1,0,1,0,1,0,0,16020.100342817,10002
1,2,1,67,2,4,7,,5,2,2,2,3,4,4,4,4,3,1,3,2,2,1,1,1,0,1,0,1,0,0,3612.61023653722,10003
3,5,2,50,1,6,5,7,5,1,1,4,4,4,2,3,4,3,1,3,4,3,1,2,1,,,,,,,17286.8614209894,10004
5,4,1,75,1,3,7,,2,3,4,6,3,4,4,4,4,3,2,4,2,2,1,1,1,,,,,,,21430.1172749495,10005
2,5,2,89,2,2,7,,3,2,2,2,3,4,4,4,4,3,1,4,2,1,2,1,1,0,1,1,0,0,0,26124.0867718833,10006
4,1,1,63,3,4,1,9,1,1,2,1,4,3,3,4,4,3,1,2,2,2,1,5,1,0,0,0,1,0,0,24954.5444328964,10007
5,4,1,75,2,3,7,,4,2,3,4,3,3,4,4,3,2,2,2,2,1,2,5,1,,,,,,,20101.1301642496,10008
2,3,2,50,3,3,4,1,2,2,3,6,3,4,1,1,4,3,1,3,2,2,1,1,1,,,,,,,25618.9709564643,10009
2,5,1,69,1,4,7,,4,2,2,3,4,4,4,4,4,3,1,3,3,2,1,1,1,1,0,0,1,0,0,2523.87496268334,10010
1,5,1,51,3,4,1,3,4,3,4,2,4,4,1,4,4,3,1,3,3,2,2,6,1,1,0,0,0,0,0,9261.79534965535,10011
2,5,2,74,2,4,7,,2,2,2,2,3,4,1,1,4,3,1,3,2,1,1,1,1,0,1,0,1,0,0,3122.60871274306,10012
4,4,1,38,4,3,1,4,4,6,4,3,3,5,3,4,4,3,1,4,1,1,3,1,1,0,0,1,0,0,0,68974.2792480062,10013
3,5,1,55,1,3,1,6,2,3,5,3,3,4,3,2,4,3,1,2,3,3,1,5,1,0,0,0,0,1,0,44329.4522255189,10014
2,1,2,62,2,4,7,,2,2,2,1,3,4,1,4,3,2,1,3,3,2,1,1,1,0,1,0,1,0,0,23572.0464775594,10015
2,5,2,89,1,4,7,,5,3,2,4,3,4,4,4,3,3,2,4,2,3,2,2,1,,,,,,,2131.57633461985,10016
4,5,1,76,2,3,7,,5,1,2,3,4,3,4,1,4,3,2,2,2,1,1,5,1,0,1,0,1,0,0,17398.3649843657,10017
1,5,1,81,1,2,7,,2,1,4,5,3,5,3,4,4,3,2,4,2,1,2,1,1,0,1,0,0,0,0,70304.3086007169,10018
1,4,1,57,4,5,1,6,2,3,4,2,2,5,3,4,3,3,1,4,1,1,2,4,1,1,0,1,0,0,0,31691.8786960743,10019
1,1,1,51,4,4,1,2,2,2,2,2,3,3,3,1,3,3,1,4,2,2,1,5,1,0,1,1,0,0,0,5024.9461100178,10020
1,4,1,31,3,5,1,2,1,1,3,2,4,3,3,1,3,2,2,3,4,2,1,7,1,0,0,1,1,0,0,16186.0562988964,10021
3,5,2,19,4,4,8,,4,3,2,1,4,3,3,2,3,2,2,2,2,1,1,5,1,0,1,0,1,0,0,35402.9723947772,10022
4,3,2,21,4,5,1,98,4,3,2,4,2,3,1,1,1,2,2,2,3,1,2,5,1,,,,,,,13750.1254618284,10023
1,1,2,40,4,3,6,,5,2,1,4,4,2,2,1,1,3,2,2,2,2,1,1,1,,,,,,,38350.9976726574,10024
4,3,2,68,2,4,7,,5,1,1,1,5,4,4,3,3,3,2,1,5,2,1,5,1,0,1,0,1,0,0,2496.03224598012,10025
3,4,2,68,3,3,7,,2,3,2,4,3,3,2,4,4,3,2,1,2,1,3,1,1,,,,,,,6292.7219681584,10026
3,5,1,50,4,6,3,5,4,1,4,4,3,4,2,1,4,2,2,3,3,3,1,1,1,,,,,,,10263.5122507808,10027
2,4,2,68,2,4,7,,5,1,2,2,3,4,4,4,4,3,1,3,2,2,1,2,1,0,1,0,1,0,0,3476.70984907572,10028
3,5,2,69,2,3,7,,3,2,2,2,3,2,4,4,4,3,2,1,2,1,1,5,1,0,0,0,1,1,0,8100.21144155115,10029
3,5,1,56,1,4,5,4,6,1,3,1,3,3,4,4,4,3,1,1,2,1,2,1,1,0,1,0,1,0,0,63660.2857166177,10030
3,5,2,78,2,3,98,,2,4,4,4,3,5,4,4,4,3,1,4,2,2,1,1,1,,,,,,,13870.237348849,10031
4,2,2,30,4,5,1,7,3,2,4,1,3,2,1,2,4,3,1,3,4,2,3,7,1,0,1,1,0,0,0,12732.3845283143,10032
4,4,2,75,3,6,7,,4,1,2,4,3,4,1,2,4,3,1,4,1,2,2,1,1,,,,,,,5570.67016876389,10033
3,4,1,50,4,4,5,3,2,2,3,3,4,3,2,3,4,3,1,3,5,3,1,1,1,0,1,0,1,0,0,5731.53495295681,10034
2,5,2,65,2,3,7,,4,3,4,4,3,3,4,4,3,2,2,3,2,1,1,5,1,,,,,,,7275.78128177016,10035
3,5,1,84,1,4,7,,1,3,4,1,3,5,4,4,4,3,1,4,2,3,1,2,1,0,1,0,0,1,0,2809.8568039453,10036
1,3,1,70,2,4,7,,4,4,4,4,3,6,4,4,4,3,1,4,2,1,3,3,1,,,,,,,4246.7777690343,10037
2,1,2,75,2,2,7,,3,3,3,2,3,4,4,4,4,3,2,3,2,2,1,5,1,0,1,0,0,0,0,19944.7078112111,10038
4,4,1,41,4,5,1,2,5,2,3,2,3,3,1,4,3,2,1,3,3,2,1,5,1,0,0,0,1,1,0,56086.3268678127,10039
2,3,2,50,4,5,5,98,5,3,2,1,3,6,3,4,4,2,1,4,2,1,2,1,1,1,0,0,0,0,0,13899.3311430259,10040
2,1,1,73,2,6,7,,2,2,3,4,3,6,4,4,4,3,1,1,2,1,2,1,1,,,,,,,4226.1152333087,10041
2,1,2,53,3,4,3,2,1,1,2,1,3,4,3,1,4,3,2,4,2,1,1,1,1,0,1,0,1,0,0,6479.59366986062,10042
1,1,1,45,4,4,1,4,5,1,1,3,4,3,2,2,2,1,2,1,5,3,1,5,1,0,1,0,1,0,0,5024.9461100178,10043
4,2,1,63,2,6,5,8,2,3,2,4,1,5,1,4,4,3,1,2,2,2,2,2,1,,,,,,,55957.8883101971,10044
2,3,2,70,3,2,7,,6,1,2,1,4,2,1,2,1,1,2,2,3,2,1,1,1,0,1,0,1,0,0,29086.5356918648,10045
2,4,2,56,3,3,6,,4,2,4,1,3,3,2,4,4,3,1,4,2,1,2,1,1,0,1,0,0,0,0,19133.6398126539,10046
1,3,1,40,4,4,1,5,4,1,3,1,4,3,1,3,4,3,2,2,4,3,3,6,1,0,1,0,0,0,0,28390.6818730335,10047
2,2,1,72,2,4,7,,5,1,2,2,3,3,4,4,4,3,1,3,2,2,1,5,1,1,0,0,1,0,0,2822.74127257518,10048
3,5,2,50,2,3,98,,4,2,1,1,5,3,1,2,4,3,2,3,4,3,1,5,1,1,1,0,0,0,0,33413.1219851533,10049
2,4,2,25,3,4,1,4,3,2,4,2,4,4,1,4,3,2,1,3,3,2,3,5,1,0,1,0,1,0,0,13367.6950064977,10050
3,3,2,73,2,3,7,,4,3,5,4,3,3,4,4,3,2,2,2,2,1,2,5,1,,,,,,,11086.2182253172,10051
4,4,1,69,4,7,7,,6,2,3,5,3,4,2,4,4,2,1,3,3,1,1,1,1,0,1,0,1,0,0,3867.54014963265,10052
3,4,1,78,2,2,7,,2,2,1,4,3,3,4,4,4,3,1,3,2,2,2,1,1,,,,,,,29323.6282409798,10053
1,1,2,52,4,4,6,,2,2,3,1,3,4,2,3,4,3,2,3,5,1,1,1,1,0,1,0,1,0,0,1985.23586283469,10054
3,1,1,68,2,2,7,,4,2,1,1,5,3,4,4,4,3,2,3,2,2,1,5,1,1,1,0,0,0,0,30737.2247492022,10055
4,4,2,58,5,4,6,,4,2,2,4,3,3,1,1,4,3,2,3,2,1,1,5,1,,,,,,,4796.70263905393,10056
2,5,2,70,1,4,7,,2,3,1,1,5,1,2,4,4,3,2,4,2,2,1,1,1,0,1,0,0,0,0,3122.60871274306,10057
3,5,2,70,2,4,98,,2,2,4,3,3,4,4,4,4,3,1,4,2,1,1,2,1,0,1,0,1,0,0,4063.54569276289,10058
1,4,2,59,2,3,2,4,5,1,3,4,3,4,1,1,4,3,1,4,3,1,2,1,1,,,,,,,43020.6786889767,10059
3,2,2,70,2,2,7,,2,1,2,1,3,3,1,2,4,3,2,1,2,3,3,1,1,0,1,0,0,1,0,17714.8497257599,10060
3,1,2,69,2,2,7,,3,3,3,3,3,2,1,2,3,2,2,2,3,2,2,1,1,0,0,0,1,0,0,23346.0484923893,10061
3,4,2,43,3,4,2,8,5,2,3,1,4,2,1,2,3,2,2,2,4,2,1,5,1,0,0,1,1,0,0,23922.094567094,10062
3,4,2,67,2,4,7,,4,2,3,2,3,4,4,4,4,3,1,3,2,2,2,2,1,0,1,0,1,0,0,3247.91517151862,10063
4,1,2,53,5,3,1,4,2,2,2,1,3,1,2,4,1,1,2,2,3,1,1,5,1,0,1,0,0,0,0,19452.1881807967,10064
3,4,2,66,2,3,7,,5,1,3,1,4,3,4,4,4,3,2,2,2,2,1,2,1,0,1,0,0,1,0,25860.1826382967,10065
1,3,2,29,3,6,1,9,2,2,3,1,4,3,3,1,3,1,1,3,3,2,1,1,1,1,0,1,0,0,0,15365.697546963,10066
4,4,2,68,2,4,7,,4,2,1,3,4,3,4,4,4,3,2,2,3,2,1,5,1,0,1,0,1,0,0,4687.25509594677,10067
3,4,2,77,2,6,7,,2,1,3,2,3,5,4,4,4,3,1,4,2,2,2,2,1,0,1,0,0,0,0,3520.2036918152,10068
2,4,2,67,2,4,7,,5,2,5,3,3,3,4,4,3,2,2,3,2,1,1,5,1,0,1,0,1,0,0,2131.57633461985,10069
5,4,2,72,1,4,7,,2,3,3,2,3,4,3,4,4,3,2,3,2,2,2,1,1,0,1,0,1,0,0,5302.36572070236,10070
3,5,2,75,1,2,7,,2,6,1,6,3,3,4,4,4,3,2,2,2,2,2,2,1,,,,,,,11493.7466088576,10071
1,2,2,49,4,4,1,9,2,1,2,2,3,3,3,4,3,2,2,4,2,2,2,2,1,0,1,1,0,0,0,5434.36265720775,10072
1,1,2,70,2,2,7,,2,2,3,4,3,3,4,4,4,3,2,2,2,2,2,1,1,,,,,,,21059.9666712351,10073
2,3,1,71,2,3,7,,3,3,3,4,3,4,4,4,4,3,1,1,2,1,2,5,1,,,,,,,11787.8462649711,10074
4,4,2,71,1,1,7,,4,2,2,4,3,2,4,4,4,3,1,3,2,2,2,1,1,,,,,,,49972.6307308721,10075
2,4,1,80,2,6,7,,5,1,3,6,3,5,1,4,4,3,2,2,2,2,2,5,1,,,,,,,4106.73635652302,10076
3,3,2,61,3,4,6,,4,1,3,4,5,3,1,2,2,3,1,4,4,1,1,1,1,,,,,,,3543.16499175423,10077
4,4,1,75,2,3,7,,3,2,4,4,3,3,4,4,4,3,1,1,2,2,1,1,1,,,,,,,18944.0773596654,10078
3,3,2,79,2,2,7,,5,1,2,6,4,5,4,2,4,3,2,3,4,2,1,5,1,,,,,,,24765.7296248952,10079
1,5,1,67,2,4,7,,2,4,3,4,3,5,3,4,4,3,2,3,2,1,2,2,1,,,,,,,8403.46491355516,10080
3,1,1,72,2,4,7,,4,2,3,2,3,5,4,4,4,3,1,3,2,2,2,1,1,0,1,1,0,0,0,3304.12455526619,10081
3,3,2,75,2,1,7,,5,3,3,3,3,2,2,4,4,3,2,3,2,1,3,1,1,0,1,0,0,0,0,24765.7296248952,10082
2,4,2,54,3,4,1,2,4,1,2,1,3,5,2,4,4,3,1,3,2,2,1,3,1,1,1,0,0,0,0,6296.55876162148,10083
1,4,2,57,1,6,6,,2,2,3,2,3,4,1,4,4,3,1,3,2,1,2,4,1,0,1,1,0,0,0,6140.94002021512,10084
2,4,1,52,3,4,1,9,3,3,3,3,3,5,1,4,3,3,2,3,2,1,2,5,1,1,0,0,0,0,0,6233.25431850593,10085
5,4,2,32,3,4,2,4,4,4,5,5,5,4,1,3,4,3,2,3,4,2,1,1,1,1,0,0,1,0,0,22793.6833467767,10086
3,2,1,54,2,3,1,3,2,1,4,4,3,4,3,4,3,3,1,4,2,1,1,3,1,,,,,,,14427.4878704483,10087
2,3,2,73,2,2,7,,3,2,2,2,3,4,4,4,4,3,2,4,2,2,2,1,1,0,1,0,1,0,0,24401.2639617991,10088
1,1,2,78,1,3,2,2,2,2,2,2,2,2,2,3,4,3,2,2,2,2,1,2,1,0,0,0,0,1,0,4571.79022939224,10089
