SESSO,ETA,NCOMP,NSESSOM,NSESSOF,NCOMP13,NCOMP1417,NCOMP1844,NCOMP4554,NCOMP5564,NCOMP65,A01,A02,A03,A04,A05,A06,A08,A10,A11,A12,A13,A14,A15,A16_1,A16A_1,A16_2,A16A_2,A16_3,A16A_3,A16A_4,A16A_5,A16A_6,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44_1,A44_2,A44_3,A44_4,A44_5,A45_1_1,A45_2_1,A45_3_1,A45_4_1,A45_5_1,A45_1_2,A45_2_2,A45_3_2,A45_4_2,A45_5_2,A45_1_3,A45_2_3,A45_3_3,A45_4_3,A45_5_3,A45_1_4,A45_2_4,A45_3_4,A45_4_4,A45_5_4,AREA5,ACOM,Y_MONTH,PANEL,PESO,pesopanel,TITOLO,A07,A09,ID
2,74,1,0,1,0,0,0,0,0,1,4,5,1,10,1,7,1,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,1,2,,2,,3,2,,3,3,2,3,3,4,,2,2,,2,,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,2,25222.0333285237,,3,1,0,30043
1,51,4,2,2,0,0,2,2,0,0,4,3,2,,4,99,0,1,1,2,0,,0,2,2,2,2,2,2,2,2,2,1,2,,1,1,,2,2,,1,1,1,2,,2,2,,,,1,1,,2,,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,11,2,4312.25544106886,,3,1,1,30059
2,82,1,0,1,0,0,0,0,0,1,2,2,2,,9,99,,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,6,2,,2,,4,2,,1,2,,,,4,,3,2,,1,1,2,1,3,3,1,3,3,3,3,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,3,5,12,1,18466.5298964127,47195.9577219402,4,0,0,30070
1,54,5,2,3,0,0,2,2,0,1,4,5,1,9,2,8,0,1,4,98,1,,1,2,2,1,2,2,2,1,1,2,3,2,,4,,,1,2,,2,,2,3,3,2,3,3,2,1,3,1,,2,,2,,3,2,2,3,3,3,3,3,3,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,5,1,98,2,4331.44673962589,,3,1,2,30091
1,51,4,1,3,0,1,2,1,0,0,2,2,2,,2,99,0,2,,98,0,,,2,2,2,2,2,2,2,2,2,3,1,,1,3,,4,2,,2,,3,2,,1,2,,,,4,,3,1,1,,,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,13,1,4669.81033508114,17747.2114152586,3,1,0,30098
1,72,3,1,2,0,0,1,0,0,2,4,4,1,5,2,7,,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,4,2,,2,,4,2,,1,2,,,,4,,3,2,,2,,2,2,2,1,1,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,12,2,6836.50168007919,,3,0,0,30111
2,56,2,1,1,0,0,0,1,1,0,3,3,9,,3,5,2,4,,,,,2,1,2,2,2,2,2,2,2,2,2,3,,3,,1,2,3,2,2,,2,3,3,3,3,3,2,2,2,2,,2,,1,3,3,3,2,2,2,2,2,2,3,4,3,2,1,2,2,2,2,2,4,4,3,2,2,1,4,4,1,9,2,5127.03784338984,,4,2,1,30127
2,67,3,1,2,1,0,1,0,0,1,1,1,2,,2,2,,4,,,,,,2,2,2,2,1,1,1,2,2,1,2,2,3,,2,1,2,,2,,1,2,,2,2,,,,4,,1,2,,2,,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,2,9017.71281400752,,3,0,0,30129
1,41,1,1,0,0,0,1,0,0,0,3,3,2,,2,99,0,1,1,5,50,,,2,1,2,2,2,2,2,2,2,1,2,,2,,,4,2,,2,,3,3,1,2,3,2,2,1,4,,3,2,,1,4,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,7,1,17465.5459884066,48207.0662830061,4,1,0,30133
2,45,1,0,1,0,0,0,1,0,0,9,9,9,,9,99,1,6,,,,,,2,2,2,2,2,2,2,2,2,1,3,,1,3,,2,3,4,2,,1,3,4,3,3,4,3,3,4,,3,2,,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,98,1,18337.1920147708,47916.5995255671,3,1,0,30155
