nquest,nord,INTPER,attivp,partime,contratt,tuttanno,mesilav,dimaz,oretot,pstra,orestra,ylm,integ,ylnm
2886,2,2,1,1,1,1,12,8,36,1,1,22500,1,380
5416,1,1,1,2,1,1,12,1,30,2,,10000,2,0
5416,2,2,1,2,1,1,12,2,35,2,,9000,2,0
5416,3,1,1,1,2,2,8,2,40,2,,8000,2,0
5416,4,1,1,2,1,1,12,1,20,2,,8000,2,0
7886,2,2,1,2,1,1,12,1,20,2,,7500,2,0
20297,2,1,1,2,1,2,9,1,24,2,,6300,2,0
21384,3,1,1,1,2,2,6,2,40,2,,4500,2,0
22277,1,1,1,1,1,1,12,8,36,1,1,16900,2,0
22657,1,1,1,1,1,1,12,8,36,1,2,20800,2,0
22657,2,1,1,2,2,1,12,1,10,2,,6000,2,0
23797,1,1,1,1,1,1,12,1,48,2,,16500,2,0
23823,2,1,1,1,1,1,12,1,44,2,,14000,2,0
24147,2,2,1,1,1,1,12,3,36,2,,21400,2,0
24194,2,2,1,2,1,1,12,1,7,2,,2000,2,0
24194,3,2,1,1,1,1,12,4,40,1,1,21000,2,0
24194,4,2,1,1,2,1,12,6,40,2,,17000,1,900
24764,2,1,1,1,1,1,12,6,40,2,,19000,2,0
24853,2,1,1,1,1,1,12,8,24,2,,19500,2,0
27157,2,1,1,2,1,1,12,1,32,2,,6000,2,0
27238,2,1,1,1,1,1,12,2,40,2,,13000,2,0
27730,4,1,1,1,1,1,12,1,36,2,,15400,2,0
27742,2,2,1,1,2,2,6,6,24,2,,7300,2,0
28100,1,1,1,1,1,1,12,8,45,1,10,25000,2,0
28802,2,1,1,1,1,1,12,7,40,2,,28000,1,1200
29680,1,1,1,1,1,1,12,1,45,2,,16000,2,0
29680,4,1,1,1,1,1,12,2,40,2,,8000,2,0
29737,1,1,1,1,1,1,12,6,38,1,0,40000,2,0
29737,2,2,1,1,1,1,12,8,20,1,0,22000,2,0
29742,1,1,1,1,1,1,12,7,50,2,,20000,2,0
29742,2,2,1,1,1,1,12,8,36,2,,22000,2,0
29742,4,1,1,2,1,1,12,2,48,1,0,9600,2,0
29823,2,2,1,1,1,1,12,5,36,2,,24000,2,0
31092,1,1,1,1,1,1,12,3,40,2,,39000,2,0
31625,2,1,1,1,1,1,12,4,40,2,,25000,2,0
31695,2,1,1,1,1,1,12,2,40,2,,23000,2,0
31695,3,1,1,1,1,1,12,7,40,2,,21500,2,0
31695,4,1,1,1,1,2,11,5,40,2,,6600,2,0
31695,4,1,2,1,1,2,1,3,40,2,,1100,2,0
31724,1,1,1,1,1,1,12,7,45,2,,30000,2,0
31724,2,2,1,2,1,1,12,2,27,2,,13000,2,0
31860,1,1,1,1,1,1,12,8,36,1,0,16000,2,0
31860,2,1,1,1,1,1,12,8,20,2,,19000,2,0
32320,1,1,1,1,1,1,12,5,36,2,,28000,1,
32320,2,1,1,1,1,1,12,7,40,2,,37000,2,0
32709,3,1,1,1,1,1,12,5,40,1,5,26000,2,0
32709,4,1,1,1,2,2,9,8,25,2,,10000,2,0
32734,1,1,1,1,1,1,12,2,40,2,,22000,2,0
32765,1,1,1,1,1,1,12,8,36,2,,20000,1,300
32765,2,2,1,1,1,1,12,5,40,1,1,25000,1,1000
32822,3,1,1,1,1,1,12,8,36,2,,13000,2,0
32861,3,3,1,1,1,1,12,2,40,1,2,15000,2,0
32887,3,1,1,1,2,1,12,2,64,1,20,20000,2,0
33038,2,2,1,1,2,2,10,8,48,2,,12340,2,0
33335,1,1,1,1,1,1,12,8,36,1,1,17000,2,0
33335,2,2,1,1,1,1,12,4,40,1,2,13000,2,0
33335,4,4,1,1,1,1,12,7,40,1,2,17000,2,0
33451,1,1,1,1,1,3,,7,40,2,,22000,2,0
33644,2,1,1,1,1,2,10,2,40,2,,13500,2,0
33773,1,1,1,1,1,1,12,8,40,2,,15600,2,0
33877,1,1,1,2,1,2,6,1,24,2,,5000,2,0
33877,2,1,1,1,1,1,12,2,40,1,3,40000,1,240
33983,1,1,1,1,1,1,12,7,45,2,,27000,1,1200
33983,2,1,1,1,1,1,12,8,36,2,,19000,2,0
33985,2,1,1,1,1,1,12,8,30,2,,23000,2,0
33994,3,1,1,1,1,2,3,2,40,2,,4000,2,0
34396,2,2,1,1,1,1,12,6,36,1,1,16000,2,0
34778,2,1,1,1,1,1,12,1,40,2,,15000,2,0
34793,2,1,1,1,3,1,12,2,40,2,,7000,2,0
