nquest,nord,INTPER,attivp,tuttanno,prof,numadd,numdip,quopro,dovelav,orario,oretot,fatlor,ym,tfr,immob,valaz,mesilav,debatt1,debatt2,ndebatt1,ndebatt2,debcom,tdebcom,credcom,tcredcom
3717,1,,1,3,3,1,0,100,,,10,,4000,,2,0,,2,2,,,2,,2,
21384,1,1,1,2,3,1,0,100,,,60,20000,11000,,2,100000,8,2,2,,,1,5000,2,
22099,1,1,1,1,3,1,0,100,,,38,30000,21000,,1,140000,12,2,2,,,2,,2,
27157,1,1,1,1,3,1,0,100,,,55,13000,7000,,2,0,12,2,2,,,2,,2,
27912,3,1,1,2,4,,,,2,2,42,1900,1400,,,,2,,,,,2,,2,
28802,1,1,1,1,2,4,2,50,,,35,100000,50000,10000,2,300000,12,1,2,1,,2,,2,
29680,2,1,1,1,3,1,0,100,,,50,8000,6000,,2,5000,12,2,2,,,2,,2,
31220,1,1,1,1,2,1,0,100,,,2,7000,1000,,2,500,12,2,2,,,2,,2,
32057,3,1,1,1,1,1,0,100,,,45,25000,10000,,2,50000,12,2,2,,,2,,2,
32288,1,1,1,1,3,2,0,100,,,60,70000,35000,,2,75000,12,1,2,1,,2,,2,
32470,2,1,1,1,3,1,0,100,,,40,16000,10000,,1,20000,12,2,2,,,2,,2,
32887,1,1,1,1,3,5,3,51,,,50,230000,40000,12000,2,50000,12,1,2,2,,1,80000,2,
32887,2,1,1,1,3,5,3,49,,,48,200000,35000,12000,2,20000,12,2,2,,,2,,2,
33335,3,3,1,3,1,1,0,100,,,30,5000,4000,,2,10000,,2,2,,,2,,2,
33336,1,1,1,2,3,1,0,100,,,40,15000,10000,,2,10000,6,1,2,1,,2,,2,
33937,3,1,1,1,3,1,0,100,,,50,30000,15000,,2,0,12,2,2,,,2,,2,
33985,1,1,1,1,1,1,0,100,,,40,60000,30000,,2,0,12,2,2,,,2,,2,
33985,3,1,1,1,1,1,0,100,,,40,10000,6000,,2,0,12,2,2,,,2,,2,
36250,2,1,1,1,3,1,0,100,,,50,12000,8000,,2,30000,12,1,2,1,,2,,2,
36333,2,1,1,3,4,,,,2,2,16,1000,800,,,,,,,,,2,,2,
36333,4,1,2,3,4,,,,2,2,5,2000,1500,,,,,,,,,2,,2,
36522,1,1,2,3,1,1,0,100,,,6,2000,500,,2,2000,,2,2,,,2,,2,
36893,2,2,1,1,2,1,0,100,,,50,15000,9000,,1,50000,12,2,2,,,2,,2,
37299,3,1,1,1,3,2,1,100,,,30,15000,15000,5000,2,30000,12,2,2,,,2,,2,
38316,1,1,1,1,1,1,0,100,,,50,50000,35000,,1,200000,12,2,2,,,2,,2,
38316,2,2,1,1,1,1,0,100,,,45,40000,25000,,1,150000,12,2,2,,,2,,2,
38316,3,1,2,3,4,,,,1,1,30,5000,4000,,,,,,,,,2,,2,
38885,2,2,1,1,2,1,0,100,,,60,20000,10000,,1,0,12,2,2,,,1,5000,1,2000
38939,2,1,1,1,1,3,2,100,,,65,30000,16000,0,2,0,12,2,2,,,2,,2,
38939,3,3,1,1,1,1,0,100,,,45,30000,17000,,2,0,12,2,2,,,2,,2,
38992,3,1,1,2,1,5,4,100,,,40,10000,9000,0,2,0,7,2,2,,,2,,2,
39086,1,1,2,3,3,1,0,100,,,10,5000,3000,,2,0,,2,2,,,2,,2,
51544,1,1,1,2,3,1,0,100,,,50,24000,10000,,2,30000,6,2,2,,,2,,2,
53008,2,1,1,1,2,2,0,50,,,35,9800,5000,,2,30000,12,2,2,,,2,,2,
53564,4,1,1,1,2,1,0,100,,,60,25000,15000,,2,100000,12,1,2,1,,2,,2,
55425,1,1,1,1,1,1,0,100,,,40,8500,6000,,2,5000,12,2,2,,,2,,2,
55799,1,1,1,1,1,1,0,100,,,48,15000,12000,,2,80000,12,2,2,,,2,,1,10000
56603,1,1,1,1,1,6,5,100,,,60,25000,15000,0,2,0,12,2,2,,,2,,2,
56658,1,1,1,3,1,1,0,100,,,4,5000,3200,,2,1000,,2,2,,,2,,2,
56761,4,1,1,1,3,1,0,100,,,60,25000,20000,,2,5000,12,2,2,,,2,,2,
57027,1,1,1,1,3,1,0,100,,,40,15000,12000,,2,50000,12,2,2,,,2,,2,
57670,2,1,1,1,1,1,0,100,,,20,10000,8000,,2,2000,12,2,2,,,2,,2,
57670,3,1,1,1,1,1,0,100,,,23,10000,8000,,2,2000,12,2,2,,,2,,2,
57962,4,4,1,3,4,,,,2,2,6,2500,2000,,,,,,,,,2,,2,
91079,2,1,1,1,2,1,0,100,,,60,22000,,,2,100000,12,1,2,1,,2,,2,
91081,1,1,1,1,3,1,0,100,,,60,10000,6000,,1,30000,12,2,2,,,2,,2,
145007,1,1,1,1,1,2,1,100,,,50,25000,10000,0,2,2000,12,2,2,,,2,,2,
243067,2,2,1,1,3,3,0,70,,,50,120000,30000,,2,120000,12,2,2,,,2,,2,
244058,2,1,1,1,3,1,0,100,,,40,18000,14000,,2,25000,12,2,2,,,2,,2,
500388,1,1,1,1,3,1,0,100,,,25,18000,10000,,2,0,12,2,2,,,2,,2,
502060,1,1,1,3,3,1,0,100,,,30,17000,8500,,2,0,,2,2,,,2,,2,
503850,1,1,1,1,3,1,0,100,,,20,40000,20000,,2,0,12,2,2,,,2,,2,
504395,2,2,1,1,3,1,0,100,,,50,50000,32000,,2,0,12,2,2,,,2,,2,
504730,1,1,1,1,3,1,0,100,,,60,18000,9000,,1,30000,12,2,2,,,2,,1,12000
504821,1,1,1,1,1,4,2,50,,,40,280000,70000,23500,2,20000,12,2,2,,,2,,2,
504956,1,1,1,2,1,1,0,100,,,45,18000,13000,,2,0,6,2,2,,,2,,2,
505243,2,2,1,1,1,1,0,100,,,40,30400,23000,,2,15000,12,2,2,,,2,,2,
505768,3,1,1,1,3,4,0,25,,,45,12000,9000,,2,50000,12,2,2,,,2,,2,
506396,1,1,1,1,1,1,0,100,,,45,20000,12000,,2,30000,12,2,2,,,2,,2,
507037,1,1,2,2,1,1,0,100,,,20,3000,2500,,2,15000,6,2,2,,,2,,2,
507147,3,1,1,1,1,6,0,100,,,10,15000,13000,,2,5000,12,2,2,,,2,,2,
507182,3,1,1,1,3,1,0,100,,,40,20000,14000,,2,20000,12,2,2,,,2,,2,
507282,2,1,1,1,3,3,0,33,,,45,40000,24000,,2,25000,12,2,2,,,2,,2,
507360,1,1,1,1,1,2,1,50,,,48,65000,25000,25000,1,250000,12,1,1,2,1,2,,2,
507913,3,3,1,1,3,1,0,100,,,48,8000,5000,,2,30000,12,2,2,,,2,,2,
509806,2,1,1,3,4,,,,2,2,48,10000,7000,,,,,,,,,2,,2,
510345,2,1,1,1,3,1,0,100,,,50,35000,22000,,2,35000,12,2,2,,,2,,2,
