nquest,numadd,numdip,quopro,forgiu,etaimpresa,fatlor,ym,tfr,immob,valaz,DEBATT1,DEBATT2,NDEBATT1,NDEBATT2,DEBCOM,TDEBCOM,CREDCOM,TCREDCOM,ind1,ind2,ind3,ind4,ind5,ind6,attivp1,attivp2,attivp3,attivp4,attivp5,attivp6,mesilav1,mesilav2,mesilav3,mesilav4,mesilav5,mesilav6,oretot1,oretot2,oretot3,oretot4,oretot5,oretot6
22277,2,1,100,8,30,30000,15000,10000,2,5000,2,2,,,2,,2,,2,,,,,,1,,,,,,12,,,,,,55,,,,,
32288,2,0,50,8,2,1000,500,,2,0,2,2,,,2,,2,,2,,,,,,1,,,,,,12,,,,,,40,,,,,
32729,2,0,30,8,40,118000,35000,,2,50000,1,2,1,,2,,1,1,1,2,,,,,1,1,,,,,12,3,,,,,56,3,,,,
33038,1,1,100,8,3,18000,12000,,2,60000,2,2,,,2,,2,,3,,,,,,1,,,,,,12,,,,,,40,,,,,
36250,1,0,10,8,2,5000,4000,,2,10000,2,2,,,2,,2,,3,,,,,,1,,,,,,6,,,,,,20,,,,,
36893,1,0,100,8,35,10000,6000,,1,15000,2,2,,,2,,2,,2,,,,,,1,,,,,,12,,,,,,20,,,,,
243067,3,0,10,6,10,10000,4000,,2,120000,2,2,,,2,,2,,2,3,,,,,2,1,,,,,12,12,,,,,50,30,,,,
507419,3,0,51,8,15,60000,23000,,1,100000,2,2,,,2,,2,,1,2,,,,,1,1,,,,,12,12,,,,,70,70,,,,
512452,4,2,100,9,2,45000,25000,5000,2,50000,2,2,,,2,,2,,1,3,,,,,1,1,,,,,11,11,,,,,60,48,,,,
632347,2,0,50,7,5,90000,24000,,2,100000,2,2,,,2,,2,,2,3,,,,,1,1,,,,,12,12,,,,,50,50,,,,
670668,3,0,30,7,1,36000,28000,,2,30000,1,2,1,,2,,1,3000,3,4,5,,,,1,1,1,,,,12,11,12,,,,65,50,60,,,
670876,1,1,100,8,35,26000,15000,18000,1,25000,2,2,,,2,,2,,1,,,,,,1,,,,,,12,,,,,,40,,,,,
673556,6,4,50,8,20,40000,30000,5000,2,160000,2,2,,,2,,2,,1,2,,,,,2,1,,,,,12,12,,,,,45,45,,,,
673748,2,1,100,8,30,40000,32000,5000,2,30000,2,2,,,2,,2,,1,,,,,,1,,,,,,12,,,,,,50,,,,,
674196,2,1,50,8,50,12000,6000,10000,1,25000,2,2,,,2,,2,,1,,,,,,1,,,,,,12,,,,,,40,,,,,
