nquest,nord,INTPER,attivp,tuttanno,numadd,numdip,forgiu,etaimpresa,oretot,compfiss,dividut,quopro,partecip,mesilav
27734,3,1,1,2,3,0,9,2,40,7000,7500,33,10000,10
31093,1,1,1,1,3,0,9,25,40,36000,20000,35,300000,12
32709,2,1,1,1,25,20,7,24,15,6000,1500,3,15000,12
33985,1,1,2,1,2,0,6,14,20,60000,30000,50,100000,12
33985,4,4,1,1,2,0,6,14,10,30000,30000,50,100000,12
38112,2,2,1,1,3,3,1,2,44,17500,0,30,24000,12
39318,1,1,1,1,2,0,7,22,40,30000,20000,50,40000,12
39318,2,1,1,1,2,0,7,22,35,30000,20000,50,40000,12
213440,1,1,1,1,2,1,1,23,62,4000,0,100,10000,12
500669,1,1,1,1,2,0,7,25,40,45000,22000,50,20000,12
504110,2,1,1,1,25,23,1,20,50,55000,0,50,2000000,12
504453,2,2,2,1,11,10,1,5,10,3500,0,33,30000,12
505525,1,1,1,1,3,1,9,49,50,12000,100,33,250000,12
505655,1,1,1,1,3,0,1,4,36,0,20000,33,15000,12
505768,3,1,1,1,4,0,1,30,45,10800,0,25,50000,12
505810,1,1,1,1,40,38,1,50,50,40000,0,26,1500000,12
505810,2,2,1,3,40,38,1,50,10,18000,0,16,800000,
505818,1,1,1,1,24,21,1,13,70,60000,15000,33,50000,12
506107,2,1,1,1,4,2,7,13,40,12000,0,50,25000,12
506413,1,1,1,1,12,10,1,9,70,20000,0,50,300000,12
507081,3,1,1,1,7,3,1,1,40,3000,4000,25,100000,12
513428,1,1,1,1,6,4,6,4,30,24000,5000,50,125000,12
513428,2,1,1,1,6,4,6,5,40,24000,5000,50,125000,12
616313,1,1,2,1,14,12,1,35,6,4000,0,14,40000,12
626259,1,1,1,1,4,3,1,6,20,60000,0,50,650000,12
635346,1,1,1,1,33,33,4,36,9,5000,0,4,5000,12
640212,2,1,1,1,10,8,1,15,40,15000,0,5,10000,12
673556,2,1,1,1,6,4,7,20,45,20000,12000,50,80000,12
674229,1,1,2,1,1,0,9,25,48,5000,5000,100,20000,12
674264,1,1,2,1,14,12,1,65,10,1700,12500,50,300000,12
674272,1,1,2,1,2,0,7,10,1,0,1100,55,70000,12
674686,1,1,1,1,3,0,7,27,24,0,8000,25,10000,12
674686,1,1,2,3,5,0,9,4,8,0,500,16,10000,
674686,3,1,2,3,5,0,9,4,5,0,500,16,10000,
674868,2,2,1,1,7,6,1,5,50,22000,0,95,100000,12
677176,1,1,1,1,4,0,7,31,50,12000,0,25,20000,12
677176,2,1,1,1,4,0,7,31,50,12000,0,25,20000,12
677176,3,1,1,1,4,0,7,31,40,10000,0,25,20000,12
677176,4,1,1,1,4,0,7,31,40,10000,0,25,20000,12
681380,1,1,1,1,2,0,1,23,40,18000,2500,50,50000,12
683437,1,1,1,1,2,0,7,35,50,8000,0,50,50000,12
683472,1,1,1,1,2,0,7,26,50,21500,0,50,150000,12
685296,2,1,1,1,7,4,7,12,55,8000,0,35,100000,12
686661,3,1,1,2,4,1,1,1,45,0,2000,35,20000,3
687953,1,1,1,1,2,0,6,10,45,10000,2000,40,60000,12
688277,1,1,1,1,4,1,7,15,50,13000,0,30,10000,12
688277,2,1,1,1,4,1,7,15,50,13000,0,40,10000,12
688277,3,1,1,1,4,1,7,15,50,13000,0,30,13000,12
701240,2,1,1,1,3,0,9,20,50,6000,7000,33,20000,12
710165,1,1,1,1,3,1,6,27,18,0,4000,50,40000,12
713854,1,1,1,2,3,1,1,4,40,8760,0,66,10000,10
727039,1,1,2,1,4,3,2,15,3,6500,0,1,1000,12
728148,1,1,1,1,70,70,1,30,45,60000,20000,30,500000,12
728547,1,1,1,1,3,0,1,20,40,30000,0,60,1000,12
733612,1,1,2,3,5,3,1,4,1,0,4000,10,10000,
733612,1,1,2,3,10,4,1,30,1,0,100,4,50000,
801875,1,1,1,1,1,1,6,2,50,0,6000,80,140000,12
