nquest,nord,INTPER,entepen,tipopen,decor,tpens,mesipen,arret,quotape,tarret
173,1,1,1,1,2005,1800,13,2,80,0
375,1,1,1,1,1985,670,13,2,80,0
633,1,1,1,1,1994,250,13,2,50,0
633,1,1,1,5,2003,750,13,2,,0
923,1,1,1,5,1994,550,13,2,,0
1367,1,1,1,1,1983,580,13,2,70,0
1367,2,1,1,1,1985,330,13,2,80,0
1763,1,1,1,1,2014,620,13,2,80,0
1927,1,1,1,5,1994,810,13,2,,0
1946,1,1,1,5,2008,945,13,2,,0
2886,1,1,1,1,2010,1200,13,2,90,0
7886,1,1,1,1,2008,1900,13,2,90,0
7886,1,1,5,7,2008,350,13,2,,0
11972,1,1,1,1,2008,1100,13,2,60,0
11972,2,1,1,1,1999,700,13,2,80,0
20297,1,1,1,3,2013,1168,13,2,,0
20711,2,1,1,1,1996,1900,13,2,80,0
20837,1,1,1,1,1989,1700,13,2,80,0
20837,2,2,1,1,1988,500,13,2,50,0
21384,1,1,1,1,2014,578,1,2,50,0
21461,1,1,1,5,1998,600,13,2,,0
22169,1,1,1,3,2010,430,13,2,,0
22169,2,2,1,2,2002,520,13,2,,0
22173,1,1,1,1,1997,1200,13,2,60,0
22208,1,1,1,1,1985,960,13,2,80,0
22208,1,1,1,5,2006,600,13,2,,0
22276,1,1,2,1,2009,1200,13,2,90,0
22276,2,1,1,2,1983,600,13,2,,0
22276,2,1,1,4,2000,250,12,2,,0
22276,2,1,1,5,2006,450,13,2,,0
22286,1,1,2,1,1994,850,13,2,70,0
22286,2,2,1,1,2014,650,8,2,70,0
22292,1,1,1,1,1990,720,13,2,80,0
22292,2,1,1,1,1995,850,13,2,60,0
22292,2,1,1,3,2014,400,12,2,,0
22292,2,1,4,4,1970,400,12,2,,0
22657,2,1,1,1,2006,1000,13,2,80,0
22996,1,1,1,1,1990,2195,13,2,55,0
22996,2,2,1,2,2003,330,13,2,,0
23370,1,1,2,1,1999,1320,13,2,100,0
23490,1,1,2,1,1996,1400,13,2,90,0
23821,1,1,1,5,2000,610,13,2,,0
23823,1,1,1,3,2006,280,13,2,,0
23823,1,1,1,5,2006,620,13,2,,0
23865,1,1,1,1,2002,2700,13,2,80,0
24147,1,1,1,1,2006,1760,13,2,90,0
24149,1,1,1,1,1981,730,13,2,70,0
24194,1,1,1,1,2011,1600,13,2,90,0
24382,2,1,1,1,2000,1000,13,2,100,0
24393,1,1,1,5,1991,500,13,2,,0
24616,1,1,1,1,1995,1100,13,2,90,0
24616,1,1,1,4,2012,400,13,2,,0
24616,2,2,1,1,2000,520,13,2,50,0
24760,1,1,2,5,1969,900,13,2,,0
24809,2,1,2,1,1990,1100,13,2,80,0
24853,1,1,1,1,2011,2200,13,2,100,0
25007,1,1,1,5,2004,750,13,2,,0
25007,1,1,1,7,1993,370,13,2,,0
25930,1,1,1,1,2006,1600,13,2,60,0
25930,2,1,1,1,2008,450,13,2,60,0
