nquest,nord,INTPER,casd,casv,mobd,mobv,disd,disv,liqd,liqv,aced,acev,ared,arev,aprd,aprv,acod,acov,ausd,ausv,aeld,aelv,aipd,aipv,borsad,borsav,rrd,rrv,rod,rov,alimd,alimv,altred,altrev
923,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,3000,2,0,2,0,2,0
21384,3,1,2,0,2,0,1,1800,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
21461,1,1,2,0,2,0,2,0,2,0,1,500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
22624,1,1,2,0,2,0,1,800,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
27742,2,2,2,0,2,0,1,2400,1,360,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
27912,2,1,2,0,2,0,1,4550,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
27923,4,1,2,0,2,0,2,0,2,0,1,490,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
27947,1,1,2,0,2,0,2,0,2,0,1,480,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
31724,5,5,2,0,2,0,2,0,2,0,1,100,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
33877,1,1,2,0,2,0,1,2400,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
33994,3,1,2,0,1,9000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
35502,2,1,2,0,2,0,1,2700,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
35682,2,2,2,0,1,12500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
36186,1,1,2,0,2,0,1,3500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
36186,2,1,2,0,2,0,1,1000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
36311,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1800,2,0,2,0,2,0,2,0
36774,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,300,2,0
37459,1,1,2,0,2,0,1,7500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
38554,1,1,2,0,2,0,2,0,2,0,1,2700,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
53108,2,2,1,2300,2,0,2,0,1,6000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
53373,1,1,2,0,1,11000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
53666,2,1,1,1500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
55209,1,1,2,0,2,0,2,0,2,0,1,420,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
