nquest,tipoimm,quopro,anposs,supab,ancostr,usoimm,valabit,affitto,affeff,affimp,poss,immdove,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,supte,suptm,immreg,immest
173,1,100,1995,70,1995,1,50000,2,0,5000,1,1,1,,,,,,,,,,,,
923,1,100,1958,140,1958,14,240000,2,0,3600,6,1,1,,,,,,,,,,,,
923,5,100,1958,180,1958,14,350000,2,0,10000,6,1,1,,,,,,,,,,,,
2886,7,100,,,,11,500,2,0,200,1,1,1,1,0,,,,,,,,1000,,
2886,1,100,1985,40,1800,3,20000,2,0,500,1,1,1,1,0,,,,,,,,,,
2886,6,100,2000,20,2000,3,20000,2,0,1200,2,1,1,1,0,,,,,,,,,,
2886,6,100,1995,30,1960,3,25000,2,0,2500,1,1,1,1,0,,,,,,,,,,
2886,1,100,2013,40,1800,3,40000,2,0,1500,5,1,1,0,0,,,,,,,,,,
20297,1,100,2010,80,2010,15,50000,2,0,200,1,2,1,1,,,,,,,,,,,349
20711,7,100,,,,1,100000,2,0,1000,4,1,0,1,,,,,,,,2,,,
20837,1,100,1993,90,1965,4,230000,1,4800,,3,1,1,0,,,,,,,,,,,
20837,1,100,1993,100,1965,4,250000,1,5400,,3,1,1,0,,,,,,,,,,,
21384,5,100,2000,100,1963,2,100000,2,0,600,4,1,1,1,0,0,,,,,,,,,
22099,4,100,2000,35,1965,2,120000,2,0,350,3,1,1,1,,,,,,,,,,,
22277,1,100,2014,65,1955,8,60000,2,0,1800,3,1,1,0,0,,,,,,,,,,
22292,1,100,1990,120,1990,14,200000,2,0,5000,2,1,1,1,,,,,,,,,,,
22292,1,100,1990,140,1970,4,200000,1,4800,,3,1,1,1,,,,,,,,,,,
22624,7,100,,,,9,10000,2,0,200,3,1,0,1,0,0,0,,,,,,5000,,
22996,7,100,,,,9,16000,2,0,850,3,1,1,1,,,,,,,,,1500,,
24147,1,100,1980,70,1979,8,180000,2,0,6000,3,1,1,0,,,,,,,,,,,
24147,1,100,1980,80,1979,8,200000,2,0,7000,3,1,1,0,,,,,,,,,,,
24147,1,50,1980,90,1979,4,200000,1,3500,,3,1,1,0,,,,,,,,,,,
24147,1,50,1980,80,1979,4,200000,1,3000,,3,1,1,0,,,,,,,,,,,
24147,4,50,1990,100,1800,5,300000,1,8000,,3,1,1,0,,,,,,,,,,,
24194,1,25,1972,80,1970,14,100000,2,0,4800,3,1,1,0,0,0,,,,,,,,,
24809,4,100,1980,21,1900,8,15000,2,0,250,3,1,1,0,,,,,,,,,,,
24809,4,100,1962,52,1960,6,120000,1,10000,,2,1,1,0,,,,,,,,,,,
27114,6,100,1968,30,1960,3,25000,2,0,1500,1,1,1,,,,,,,,,,,,
27116,7,33,,,,11,30000,2,0,500,3,1,0,1,,,,,,,,,1600,,
27116,7,100,,,,11,50000,2,0,1000,3,1,1,0,,,,,,,,,5000,,
27123,6,50,1985,50,1972,3,20000,2,0,1200,1,1,1,1,,,,,,,,,,,
27123,1,50,2013,60,1965,8,25000,2,0,2000,3,1,1,1,,,,,,,,,,,
