nquest,anmutuo21,anmutuo22,anmutuo23,debgar21_1,debgar22_1,debgar23_1,debgar21_2,debgar22_2,debgar23_2,debgar21_3,debgar22_3,debgar23_3,debm21,debm22,debm23,debpers21,debpers22,debpers23,debrf21,debrf22,debrf23,ltv21,ltv22,ltv23,mutuodu21,mutuodu22,mutuodu23,mutuoin21,mutuoin22,mutuoin23,qualeimm1,qualeimm2,qualeimm3,ratacon21,ratacon22,ratacon23,taxfis21,taxfis22,taxfis23,taxvar21,taxvar22,taxvar23,tdebita21,tdebita22,tdebita23,tipotax21,tipotax22,tipotax23,tmutuoab21,tmutuoab22,tmutuoab23
20297,2010,,,0,,,0,,,1,,,1,,,1,,,2,,,100,,,15,,,50000,,,1,,,,,,6,,,,,,40000,,,1,,,6800,,
33335,2012,,,0,,,1,,,0,,,2,,,,,,2,,,8,,,10,,,50000,,,3,,,2,,,,,,6.8,,,45000,,,2,,,7000,,
33751,2006,,,0,,,0,,,1,,,1,,,2,,,2,,,70,,,10,,,64000,,,1,,,,,,5,,,,,,19062.736206,,,1,,,7000,,
53549,2013,,,1,,,0,,,0,,,1,,,,,,2,,,30,,,10,,,65000,,,1,,,,,,3,,,,,,50000,,,1,,,9600,,
57138,2010,,,0,,,1,,,0,,,1,,,,,,2,,,50,,,10,,,100000,,,1,,,1,,,,,,3,,,55000,,,2,,,10000,,
58053,2013,,,0,,,1,,,0,,,1,,,,,,2,,,80,,,25,,,50000,,,1,,,1,,,,,,1.95,,,44000,,,2,,,4320,,
504730,1995,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,140000,,,1,,,,,,5.65,,,,,,8000,,,1,,,10000,,
513437,2010,,,0,,,1,,,0,,,2,,,,,,2,,,10,,,10,,,90000,,,1,,,,,,4,,,,,,40000,,,1,,,9600,,
611412,2007,,,0,,,0,,,1,,,1,,,1,,,2,,,70,,,15,,,180000,,,1,,,,,,5,,,,,,100000,,,1,,,12000,,
611774,2006,2010,,1,1,,0,0,,0,0,,1,1,,,,,2,2,,60,30,,15,10,,85000,70000,,1,1,,2,,,,4.3,,2.2,,,40000,71232.879194,,2,1,,6700,12000,
620481,2004,2012,2014,0,0,0,1,1,1,0,0,0,1,1,1,,,,2,2,2,50,20,50,15,5,15,40000,15000,70000,1,1,1,2,2,2,,,,5,4.5,4,10000,5000,17478.443412,2,2,2,3300,2200,1500
621766,2013,,,0,,,1,,,0,,,1,,,,,,2,,,50,,,10,,,40000,,,1,,,,,,6,,,,,,35000,,,1,,,4700,,
671582,2014,,,0,,,0,,,1,,,1,,,1,,,2,,,100,,,7,,,20000,,,1,,,,,,7,,,,,,17000,,,1,,,3000,,
