nquest,anmutuo31,anmutuo32,anmutuo33,anmutuo34,debgar31_1,debgar32_1,debgar33_1,debgar34_1,debgar31_2,debgar32_2,debgar33_2,debgar34_2,debgar31_3,debgar32_3,debgar33_3,debgar34_3,debm31,debm32,debm33,debm34,debpers31,debpers32,debpers33,debpers34,debrf31,debrf32,debrf33,debrf34,debgar31_4,debgar32_4,debgar33_4,debgar34_4,mutuodu31,mutuodu32,mutuodu33,mutuodu34,mutuoin31,mutuoin32,mutuoin33,mutuoin34,taeg11,taeg12,taeg13,taeg14,tdebita31,tdebita32,tdebita33,tdebita34,tipotax31,tipotax32,tipotax33,tipotax34,tmutuoab31,tmutuoab32,tmutuoab33,tmutuoab34,debgar31_5,debgar32_5,debgar33_5,debgar34_5
2886,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,1,,,,7500,,,,,,,,5700,,,,3,,,,2600,,,,0,,,
24194,2013,2014,,,0,0,,,0,0,,,0,0,,,1,1,,,1,1,,,1,2,,,1,1,,,4,3,,,17000,15000,,,3.5,5.87,,,8500,12000,,,1,1,,,4300,5000,,,0,0,,
27730,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,3,,,,7000,,,,7,,,,3400,,,,1,,,,2400,,,,0,,,
27742,2011,,,,1,,,,0,,,,0,,,,1,,,,,,,,1,,,,0,,,,7,,,,16000,,,,6.8,,,,7600,,,,1,,,,2400,,,,0,,,
29742,2014,2014,2014,,0,0,0,,0,0,0,,0,0,0,,1,2,2,,1,1,1,,1,2,1,,1,1,1,,3,1,1,,23000,690,1200,,6,,,,18600,450,1000,,1,3,3,,4400,240,200,,0,0,0,
29823,2010,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,4,,,,5000,,,,8,,,,3000,,,,1,,,,1000,,,,0,,,
31625,2014,,,,1,,,,0,,,,0,,,,4,,,,,,,,2,,,,0,,,,1,,,,4000,,,,4,,,,3600,,,,1,,,,400,,,,0,,,
31860,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,1,,,,1,,,,1,,,,800,,,,0,,,,680,,,,1,,,,240,,,,0,,,
32703,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,9500,,,,3.5,,,,4000,,,,1,,,,2400,,,,0,,,
33773,2006,,,,0,,,,0,,,,0,,,,1,,,,,,,,1,,,,0,,,,10,,,,30000,,,,6.5,,,,8000,,,,1,,,,5800,,,,1,,,
35005,2014,2012,,,0,0,,,0,0,,,0,0,,,1,4,,,,2,,,1,2,,,0,1,,,2,5,,,10000,10000,,,6,5,,,8000,6000,,,1,1,,,2200,2400,,,1,0,,
35234,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,3,,,,7000,,,,,,,,6500,,,,3,,,,800,,,,0,,,
35502,2013,,,,0,,,,0,,,,0,,,,3,,,,,,,,2,,,,0,,,,3,,,,5000,,,,5,,,,3360,,,,1,,,,1680,,,,1,,,
37459,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,6,,,,13000,,,,5,,,,11400,,,,1,,,,1500,,,,0,,,
37677,2013,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,1,,,,3,,,,20000,,,,5.5,,,,9500,,,,1,,,,6600,,,,0,,,
38554,2013,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,20,,,,20000,,,,6.75,,,,16000,,,,1,,,,3024,,,,0,,,
38877,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,1,,,,900,,,,,,,,576,,,,3,,,,324,,,,0,,,
38885,2014,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,2,,,,200,,,,,,,,110,,,,3,,,,90,,,,0,,,
50060,2014,,,,1,,,,0,,,,0,,,,2,,,,,,,,1,,,,0,,,,1,,,,1000,,,,8,,,,63,,,,1,,,,63,,,,0,,,
50085,2014,,,,0,,,,0,,,,0,,,,4,,,,2,,,,2,,,,1,,,,3,,,,5000,,,,3.5,,,,4000,,,,1,,,,100,,,,0,,,
51544,2004,,,,0,,,,1,,,,0,,,,1,,,,,,,,2,,,,0,,,,15,,,,80000,,,,3,,,,40000,,,,2,,,,6000,,,,0,,,
55636,2014,2013,,,0,0,,,0,0,,,0,0,,,2,2,,,1,1,,,2,2,,,1,1,,,2,2,,,1200,1800,,,0,,,,500,800,,,1,3,,,600,1000,,,0,0,,
56582,2013,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,1,,,,1000,,,,,,,,200,,,,3,,,,800,,,,0,,,
57670,2008,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,1,,,,7,,,,13000,,,,6,,,,1100,,,,1,,,,1800,,,,0,,,
58053,2014,2014,,,1,0,,,0,0,,,0,0,,,1,2,,,,1,,,2,2,,,0,1,,,4,2,,,10000,4000,,,7,1,,,8000,3300,,,1,1,,,2412,670,,,0,0,,
91071,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,1,,,,500,,,,,,,,90,,,,3,,,,409,,,,0,,,
91074,2013,,,,0,,,,0,,,,0,,,,3,,,,1,,,,2,,,,1,,,,6,,,,8500,,,,6.5,,,,6500,,,,1,,,,2000,,,,0,,,
256015,2011,,,,1,,,,0,,,,0,,,,1,,,,,,,,1,,,,0,,,,7,,,,15000,,,,9,,,,7000,,,,1,,,,2760,,,,0,,,
387029,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,20000,,,,0.55,,,,13500,,,,1,,,,6500,,,,0,,,
500388,2010,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,5,,,,10000,,,,10.1,,,,1000,,,,2,,,,1900,,,,0,,,
503950,2011,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,3,,,,3000,,,,15.18,,,,750,,,,1,,,,109,,,,0,,,
504091,2011,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,3,,,,2000,,,,,,,,2000,,,,3,,,,2000,,,,0,,,
504363,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,10000,,,,7,,,,2000,,,,2,,,,2600,,,,0,,,
