nquest,anmutuo41f,anmutuo42f,anmutuo43f,debgar41f_1,debgar42f_1,debgar43f_1,debgar41f_2,debgar42f_2,debgar43f_2,debgar41f_3,debgar42f_3,debgar43f_3,debgar41f_4,debgar42f_4,debgar43f_4,debm41f,debm42f,debm43f,debrf41f,debrf42f,debrf43f,mutuodu41f,mutuodu42f,mutuodu43f,mutuoin41f,mutuoin42f,mutuoin43f,taxdeb41f,taxdeb42f,taxdeb43f,tdebita41f,tdebita42f,tdebita43f,tmutuoaB41f,tmutuoaB42f,tmutuoaB43f
32729,2010,,,1,,,,,,,,,,,,1,,,1,,,10,,,110000,,,2.2,,,70000,,,11500,,
670668,2013,,,1,,,,,,,,,,,,1,,,2,,,5,,,10000,,,3,,,8000,,,2000,,
683373,2000,,,,,,,,,,,,1,,,1,,,2,,,20,,,80000,,,5,,,20000,,,4000,,
732601,2012,,,,,,,,,1,,,,,,1,,,2,,,18,,,322000,,,5.49,,,206000,,,21228,,
804880,2014,,,,,,1,,,,,,,,,2,,,1,,,,,,140000,,,11,,,50000,,,10000,,
824824,2005,2011,,1,,,1,,,,,,,1,,1,1,,2,2,,15,3,,110000,18000,,7,8,,39000,1700,,8000,6600,
860757,2011,2010,2000,,,,,1,,,,,1,,1,1,1,1,1,2,2,10,10,20,20000,25000,20000,6,6,5,10000,12500,2000,2200,2600,350
860940,2007,,,,,,,,,,,,1,,,1,,,1,,,15,,,60000,,,8.5,,,40000,,,700,,
871697,2010,2014,,1,,,,,,,,,,1,,1,2,,2,2,,20,,,45000,12000,,2.5,2,,30000,11000,,800,300,
875217,2009,,,1,,,,,,,,,,,,1,,,2,,,10,,,30000,,,2.3,,,17000,,,3000,,
875585,2009,,,1,,,,,,,,,,,,1,,,2,,,20,,,110000,,,3.7,,,78000,,,6000,,
891337,1997,,,1,,,1,,,,,,,,,1,,,2,,,20,,,200000,,,6.75,,,140000,,,16000,,
893721,2014,,,,,,,,,,,,1,,,2,,,2,,,,,,40000,,,2.8,,,7000,,,33000,,
893885,2013,,,,,,,,,1,,,,,,2,,,2,,,,,,25000,,,6.4,,,18000,,,3500,,
896746,2008,2010,2013,1,,1,,,,,1,,,,,1,1,2,2,2,2,20,5,,240000,17500,15000,4.8,7,6.2,175000,3500,3524,13600,13600,10572
897280,2010,,,,,,,,,,,,1,,,1,,,2,,,6,,,20000,,,6.7,,,7000,,,3800,,
898417,2006,,,,,,,,,1,,,,,,1,,,2,,,20,,,70000,,,6,,,35000,,,3500,,
899503,2013,,,,,,,,,,,,1,,,1,,,2,,,4,,,40000,,,5,,,25000,,,8400,,
906428,2014,,,,,,,,,1,,,,,,2,,,1,,,,,,10000,,,2.5,,,9500,,,500,,
909292,2011,,,,,,1,,,,,,,,,1,,,2,,,10,,,100000,,,4.25,,,70000,,,4000,,
