nquest,anmutuo11,anmutuo12,anmutuo13,debgar11_1,debgar12_1,debgar13_1,debgar11_2,debgar12_2,debgar13_2,debgar11_3,debgar12_3,debgar13_3,debm11,debm12,debm13,debpers11,debpers12,debpers13,debrf11,debrf12,debrf13,ltv11,ltv12,ltv13,mutuodu11,mutuodu12,mutuodu13,mutuoin11,mutuoin12,mutuoin13,ratacon11,ratacon12,ratacon13,rifinanz11,rifinanz12,rifinanz13,rippag11,rippag12,rippag13,sospecome11,sospecome12,sospecome13,sospens11,sospens12,sospens13,stesmut11,stesmut12,stesmut13,taxfis11,taxfis12,taxfis13,taxvar11,taxvar12,taxvar13,tipotax11,tipotax12,tipotax13,tmutuoab11,tmutuoab12,tmutuoab13,whytipo11,whytipo12,whytipo13,tdebita11,tdebita12,tdebita13
23823,2010,,,1,,,0,,,0,,,1,,,,,,2,,,40,,,18,,,90000,,,,,,2,,,,,,,,,2,,,,,,3.3,,,,,,1,,,5400,,,3,,,70000,,
31860,2014,,,1,,,0,,,0,,,2,,,,,,2,,,12,,,6,,,20000,,,,,,2,,,,,,,,,2,,,,,,7.9,,,,,,1,,,3200,,,1,,,12000,,
32320,2004,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,15,,,150000,,,1,,,2,,,,,,,,,2,,,,,,,,,3,,,2,,,12000,,,4,,,45000,,
35022,2004,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,30,,,104000,,,,,,2,,,,,,,,,2,,,,,,5,,,,,,1,,,6000,,,4,,,70000,,
35032,1999,,,1,,,0,,,0,,,1,,,,,,2,,,20,,,15,,,30000,,,,,,2,,,,,,,,,2,,,,,,4.5,,,,,,1,,,2600,,,4,,,1300,,
37521,2003,,,1,,,0,,,0,,,1,,,,,,2,,,50,,,20,,,70000,,,,,,2,,,,,,,,,2,,,,,,1.43,,,,,,1,,,1560,,,4,,,12000,,
37665,2000,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,30,,,145000,,,1,,,2,,,,,,,,,2,,,,,,,,,1.67,,,2,,,8088,,,1,,,72000,,
38014,1996,,,1,,,0,,,0,,,1,,,,,,2,,,75,,,20,,,20000,,,,,,2,,,,,,,,,2,,,,,,8,,,,,,1,,,2400,,,4,,,6185.0327694,,
38272,2004,,,1,,,0,,,0,,,2,,,,,,2,,,50,,,15,,,120000,,,1,,,2,,,,,,,,,2,,,,,,,,,5,,,2,,,10000,,,4,,,40000,,
39697,1992,,,0,,,0,,,1,,,1,,,2,,,2,,,100,,,25,,,120000,,,,,,2,,,,,,,,,2,,,,,,4,,,,,,1,,,2700,,,3,,,10100,,
53520,2001,,,1,,,0,,,0,,,1,,,,,,2,,,50,,,15,,,20000,,,,,,2,,,,,,,,,2,,,,,,3,,,,,,1,,,3200,,,1,,,9051.5563357,,
57086,2003,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,12,,,45000,,,,,,2,,,,,,,,,2,,,,,,5,,,,,,1,,,6000,,,1,,,10000,,
57670,2007,,,0,,,0,,,1,,,2,,,2,,,2,,,6,,,30,,,52000,,,,,,2,,,,,,,,,2,,,,,,6,,,,,,1,,,2500,,,4,,,30000,,
57911,2013,,,1,,,0,,,0,,,1,,,,,,2,,,25,,,30,,,50000,,,1,,,2,,,,,,,,,2,,,,,,,,,3,,,2,,,4800,,,3,,,48000,,
58053,2013,,,1,,,0,,,0,,,2,,,,,,2,,,40,,,20,,,60000,,,1,,,2,,,,,,,,,2,,,,,,,,,1.8,,,2,,,4320,,,4,,,45000,,
91081,2001,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,100000,,,1,,,2,,,2,,,3,,,1,,,,,,,,,3.9,,,2,,,8000,,,1,,,64000,,
501068,2010,,,1,,,0,,,0,,,1,,,,,,2,,,75,,,31,,,60000,,,,,,2,,,,,,,,,2,,,,,,4.5,,,,,,1,,,3600,,,4,,,57000,,
504395,2003,,,1,,,0,,,0,,,2,,,,,,2,,,100,,,15,,,90000,,,1,,,2,,,,,,,,,2,,,,,,,,,3.4,,,2,,,4000,,,4,,,12000,,
504483,2004,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,15,,,140000,,,1,,,2,,,1,,,1,,,1,,,,,,,,,4,,,2,,,12600,,,1,,,70000,,
504821,2013,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,81000,,,,,,2,,,,,,,,,2,,,,,,5,,,,,,1,,,6000,,,3,,,78000,,
505390,2006,,,1,,,0,,,0,,,1,,,,,,1,,,100,,,10,,,90000,,,,,,2,,,,,,,,,2,,,,,,2,,,,,,1,,,9000,,,1,,,25954.949454,,
505433,2001,,,1,,,0,,,0,,,1,,,,,,2,,,70,,,36,,,140000,,,1,,,2,,,,,,,,,2,,,,,,,,,3.25,,,2,,,6000,,,4,,,100000,,
505548,2010,,,1,,,1,,,0,,,1,,,,,,2,,,50,,,20,,,80000,,,1,,,2,,,,,,,,,2,,,,,,,,,2,,,2,,,5000,,,4,,,60000,,
505806,2001,,,1,,,0,,,0,,,2,,,,,,2,,,60,,,15,,,100000,,,1,,,2,,,,,,,,,2,,,,,,,,,4.2,,,2,,,8000,,,4,,,22116.724432,,
505818,2008,,,1,,,0,,,0,,,1,,,,,,2,,,60,,,10,,,200000,,,2,,,2,,,,,,,,,2,,,,,,,,,0.75,,,2,,,26000,,,1,,,127125.42992,,
505820,2006,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,25,,,190000,,,2,,,2,,,,,,,,,2,,,,,,,,,4.5,,,2,,,9600,,,4,,,135000,,
506152,2001,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,15,,,70000,,,1,,,2,,,,,,,,,2,,,,,,,,,2.5,,,2,,,6000,,,1,,,17136.141379,,
506446,2005,,,1,,,0,,,0,,,2,,,,,,2,,,0,,,10,,,40000,,,,,,2,,,,,,,,,2,,,,,,4.5,,,,,,1,,,5200,,,1,,,2800,,
506458,2001,,,1,,,0,,,0,,,1,,,,,,2,,,90,,,20,,,120000,,,1,,,2,,,,,,,,,2,,,,,,,,,3.3,,,2,,,8800,,,1,,,60000,,
507329,2004,,,1,,,0,,,0,,,1,,,,,,1,,,100,,,25,,,200000,,,2,,,1,,,,,,,,,2,,,1,,,,,,1.31,,,2,,,10000,,,4,,,130000,,
507360,2000,,,1,,,0,,,0,,,1,,,,,,2,,,60,,,25,,,200000,,,,,,2,,,,,,,,,2,,,,,,4.5,,,,,,1,,,9000,,,4,,,80000,,
507544,2007,,,1,,,0,,,0,,,2,,,,,,2,,,30,,,20,,,150000,,,2,,,1,,,,,,,,,2,,,1,,,,,,3.5,,,2,,,12000,,,4,,,100000,,
507908,2008,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,15,,,100000,,,,,,2,,,,,,,,,2,,,,,,6,,,,,,1,,,5400,,,4,,,40000,,
509074,2003,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,98000,,,1,,,2,,,,,,,,,2,,,,,,,,,3.4,,,2,,,6700,,,2,,,54500,,
512517,2010,,,1,,,0,,,0,,,2,,,,,,2,,,70,,,15,,,85000,,,1,,,2,,,,,,,,,2,,,,,,,,,1.3,,,2,,,6912,,,3,,,63000,,
512784,2007,,,1,,,0,,,0,,,2,,,,,,2,,,15,,,10,,,30000,,,,,,2,,,,,,,,,2,,,,,,4.5,,,,,,1,,,3600,,,4,,,7500,,
513113,2013,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,18,,,80000,,,2,,,2,,,,,,,,,2,,,,,,,,,3.3,,,2,,,6000,,,4,,,80000,,
513449,2007,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,20,,,95000,,,,,,2,,,,,,,,,2,,,,,,3.5,,,,,,1,,,6000,,,1,,,60000,,
611614,2001,,,1,,,0,,,0,,,2,,,,,,2,,,70,,,15,,,50000,,,2,,,2,,,,,,,,,2,,,,,,,,,1.48,,,2,,,4700,,,4,,,13692.710977,,
614683,2006,,,1,,,0,,,0,,,3,,,,,,2,,,100,,,10,,,90000,,,,,,2,,,,,,,,,2,,,,,,5,,,,,,1,,,12000,,,3,,,32678.976352,,
620649,2013,,,0,,,0,,,1,,,2,,,1,,,2,,,100,,,10,,,14000,,,,,,2,,,,,,,,,2,,,,,,3.5,,,,,,1,,,2136,,,4,,,11000,,
620858,2003,,,1,,,0,,,0,,,1,,,,,,2,,,40,,,25,,,98000,,,,,,1,,,,,,,,,2,,,1,,,3.9,,,,,,1,,,6492,,,3,,,48000,,
627314,2011,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,14,,,150000,,,,,,2,,,,,,,,,2,,,,,,6,,,,,,1,,,14000,,,1,,,120000,,
630858,2012,,,1,,,0,,,0,,,1,,,,,,2,,,60,,,15,,,50000,,,,,,2,,,,,,,,,2,,,,,,3.15,,,,,,1,,,3600,,,4,,,46000,,
635112,2009,,,1,,,0,,,0,,,1,,,,,,1,,,33,,,20,,,100000,,,,,,2,,,,,,,,,2,,,,,,5.25,,,,,,1,,,8450,,,3,,,83000,,
635346,2012,,,1,,,0,,,0,,,2,,,,,,2,,,5,,,5,,,40000,,,,,,2,,,,,,,,,2,,,,,,3.7,,,,,,1,,,3700,,,4,,,16000,,
636289,2010,,,1,,,0,,,0,,,2,,,,,,1,,,25,,,15,,,130000,,,2,,,2,,,,,,,,,2,,,,,,,,,1.71,,,2,,,9870,,,4,,,96000,,
639502,2007,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,124000,,,,,,2,,,,,,,,,2,,,,,,4.4,,,,,,1,,,9333,,,3,,,80000,,
