nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,etalav2,etapen,coppu,prevcom,coppip,mcontrib,anprevcom,mprevcom1
173,1,1,2,,,23,1,34,,,,,,,,
375,1,0,,,,,,,,,,,,,,
633,1,2,2,,1,30,1,20,,,,,,,,
923,1,0,,,,,,,,,,,,,,
1367,1,1,2,,,16,1,25,,,,,,,,
1367,2,1,2,,,18,1,15,,,,,,,,
1763,1,5,1,9,1,18,1,29,,,,,,,,
1763,2,1,,,,20,1,36,,,,,,,,
1927,1,5,1,3,1,16,1,14,,,,,,,,
1946,1,3,2,,1,25,2,,,,,,,,,
2886,1,1,2,,,26,1,36,,,,,,,,
2886,2,1,2,,,21,1,41,,62,100,2,,,,
2886,3,0,,,,,,,,,,,,,,
3717,1,1,1,3,,22,2,,,,,,,,,
5416,1,3,2,,1,16,1,22,40,65,70,2,,,,
5416,2,2,2,,1,19,1,14,19,65,60,2,,,,
5416,3,3,2,,1,17,1,10,33,,,2,,,,
5416,4,1,2,,,18,1,4,,,,2,,,,
5416,5,,,,,,,,,,,,,,,
7886,1,1,2,,,22,1,36,,,,,,,,
7886,2,1,2,,,53,1,7,,,,3,,,,
11972,1,1,2,,,23,1,35,,,,,,,,
11972,2,2,2,,1,34,1,35,,,,,,,,
20297,1,3,2,,1,14,1,39,,,,,,,,
20297,2,2,1,2,1,33,1,2,34,65,20,2,,,,
20711,1,0,,,,,,,,,,,,,,
20711,2,3,2,,1,15,1,37,,,,,,,,
20837,1,3,2,,1,18,1,40,,,,,,,,
20837,2,1,2,,,12,1,15,,,,,,,,
21384,1,1,1,2,,18,1,35,,56,50,,,,,
21384,2,0,,,,,,,,,,,,,,
21384,3,1,1,4,,21,1,5,,,,2,,,,
21384,4,0,,,,,,,,,,,,,,
21461,1,4,2,,1,12,1,28,,,,,,,,
22099,1,1,2,,,15,1,32,,68,60,,,,,
22099,2,0,,,,,,,,,,,,,,
22169,1,0,,,,,,,,,,,,,,
22169,2,1,2,,,15,2,,,,,,,,,
22169,3,0,,,,,,,,,,,,,,
22173,1,1,2,,,12,1,35,,,,,,,,
22173,2,0,,,,,,,,,,,,,,
22208,1,1,2,,,14,1,35,,,,,,,,
22276,1,1,2,,,19,1,36,,,,,,,,
22276,2,0,,,,,,,,,,,,,,
22277,1,2,2,,1,19,1,35,24,64,70,,,,,
22277,2,1,2,,,18,1,37,,,,,,,,
22277,3,0,,,,,,,,,,,,,,
22286,1,2,2,,1,17,1,25,,,,,,,,
22286,2,3,1,2,1,15,1,35,,,,,,,,
22292,1,1,2,,,15,1,35,,,,,,,,
22292,2,1,2,,,10,1,40,,,,,,,,
22624,1,4,,,1,14,1,12,,,,,,,,
22624,2,0,,,,,,,,,,,,,,
22624,3,2,,,1,18,2,,,,,,,,,
22624,4,0,,,,,,,,,,,,,,
22624,5,0,,,,,,,,,,,,,,
22657,1,1,2,,,29,1,34,,67,75,2,,,,
22657,2,1,2,,,20,1,40,,,,2,,,,
22996,1,1,2,,,23,1,33,,,,,,,,
22996,2,0,,,,,,,,,,,,,,
23370,1,7,2,,3,16,1,40,,,,,,,,
23370,2,3,2,,1,11,1,10,,,,,,,,
23490,1,1,2,,,20,1,36,,,,,,,,
23797,1,1,2,,,16,1,27,,67,80,3,,,,
23797,2,0,,,,,,,,,,,,,,
23821,1,0,,,,,,,,,,,,,,
23821,2,0,,,,,,,,,,,,,,
23823,1,0,,,,,,,,,,,,,,
23823,2,1,2,,,20,1,15,,,,1,,,,
23865,1,1,2,,,25,1,33,,,,,,,,
23865,2,0,,,,,,,,,,,,,,
24147,1,1,2,,,26,1,32,,,,,,,,
24147,2,1,2,,,20,1,38,,60,70,1,75,,,
24149,1,2,2,,2,14,1,45,,,,,,,,
24194,1,6,1,1,1,13,1,41,,,,,,,,
24194,2,4,2,,3,18,1,15,42,65,50,2,,,,
24194,3,6,1,3,1,21,1,7,27,,,3,,,,
24194,4,5,2,,1,20,1,4,23,,,3,,,,
24382,1,1,,,,40,1,25,,,,,,,,
24382,2,2,1,2,1,25,1,40,,,,,,,,
24393,1,0,,,,,,,,,,,,,,
24616,1,2,2,,1,16,1,37,,,,,,,,
24616,2,2,1,12,1,18,1,25,,,,,,,,
24760,1,0,,,,,,,,,,,,,,
24764,1,0,,,,,,,,,,,,,,
24764,2,3,2,,1,18,1,35,20,,,2,,,,
24764,3,0,,,,,,,,,,,,,,
24764,4,0,,,,,,,,,,,,,,
24764,5,,,,,,,,,,,,,,,
24809,1,0,,,,,,,,,,,,,,
24809,2,1,2,,,32,1,32,,,,,,,,
24853,1,2,2,,1,18,1,40,,,,,,,,
24853,2,1,2,,,45,1,10,,,,1,,,,
25007,1,1,2,,,22,1,3,,,,,,,,
25930,1,1,2,,,21,1,37,,,,,,,,
25930,2,1,2,,,15,1,15,,,,,,,,
26048,1,1,2,,,20,1,35,,,,,,,,
26048,2,0,,,,,,,,,,,,,,
26349,1,1,2,,,18,1,20,,,,,,,,
27109,1,0,,,,,,,,,,,,,,
27114,1,0,,,,,,,,,,,,,,
27116,1,1,1,1,,18,1,38,,,,,,,,
27116,2,0,,,,,,,,,,,,,,
27123,1,2,2,,3,13,1,35,,,,,,,,
27123,2,1,1,10,,27,1,,,,,,,8,,
27157,1,1,2,,,24,1,30,,65,40,,,,,
27157,2,1,2,,,23,1,25,,,,2,,,,
27157,3,0,,,,,,,,,,,,,,
27157,4,0,,,,,,,,,,,,,,
27238,1,2,1,3,1,16,1,40,,,,,,,,
27238,2,1,2,,,25,1,20,,,,2,,,,
27509,1,5,2,,1,14,1,30,,,,,,,,
27730,1,3,2,,1,36,1,6,,,,,,,,
27730,2,4,2,,1,14,1,38,,,,,,,,
27730,3,4,,,1,18,1,3,,,,,,,,
27730,4,2,2,,1,23,1,4,26,,,2,,,,
27734,1,2,2,,1,18,1,3,,,,,,,,
27734,2,5,1,3,1,14,1,42,,,,,,,,
27734,3,6,1,5,3,17,1,9,33,,,,,,,
27739,1,0,,,,,,,,,,,,,,
27742,1,1,2,,,27,2,,,,,,,,,
27742,2,2,1,4,1,30,1,5,31,70,60,5,,,,
27912,1,1,2,,,22,1,37,,,,,,,,
27912,2,3,,,1,24,1,35,,,,,,,,
27912,3,5,,,1,22,1,6,,,,,,,,
27923,1,3,2,,1,18,1,38,,,,,,,,
27923,2,1,2,,,16,1,8,,,,,,,,
27923,3,0,,,,,,,,,,,,,,
27923,4,,,,,,,,,,,,,,,
27947,1,1,2,,,18,1,32,,,,,,,,
27947,2,3,2,,1,17,1,10,,,,,,,,
28100,1,1,2,,,20,1,36,,66,60,,,,,
28100,2,0,,,,,,,,,,,,,,
28100,3,0,,,,,,,,,,,,,,
28100,4,,,,,,,,,,,,,,,
28362,1,1,2,,,24,1,39,,,,,,,,
28441,1,3,2,,1,27,1,37,,,,,,,,
28441,2,1,2,,,19,1,15,,,,,,,,
28802,1,1,2,,,47,1,8,,67,35,,,,,
28802,2,3,2,,1,21,1,35,30,,,2,,,,
28802,3,0,,,,,,,,,,,,,,
28859,1,1,2,,,24,1,15,,,,,,,,
28992,1,3,2,,3,16,1,36,,,,,,,,
28992,2,0,,,,,,,,,,,,,,
29006,1,6,2,,3,17,1,35,,,,,,,,
29006,2,5,2,,3,14,1,26,,,,,,,,
29140,1,2,1,4,1,15,1,40,,,,,,,,
29140,2,2,1,8,1,15,1,41,,,,,,,,
29678,1,1,2,,,36,1,43,,,,,,,,
29678,2,0,,,,,,,,,,,,,,
29680,1,2,2,,1,14,1,34,19,65,50,2,,,,
29680,2,1,2,,,44,2,,,,,,,,,
29680,3,0,,,,,,,,,,,,,,
29680,4,1,2,,,16,1,3,,,,2,,,,
29737,1,1,2,,,33,1,29,,67,70,2,,,,
29737,2,1,2,,,25,1,41,,63,70,2,,,,
29742,1,2,2,,3,15,1,35,50,70,70,2,,,,
29742,2,1,2,,,20,1,40,,62,100,2,,,,
29742,3,0,,,,,,,,,,,,,,
29742,4,1,2,,,27,1,1,,,,2,,,,
29798,1,3,2,,1,14,1,36,,,,,,,,
29798,2,1,2,,,14,1,10,,,,,,,,
29823,1,0,,,,,,,,,,,,,,
29823,2,1,1,10,,36,1,13,,75,30,1,70,,,
29823,3,0,,,,,,,,,,,,,,
29823,4,0,,,,,,,,,,,,,,
29823,5,0,,,,,,,,,,,,,,
29823,6,,,,,,,,,,,,,,,
31092,1,2,2,,1,20,1,30,40,65,60,2,,,,
31092,2,0,,,,,,,,,,,,,,
31092,3,0,,,,,,,,,,,,,,
