nquest,quest,nquestp,ncomp,vitgen,ngen,figli,nfigli,parnoit,anconv,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,contint,CAPI
173,3,,1,1,1,1,2,2,,2,1,2,1,,,,,3,1
375,3,,1,2,,1,2,,,3,2,7,1,,,,,1,1
633,3,,1,2,,1,1,,,2,1,2,1,,,,,1,1
923,3,,1,2,,1,4,,,2,1,2,1,,,,,2,1
1367,3,,2,2,,1,3,,1950,1,1,1,1,1,1,1,1,1,1
1763,3,,2,1,1,1,2,,1971,1,1,1,1,2,1,1,1,2,0
1927,3,,1,2,,1,2,,,2,1,3,1,,,,,2,1
1946,3,,1,2,,2,,2,,3,1,2,1,,,,,2,1
2886,3,,3,1,1,1,2,,1976,2,1,2,1,2,1,2,1,1,1
3717,3,,1,2,,2,,2,,2,1,2,1,,,,,1,1
5416,3,,5,2,,2,,2,,2,1,2,1,,,,,2,0
7886,3,,2,1,1,1,2,,1973,2,1,2,1,2,1,2,1,1,1
11972,3,,2,2,,2,,,1966,1,1,1,1,1,1,1,1,2,1
20297,3,,2,1,2,2,,,2007,2,1,2,1,2,2,2,2,2,1
20711,3,,2,2,,1,5,,1970,1,1,1,1,1,1,1,1,2,1
20837,3,,2,2,,1,3,,1956,2,1,3,1,1,1,1,1,2,1
21384,3,,4,1,1,2,,,1981,2,1,2,1,2,1,2,1,1,1
21461,3,,1,2,,1,2,,,1,1,1,1,,,,,1,1
22099,3,,2,1,2,1,3,,1981,1,1,2,1,2,1,1,1,2,1
22169,3,,3,2,,1,3,,1960,1,1,1,1,1,1,1,1,2,1
22173,3,,2,2,,2,,,1964,2,1,2,1,2,1,2,1,2,1
22208,3,,1,2,,2,,,,3,1,2,1,,,,,2,1
22276,3,,2,1,1,2,,2,,2,1,2,,,,,,1,1
22277,3,,3,2,,2,,,1986,2,1,2,1,2,1,2,1,1,1
22286,3,,2,1,2,1,1,,1975,2,1,2,1,2,1,2,1,1,1
22292,3,,2,2,,1,2,,1957,1,1,1,1,1,1,1,1,1,1
22624,3,,5,1,1,1,1,,1978,1,1,1,1,2,1,1,1,1,1
22657,3,,2,2,,1,1,,1942,3,1,3,1,3,1,3,1,2,1
22996,3,,2,2,,1,2,,1961,2,1,2,1,2,1,2,1,1,1
23370,3,,2,2,,1,3,,1963,3,1,2,1,2,1,2,1,1,1
23490,3,,1,2,,2,,2,,2,1,2,1,,,,,2,1
23797,3,,2,2,,1,2,,1984,2,1,2,1,2,1,2,1,2,1
23821,3,,2,2,,1,4,,,2,1,1,1,,,,,1,1
23823,3,,2,2,,1,2,,,2,1,2,1,,,,,1,1
23865,3,,2,2,,1,2,,1971,3,1,2,1,2,1,7,1,1,1
24147,3,,2,1,1,1,2,,1978,4,1,2,1,3,1,3,1,1,1
24149,3,,1,2,,1,1,,,1,1,1,1,,,,,1,1
24194,3,,4,1,3,2,,,1980,7,1,1,1,3,1,1,1,2,1
24382,3,,2,1,1,1,2,,1966,1,1,1,1,1,1,1,1,1,1
24393,3,,1,2,,1,2,,,1,1,1,1,,,,,1,1
24616,3,,2,2,,1,2,,1964,1,1,2,1,2,1,2,1,1,1
24760,3,,1,2,,2,,,,1,1,2,1,,,,,2,1
24764,3,,5,1,2,2,,,1989,2,1,1,1,2,1,2,1,2,1
24809,3,,2,2,,1,2,,1960,2,1,2,1,2,1,2,1,2,1
24853,3,,2,1,2,1,2,,1985,1,1,1,1,4,1,2,1,1,1
25007,3,,1,2,,1,3,,,3,1,3,1,,,,,2,1
25930,3,,2,1,1,1,2,,1972,2,1,2,1,1,1,1,1,2,0
26048,3,,2,2,,1,2,,1967,2,1,2,1,2,1,2,1,2,1
26349,3,,1,2,,1,1,,,2,1,2,1,,,,,2,1
27109,3,,1,2,,1,4,,,1,1,1,1,,,,,1,1
27114,3,,1,2,,1,2,,,1,1,1,1,,,,,5,1
27116,3,,2,2,,1,1,,1964,2,1,2,1,1,1,1,1,1,1
27123,3,,2,2,,1,2,,1972,1,1,1,1,1,1,1,1,3,1
27157,3,,4,1,2,2,,,1986,2,1,2,1,2,1,2,1,2,1
27238,3,,2,1,3,1,2,,1978,1,1,1,1,2,1,2,1,3,1
27509,3,,1,2,,1,1,,,1,1,1,1,,,,,2,0
27730,3,,4,2,,1,1,,1970,1,1,1,1,1,1,2,1,2,1
27734,3,,3,2,,1,2,,1971,1,1,1,1,1,1,1,1,1,1
27739,3,,1,2,,1,4,,,1,1,1,1,,,,,1,1
27742,3,,2,2,,1,1,,,1,1,2,1,,,,,1,1
27912,3,,3,1,1,1,1,,1979,2,1,2,1,4,1,2,1,1,1
27923,3,,4,1,1,1,3,,1978,3,1,2,1,2,1,1,1,1,1
27947,3,,2,2,,1,3,,1958,2,1,2,1,2,1,1,1,1,1
28100,3,,4,1,2,1,2,,1981,3,1,3,1,3,2,4,2,1,1
28362,3,,1,2,,2,,,,3,1,3,1,,,,,2,1
28441,3,,2,2,,2,,,1980,2,1,2,1,2,1,2,1,2,1
28802,3,,3,2,,2,,,1981,4,1,2,1,2,1,2,1,2,1
28859,3,,1,2,,1,2,,,2,1,2,1,,,,,1,1
28992,3,,2,2,,2,,,1953,2,1,2,1,2,1,2,1,3,1
29006,3,,2,2,,1,1,,1969,2,1,2,1,2,1,2,1,1,1
29140,3,,2,2,,1,2,,1978,2,1,2,1,2,1,2,1,1,1
29678,3,,2,2,,1,3,,1957,1,1,1,1,1,1,1,1,1,1
29680,3,,4,1,3,2,,,1988,3,1,1,1,3,1,1,1,1,1
29737,3,,2,2,,2,,,1984,2,1,4,1,4,1,2,1,2,1
