nquest,pubblico,conspub,mesiconspub,conspcome,vuoimpre,NOIMPRE1,NOIMPRE2,NOIMPRE3,NOIMPRE4,NOIMPRE5,NOIMPRE6,NOIMPRE7,NOIMPRE8,SIMPRE1,SIMPRE2,SIMPRE3,SIMPRE4,SIMPRE5,pubpriv,scelpub,motpa1,motpa2,motpa3,motpa4,motpa5,motpa6,motpa7,motpa8,lavpa,scelpriv,motpriv1,motpriv2,motpriv3,motpriv4,motpriv5,motpriv6,motpriv7,motpriv8,varred,varredb,motdim,varredf,varredfb,aspred,varreda,motaum,varredfa
173,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
375,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,300,7,2,,2,,,
633,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,2,,,2,,1,,,
923,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
1367,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
1763,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
1927,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
1946,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
2886,1,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
3717,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
5416,2,2,,,2,3,5,4,4,5,5,4,4,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
7886,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
11972,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,200,5,3,10,1,,,
20297,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,500,8,2,,1,,,
20711,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
20837,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
21384,,2,,,,,,,,,,,,5,2,2,2,4,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
21461,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
22099,,2,,,,,,,,,,,,4,4,4,5,2,,,,,,,,,,,,,,,,,,,,,2,,,3,20,1,,,
22169,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
22173,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
22208,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,3,4,5,3,3,5,2,,,2,,2,,,
22276,1,1,2,1,,,,,,,,,,,,,,,1,2,5,4,4,4,5,4,3,3,,,,,,,,,,,2,,,2,,2,,,
22277,1,1,3,2,2,4,5,3,4,2,3,3,3,,,,,,2,2,4,3,4,4,4,3,3,3,,,,,,,,,,,2,,,2,,1,,,
22286,1,1,2,1,,,,,,,,,,,,,,,1,2,4,4,4,5,4,4,4,4,,,,,,,,,,,2,,,2,,1,,,
22292,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
22624,2,2,,,1,,,,,,,,,1,1,4,4,5,,,,,,,,,,,2,1,,,,,,,,,3,10000,1,3,50,1,,,
22657,1,1,12,2,2,5,1,5,1,1,1,1,1,,,,,,1,2,5,2,1,2,1,5,5,4,,,,,,,,,,,2,,,2,,2,,,
22996,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,1,1,4,5,1,2,,,2,,1,,,
23370,1,1,1,1,,,,,,,,,,,,,,,1,2,4,4,4,3,4,4,4,2,,,,,,,,,,,2,,,3,8,1,,,
23490,1,2,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,,,,,,,,,,,2,,,2,,2,,,
23797,2,2,,,2,4,3,4,3,5,3,3,4,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,2,,,2,,2,,,
23821,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
23823,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
23865,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
24147,2,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,4,5,5,5,5,4,5,2,,,2,,2,,,
24149,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
24194,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
24382,2,2,,,2,1,5,1,5,5,5,1,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
24393,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
24616,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,5,2,2,4,3,1,1,2,,,2,,2,,,
24760,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,200,8,2,,4,,,
24764,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4000,7,3,10,2,,,
24809,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
24853,1,1,2,1,,,,,,,,,,,,,,,1,2,5,5,5,5,5,5,5,5,,,,,,,,,,,2,,,2,,2,,,
25007,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
