nquest,ctit,nctit,ictit,unaban,banche,scoper,utscoper,mesiscoper,vmscoper,fscoper,carta,carte,usocart,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,cartdeb,cartdeb1,fscoper1,DEPOSIT,NDEPOSIT
173,2,,,1,1,2,,,,,2,,,1,1,2,,500,2,,,,1,1
375,2,,,1,1,2,,,,,2,,,1,1,2,,570,2,,,,1,1
633,,,,1,1,,,,,,2,,,1,1,2,,900,2,,,,1,1
923,2,,,1,1,2,,,,,2,,,1,1,2,,800,2,,,,1,1
1367,,,,1,1,,,,,,2,,,2,,2,,700,2,,,,1,1
1763,,,,1,1,,,,,,2,,,1,1,2,,800,2,,,,1,2
1927,2,,,1,1,2,,,,,2,,,1,1,2,,300,2,,,,1,1
1946,2,,,1,1,2,,,,,1,1,2,1,1,2,,300,2,,,,1,2
2886,2,,,2,2,1,2,,,,2,,,1,3,1,1,1000,2,,,,1,3
3717,,,,,,,,,,,2,,,2,,2,,800,2,,,,2,0
5416,2,,,1,1,1,2,,,,2,,,1,1,2,,1000,2,,,,1,1
7886,2,,,1,1,2,,,,,2,,,1,2,2,,1000,2,,,,1,2
11972,2,,,1,1,1,2,,,,2,,,2,,2,,200,2,,,,1,1
20297,2,,,1,1,2,,,,,2,,,2,,2,,700,2,,,,1,1
20711,2,,,1,1,1,1,10,200,,2,,,1,2,2,,700,2,,,1,1,1
20837,2,,,1,1,2,,,,,2,,,1,2,2,,400,2,,,,1,1
21384,2,,,1,1,2,,,,,2,,,1,1,2,,700,2,,,,1,1
21461,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,1
22099,2,,,1,1,1,2,,,,2,,,1,1,2,,1200,2,,,,1,1
22169,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,1
22173,2,,,1,1,2,,,,,2,,,1,1,2,,500,2,,,,1,1
22208,2,,,1,1,2,,,,,2,,,2,,2,,1200,2,,,,1,1
22276,2,,,2,2,2,,,,,2,,,2,,2,,1000,2,,,,1,2
22277,2,,,1,1,2,,,,,1,2,2,2,,2,,300,2,,,,1,1
22286,1,1,2,2,2,2,,,,,2,,,1,2,2,,800,2,,,,1,2
22292,2,,,2,2,2,,,,,2,,,1,1,2,,700,2,,,,1,2
22624,2,,,1,1,2,,,,,2,,,1,1,2,,800,2,,,,1,4
22657,2,,,2,2,1,2,,,,1,2,1,1,2,2,,700,1,,,,1,2
22996,1,1,2,1,1,3,,,,,1,1,2,1,1,2,,1200,1,,,,1,1
23370,2,,,1,1,1,2,,,,2,,,1,1,2,,600,2,,,,1,1
23490,2,,,2,2,2,,,,,2,,,1,1,2,,150,2,,,,1,2
23797,2,,,1,1,2,,,,,1,2,2,1,1,1,1,1000,2,,,,1,1
23821,2,,,1,1,1,2,,,,2,,,1,1,2,,600,2,,,,1,1
23823,2,,,2,2,1,2,,,,1,1,1,1,1,2,,1000,1,,,,1,2
23865,2,,,1,1,2,,,,,2,,,1,1,2,,600,2,,,,1,1
24147,2,,,2,2,2,,,,,1,1,2,1,2,1,1,500,1,,,,1,2
24149,2,,,1,1,2,,,,,2,,,2,,2,,500,2,,,,1,1
24194,1,1,2,2,3,2,,,,,2,,,1,3,1,1,1000,1,,,,1,4
24382,,,,1,1,,,,,,2,,,2,,2,,1000,2,,,,1,1
24393,,,,1,1,,,,,,2,,,2,,2,,500,2,,,,1,1
24616,2,,,1,1,1,2,,,,2,,,1,1,2,,400,2,,,,1,1
24760,,,,,,,,,,,2,,,2,,2,,900,2,,,,1,1
24764,2,,,1,1,3,,,,,1,1,1,2,,2,,1500,2,,,,1,1
24809,1,1,2,1,1,1,2,,,,2,,,2,,2,,800,2,,,,1,1
24853,2,,,2,2,2,,,,,2,,,1,2,2,,1000,1,,,,1,2
25007,2,,,1,1,1,2,,,,2,,,1,1,2,,900,2,,,,1,1
25930,1,1,2,2,2,2,,,,,1,1,2,1,1,2,,300,2,,,,1,2
26048,1,1,2,1,1,1,2,,,,1,1,2,1,2,2,,1200,1,,,,1,1
26349,2,,,1,1,2,,,,,2,,,2,,2,,1400,2,,,,1,1
27109,2,,,1,1,2,,,,,2,,,1,1,2,,850,2,,,,1,1
27114,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,2
27116,2,,,1,1,2,,,,,2,,,1,1,2,,400,2,,,,1,2
27123,2,,,1,1,1,2,,,,2,,,1,1,2,,500,2,,,,1,1
27157,2,,,2,2,1,1,12,10000,9500,1,1,2,2,,1,1,600,1,,,,1,3
27238,2,,,1,1,1,2,,,,2,,,1,2,2,,1500,2,,,,1,1
27509,2,,,1,1,3,,,,,2,,,1,1,2,,250,2,,,,1,1
27730,2,,,2,2,1,2,,,,2,,,1,3,1,1,1500,1,,,,1,2
27734,2,,,2,2,3,,,,,2,,,1,3,1,1,800,1,,,,1,2
27739,2,,,1,1,1,2,,,,2,,,1,1,2,,500,2,,,,1,1
27742,2,,,2,2,3,,,,,1,1,1,1,2,2,,1000,1,,,,1,2
27912,1,1,2,1,1,2,,,,,1,1,1,1,2,1,1,700,1,,,,1,2
27923,2,,,1,1,2,,,,,2,,,1,1,2,,500,1,,,,1,1
27947,2,,,2,2,2,,,,,2,,,1,1,2,,1600,2,,,,1,3
28100,2,,,1,1,1,2,,,,2,,,1,2,2,,1000,2,,,,1,1
28362,2,,,1,1,1,2,,,,2,,,1,1,2,,200,2,,,,1,1
28441,1,1,2,2,2,3,,,,,2,,,1,1,2,,1200,1,,,,1,2
28802,2,,,1,1,2,,,,,1,1,2,1,2,1,1,1500,1,,,,1,1
28859,2,,,1,1,2,,,,,2,,,2,,2,,600,2,,,,1,1
28992,2,,,1,1,1,2,,,,2,,,2,,2,,1350,2,,,,1,1
29006,2,,,1,1,2,,,,,1,1,2,1,2,1,1,1500,1,,,,1,2
29140,2,,,1,1,2,,,,,2,,,1,2,2,,250,2,,,,1,2
29678,2,,,1,1,2,,,,,2,,,2,,2,,750,2,,,,1,1
29680,2,,,1,1,2,,,,,1,1,1,1,1,2,,600,1,,,,1,1
29737,2,,,2,2,1,2,,,,1,2,2,1,2,1,1,1000,1,,,,1,3
29742,2,,,2,3,1,1,2,2500,2500,1,2,2,1,1,2,,2500,2,,,,1,4
29798,2,,,1,1,2,,,,,2,,,2,,2,,1200,2,,,,1,1
29823,2,,,1,1,2,,,,,1,1,3,1,1,1,1,500,1,5000,,,1,2
31092,2,,,1,1,2,,,,,1,1,2,1,2,2,,2000,2,,,,1,1
31093,2,,,1,1,1,2,,,,1,1,2,1,1,2,,300,2,,,,1,1
31219,,,,1,1,,,,,,2,,,2,,2,,750,2,,,,1,1
31220,1,2,2,2,2,1,2,,,,2,,,2,,2,,600,2,,,,1,2
31221,2,,,2,2,2,,,,,2,,,2,,2,,500,2,,,,1,2
31246,1,1,2,1,1,3,,,,,2,,,2,,2,,1600,2,,,,1,1
31304,2,,,2,3,2,,,,,2,,,1,1,2,,1200,1,,,,1,3
31448,2,,,1,1,1,2,,,,2,,,1,1,2,,600,2,,,,1,1
31625,2,,,2,3,2,,,,,1,3,2,1,3,2,,800,1,,,,1,3
31652,1,1,2,1,1,2,,,,,1,1,1,1,1,2,,1000,2,,,,1,2
31665,2,,,1,1,2,,,,,2,,,1,1,2,,1500,2,,,,1,1
31671,2,,,1,1,2,,,,,1,1,1,1,1,2,,900,1,,,,1,1
31695,2,,,2,2,2,,,,,1,1,2,1,3,1,2,1000,2,,,,1,3
31724,2,,,2,2,1,2,,,,1,2,2,1,3,2,,1000,1,,,,1,3
31757,2,,,1,1,2,,,,,2,,,1,1,2,,200,2,,,,1,1
31799,2,,,1,1,2,,,,,2,,,1,1,2,,300,2,,,,1,1
31860,2,,,1,1,1,1,3,800,0,2,,,1,2,2,,2000,1,,,,1,1
31912,2,,,1,1,2,,,,,2,,,2,,2,,1000,2,,,,1,1
32001,1,1,2,1,1,2,,,,,1,2,1,1,2,2,,850,2,,,,1,1
32034,2,,,1,1,2,,,,,2,,,1,2,2,,1200,2,,,,1,1
32044,2,,,1,1,2,,,,,2,,,2,,2,,300,2,,,,1,1
32052,2,,,1,1,2,,,,,2,,,1,2,2,,2000,2,,,,1,1
32057,2,,,1,1,2,,,,,1,1,1,1,3,2,,1500,2,,,,1,1
32190,1,1,1,2,2,2,,,,,1,1,1,1,1,2,,700,2,,,,1,2
32209,2,,,1,1,3,,,,,2,,,1,1,2,,800,2,,,,1,1
32210,2,,,1,1,2,,,,,2,,,1,1,1,1,700,2,,,,1,1
32288,2,,,2,3,1,2,,,,2,,,1,2,1,2,500,2,,,,1,4
32318,2,,,1,1,2,,,,,2,,,1,1,2,,500,2,,,,1,1
32320,1,1,2,1,1,1,2,,,,1,1,2,1,4,1,1,800,1,,,,1,3
32470,,,,1,1,,,,,,2,,,2,,2,,1400,2,,,,1,1
32471,2,,,1,1,2,,,,,2,,,1,1,2,,400,2,,,,1,1
32524,1,1,2,2,2,1,2,,,,1,2,1,1,2,1,1,500,1,,,,1,2
32556,1,1,1,1,1,2,,,,,2,,,1,1,2,,400,2,,,,1,1
32668,2,,,1,1,2,,,,,2,,,2,,2,,1000,2,,,,1,1
32703,2,,,2,2,2,,,,,2,,,2,,2,,350,2,,,,1,2
32709,1,2,2,2,2,2,,,,,1,3,2,1,4,2,,2000,2,,,,1,5
32729,2,,,1,1,1,1,6,4000,5000,1,1,2,1,2,2,,1200,2,,,,1,1
32733,2,,,2,2,1,2,,,,2,,,2,,2,,700,2,,,,1,2
32734,2,,,1,1,1,1,3,2000,0,1,1,2,1,1,2,,1200,1,,,,1,1
32742,1,1,2,1,1,1,2,,,,2,,,1,2,1,1,1500,1,,,,1,1
32751,2,,,2,2,2,,,,,2,,,2,,2,,1000,2,,,,1,2
32765,2,,,2,2,1,2,,,,1,2,2,1,2,1,1,500,1,,,,1,2
32772,1,1,2,1,1,2,,,,,2,,,1,1,2,,300,2,,,,1,2
32810,,,,1,1,,,,,,2,,,2,,2,,500,2,,,,1,1
32822,2,,,2,2,2,,,,,2,,,1,2,2,,2000,2,,,,1,2
32839,2,,,2,2,1,2,,,,2,,,1,2,2,,700,2,,,,1,2
32861,2,,,2,2,2,,,,,2,,,1,2,1,1,2000,2,,,,1,2
32887,2,,,2,2,2,,,,,1,1,2,1,1,2,,500,1,,,,1,2
32987,2,,,1,1,2,,,,,2,,,1,1,2,,1200,2,,,,1,1
33036,,,,1,1,,,,,,2,,,1,1,2,,800,2,,,,1,1
33038,2,,,1,1,2,,,,,2,,,1,2,2,,1400,2,,,,1,2
33275,1,1,2,1,1,1,2,,,,2,,,1,2,2,,1500,1,,,,1,1
33303,2,,,1,1,2,,,,,2,,,1,2,2,,1000,2,,,,1,1
33335,2,,,2,3,1,2,,,,1,1,2,1,4,1,4,500,1,,,,1,7
33336,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,2
33348,1,1,1,1,1,2,,,,,2,,,2,,2,,1500,2,,,,1,2
33451,2,,,1,1,2,,,,,2,,,1,1,2,,1800,2,,,,1,1
33455,1,1,1,1,1,2,,,,,2,,,2,,2,,1300,2,,,,1,2
33479,2,,,1,1,2,,,,,2,,,2,,2,,2000,2,,,,1,1
33644,2,,,2,2,2,,,,,2,,,1,2,2,,500,2,,,,1,2
