nquest,anabit,godabit,unipro,anposs,poss,impacq,tfitto,tipoaff,dfittom,propriet,tfitimp,ritaff,supab,ancostr,bagni,valabit,antic,anticipi,fittonop,tfittonop,tfittom,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,manstra,tmanstra,manstr2,tmanstr2,debita1,ndebita1,debita2,ndebita2,debitc,ndebitc,debitd,ndebitd,debite,ndebite,debitf,chifinmut,chifincons,ritardo,mutuor,fmutrif,mutuoe,mutuor3,mutuoric,mutuoric3,varric,varricb,motvarricb,varricf,varricfb,eredona,erequant,eredonc,intpersezd,docsezd,mutuorif,reapmut,varrica,motvarrica,varricfa,ndebitf,debitg,ndebitg,credit,tcredit,debit,tdebit,mutuoe3,tipota1,tipota2,tipota3,tipota4,tipota5,tipota6,tipota7,tipota8,era1,era2,era3,era4,era5,era6,era7,era8,dagena1,dagena2,dagena3,dagena4,dagena5,dagena6,dagena7,dagena8,annota1,annota2,annota3,annota4,annota5,annota6,annota7,annota8,valta1,valta2,valta3,valta4,valta5,valta6,valta7,valta8,VARVALABIT,QUOPRO
173,2004,1,1,2004,1,100000,,,,,600,,160,1980,2,150000,2,,,,,1,,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
375,1970,1,1,1970,1,5000,,,,,500,,120,1970,2,150000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
633,1965,1,1,1965,4,,,,,,500,,100,1960,1,130000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
923,1968,1,1,1968,7,6000,,,,,400,,180,1968,2,280000,2,,,,,1,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
1367,1965,1,1,1965,1,5000,,,,,200,,90,1940,1,60000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
1763,1977,1,1,1977,4,,,,,,150,,45,1900,1,25000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
1927,1962,2,,,,,318,4,1,4,,2,93,1940,1,90000,2,,,,500,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1946,1964,2,,,,,118,5,1,9,,2,96,1960,1,140000,2,,,,400,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
2886,1981,1,1,1981,1,23000,,,,,450,,90,1968,2,150000,2,,,,,1,1,0,,,,,,,1,2,1,2,1,1,2,,1,3000,2,,2,,2,,1,1,2,,2,,2,,3,2,2,,,2,2,2,2,,,3,10,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,2013,,,,,,,,30000,,,,,,,,3,100
3717,1995,2,,,,,400,1,2,4,,2,100,1960,2,150000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,1,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
5416,1985,2,,,,,350,1,2,4,,2,60,1958,1,100000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
7886,1986,1,1,1986,1,25000,,,,,700,,120,1960,2,500000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
11972,1980,1,1,1980,1,180000,,,,,600,,90,1969,1,280000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
20297,1964,2,,,,,380,4,1,4,,2,83,1960,1,90000,2,,,,700,,,,,,,,,,1,1,2,,2,,2,,2,,2,,,,1,1,2,,2,,2,,2,4,,2,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
20711,1944,4,,,,,,,,2,300,,80,1944,1,100000,2,,,,,,,,,,,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,4,,1,1,2,1,2,,,,,,,2,,2,,2,,,4,,,,,,,,1,,,,,,,,1,,,,,,,,1978,,,,,,,,10000,,,,,,,,3,
20837,1963,1,1,1963,1,1400,,,,,600,,90,1963,1,200000,2,,,,,1,1,,,,,,,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,2,2,1,2,,,,,,,2,,2,,2,,,2,2,,,,,,,1,1,,,,,,,1,1,,,,,,,1993,1993,,,,,,,80000,60000,,,,,,,2,100
21384,1981,1,1,2000,5,26000,,,,,400,,100,1978,1,150000,2,,,,,1,1,0,0,,,,,,2,,1,1,2,,2,,1,20000,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
21461,1972,4,,,,,,,,2,500,,65,1962,1,150000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,4,,,4,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
