nquest,comprens,ita,veroaf,veroab,verored,klima,facil,durata
173,10,10,10,10,7,10,10,51
375,9,8,9,9,9,8,9,20
633,9,9,9,9,9,9,9,30
923,7,8,8,8,8,8,8,58
1367,8,7,7,7,8,7,8,77
1763,7,7,8,8,8,8,8,30
1927,10,10,10,10,10,10,10,52
1946,10,10,10,10,10,10,10,45
2886,9,9,9,9,9,9,9,76
3717,8,8,6,7,6,7,6,51
5416,10,10,9,10,10,10,10,80
7886,9,9,9,9,9,9,9,46
11972,7,9,7,6,7,8,7,57
20297,10,10,10,10,10,9,10,60
20711,10,10,10,10,10,10,10,31
20837,8,8,8,8,8,8,8,55
21384,8,8,8,8,8,8,8,54
21461,8,9,7,8,7,9,8,29
22099,10,10,9,9,5,10,10,24
22169,10,10,10,10,10,10,10,25
22173,10,10,10,10,7,10,10,38
22208,9,10,10,10,10,10,10,92
22276,6,8,8,7,9,9,7,31
22277,9,9,10,8,9,10,9,45
22286,9,9,9,9,9,9,9,38
22292,6,8,7,8,7,10,6,40
22624,4,9,9,9,4,10,9,78
22657,10,10,10,10,10,10,10,123
22996,9,8,8,7,6,9,8,45
23370,9,9,8,9,7,9,9,46
23490,8,8,8,8,8,8,8,28
23797,10,10,10,10,8,10,10,33
23821,6,8,8,8,6,8,7,43
23823,6,7,7,9,9,9,8,60
23865,9,8,7,8,8,9,9,24
24147,9,9,9,9,9,9,9,32
24149,9,9,9,9,9,9,9,28
24194,8,8,8,10,10,8,8,83
24382,7,7,7,7,8,7,7,38
24393,8,8,8,8,8,8,8,40
24616,9,7,8,8,8,10,8,68
24760,8,8,8,8,8,9,8,53
24764,9,9,9,8,9,9,8,58
24809,10,8,7,9,6,9,9,89
24853,10,10,10,10,10,10,10,41
25007,9,8,9,9,9,8,9,36
25930,10,10,8,10,10,10,10,50
26048,10,10,10,10,10,10,10,40
26349,9,9,9,9,9,9,9,32
27109,6,5,6,8,7,8,8,63
27114,6,5,7,8,7,8,8,45
27116,7,6,7,7,7,8,7,47
27123,8,7,8,7,8,8,8,60
27157,7,7,7,7,7,7,7,100
27238,10,10,10,10,10,10,10,47
27509,9,10,8,10,10,10,9,60
27730,9,9,8,9,8,9,9,85
27734,9,9,9,10,9,10,10,58
27739,9,8,9,8,7,10,10,91
27742,9,9,9,9,8,10,10,90
27912,9,9,9,9,9,9,9,84
27923,8,8,7,8,7,8,8,69
27947,8,7,8,8,8,9,8,54
28100,9,9,9,9,9,9,9,59
28362,10,10,10,10,10,10,10,22
28441,9,9,9,9,9,9,9,73
28802,9,9,9,9,9,9,9,62
28859,10,10,10,10,10,10,10,41
28992,10,10,9,8,7,10,9,112
29006,9,8,8,8,8,9,9,58
29140,8,8,8,8,8,8,8,51
29678,7,7,7,7,7,7,7,37
29680,7,7,7,7,7,7,7,54
29737,10,10,10,10,10,10,10,103
29742,10,10,9,9,8,10,10,70
29798,10,10,10,10,10,10,10,35
29823,10,10,10,10,10,10,10,89
31092,9,8,9,7,8,9,8,71
31093,10,10,9,9,9,10,10,55
31219,6,6,6,7,5,6,5,37
31220,6,6,5,8,5,10,6,117
31221,7,8,4,9,6,10,7,73
31246,9,8,7,6,6,9,8,59
31304,9,9,8,8,7,8,8,32
31448,10,10,10,10,9,10,10,64
31625,8,8,8,8,8,8,8,81
31652,10,9,10,10,9,10,10,56
31665,9,8,9,9,7,9,9,37
31671,8,8,8,8,8,9,9,41
31695,7,7,7,7,7,8,7,46
31724,10,10,10,10,10,10,10,152
31757,8,7,7,7,7,7,6,34
31799,9,9,9,9,9,9,9,29
31860,10,10,10,10,10,10,10,59
31912,9,9,9,9,9,9,9,44
32001,10,10,10,10,10,10,10,50
32034,8,8,8,8,8,8,8,37
32044,7,7,8,8,8,9,7,61
32052,9,8,8,8,8,8,8,41
32057,8,8,7,7,7,8,8,73
32190,9,9,9,9,9,9,9,50
32209,9,8,8,9,8,9,8,65
32210,8,7,7,9,7,9,9,66
32288,8,8,8,8,8,8,8,51
32318,10,10,10,10,10,10,10,41
32320,10,10,10,10,10,10,10,81
32470,10,8,9,10,10,10,10,58
32471,9,10,10,10,10,9,10,39
32524,10,10,10,10,10,10,10,82
32556,10,10,10,10,10,10,10,58
32668,9,9,9,9,9,9,9,43
32703,9,8,7,8,9,10,9,68
32709,10,8,8,8,8,10,8,52
32729,7,7,7,8,6,10,7,82
32733,4,5,6,9,8,10,4,73
32734,6,7,8,10,8,10,6,59
32742,6,6,6,8,6,10,5,52
32751,8,8,6,8,8,6,6,37
32765,8,8,8,8,8,7,7,47
32772,10,10,10,10,10,10,10,48
32810,10,10,10,10,10,10,10,41
32822,7,7,7,7,7,7,7,53
32839,9,9,9,9,9,9,8,39
32861,8,8,8,8,8,8,8,43
32887,9,9,9,9,9,9,9,80
32987,6,7,7,10,10,7,6,38
33036,6,10,10,10,10,10,10,55
33038,10,10,10,10,10,10,10,43
33275,10,10,10,8,8,8,10,130
33303,7,7,7,7,7,7,7,44
33335,10,10,10,10,10,10,10,90
33336,10,10,10,10,10,10,10,43
33348,10,10,10,10,10,10,10,51
33451,9,9,9,9,9,10,9,27
33455,7,7,7,7,7,7,7,77
33479,9,9,9,9,9,10,9,35
33644,6,6,6,5,6,6,6,33
33751,10,9,8,9,9,9,8,33
33761,10,9,7,7,8,9,8,36
33773,10,9,8,9,9,8,8,36
33823,9,9,9,9,9,9,9,46
33839,7,7,7,7,7,8,7,56
33877,9,9,9,9,9,9,9,59
33882,9,10,10,10,10,10,10,55
33937,6,7,6,8,5,7,7,32
33983,10,10,10,10,10,10,10,41
33985,10,10,10,10,10,10,10,52
33994,10,10,10,10,10,10,10,90
34059,10,10,10,10,10,10,10,46
34252,7,7,7,7,7,7,7,30
34396,10,10,10,10,10,10,10,45
34732,8,8,7,9,8,6,8,67
34778,7,8,7,8,6,8,8,47
34793,7,7,7,7,7,7,7,27
34825,8,8,8,8,8,8,8,80
34900,8,8,7,8,8,8,8,77
35005,6,7,7,6,8,7,7,54
35022,10,10,10,10,10,10,10,52
35032,8,8,8,8,8,8,8,90
35234,10,10,10,10,10,10,10,65
35319,8,8,8,8,8,8,8,41
35322,8,8,9,9,9,9,9,53
35323,8,8,8,9,9,9,9,50
35326,7,6,6,6,4,6,5,93
35340,6,6,6,6,6,6,6,32
35349,7,7,7,6,6,7,6,54
35355,6,6,6,6,6,6,6,37
35370,6,6,6,6,6,6,6,54
35372,8,8,8,8,8,8,8,59
35374,8,8,7,7,7,7,7,63
35379,8,7,7,10,10,7,7,43
35502,8,8,7,7,7,8,7,85
35507,7,7,7,7,7,8,7,79
35508,7,7,7,7,7,7,7,59
35518,7,7,7,7,7,7,7,83
35600,6,6,7,8,7,6,6,50
35640,10,10,10,10,10,10,10,64
35682,8,9,8,8,8,8,8,54
35788,10,10,10,10,7,8,8,79
35968,8,8,8,8,8,9,7,64
36067,9,9,9,9,9,9,9,33
36130,9,9,9,8,9,9,9,74
36148,8,8,8,8,8,8,8,29
36164,8,7,7,8,7,6,6,45
36186,8,8,8,8,8,8,8,27
36250,8,8,7,8,7,9,7,87
36311,9,9,9,9,9,9,9,65
36321,8,8,8,8,8,8,8,57
36333,10,10,10,10,10,10,10,51
36378,9,9,9,9,9,9,9,78
36403,7,9,9,9,9,9,7,28
36409,9,9,9,9,9,9,9,34
36443,9,8,9,10,9,9,9,52
36450,8,8,9,9,9,9,8,81
36522,9,9,9,10,10,10,9,87
36524,8,7,8,7,6,8,8,46
36697,9,9,9,9,9,9,9,39
36774,10,10,10,10,10,10,10,32
36893,8,8,8,6,7,7,5,54
37001,9,8,8,9,8,9,8,78
37011,10,10,10,10,10,10,10,71
37042,9,9,9,9,9,9,9,60
37299,8,8,8,8,8,8,8,65
37459,8,7,7,7,7,7,7,51
37521,9,9,9,9,9,9,9,68
37665,9,9,9,9,8,9,8,82
37677,10,9,8,9,9,9,8,35
37721,9,9,9,10,9,9,8,41
