nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
173,35272.053703,0,0,0,22900,23400,23400,0,-500,0,0,-500,0,500,0,0,0,12372.053703,12200,0,12200,172.05370257,172.05370257,0,0,0
375,14710,0,0,0,8710,8710,8710,0,0,0,0,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,0,0
633,19005.161611,0,0,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,6005.1616111,6000,0,6000,5.1616110772,5.1616110772,0,0,0
923,28554.301343,0,0,0,10150,7150,7150,0,3000,0,0,3000,3000,0,0,0,0,18404.301343,18400,0,18400,4.3013425644,4.3013425644,0,0,0
1367,14341.834907,0,0,0,11830,11830,11830,0,0,0,0,0,0,0,0,0,0,2511.8349067,2400,0,2400,111.83490667,111.83490667,0,0,0
1763,9934.1887872,0,0,0,8060,8060,8060,0,0,0,0,0,0,0,0,0,0,1874.1887872,1800,0,1800,74.188787198,74.188787198,0,0,0
1927,10538.602685,0,0,0,10530,10530,10530,0,0,0,0,0,0,0,0,0,0,8.6026851287,0,0,0,8.6026851287,8.6026851287,0,0,0
1946,12930.938058,0,0,0,12285,12285,12285,0,0,0,0,0,0,0,0,0,0,645.93805829,0,0,0,645.93805829,645.93805829,0,0,0
2886,49856.162937,22880,22500,380,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,11376.162937,11300,0,11300,76.162936952,76.162936952,0,0,0
3717,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000,0,0,0,0,0,0,0,0,0,0
5416,35025.743402,35000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.743402034,0,0,0,25.743402034,25.743402034,0,0,0
7886,45297.826851,7500,7500,0,29250,29250,29250,0,0,0,0,0,0,0,0,0,0,8547.8268513,8400,0,8400,147.82685129,86.026851287,0,61.8,0
11972,30617.20537,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,0,7217.2053703,7200,0,7200,17.205370257,17.205370257,0,0,0
20297,20169.578035,6300,6300,0,15184,15184,15184,0,0,0,0,0,0,0,0,0,0,-1314.421965,200,0,200,-1514.421965,55.917453337,0,0,1570.3394183
20711,29317.20537,0,0,0,24700,24700,24700,0,0,0,0,0,0,0,0,0,0,4617.2053703,4600,0,4600,17.205370257,17.205370257,0,0,0
20837,46915.839089,0,0,0,28600,28600,28600,0,0,0,0,0,0,0,0,0,0,18315.839089,17400,10200,7200,915.83908879,154.84833232,760.99075648,0,0
21384,22944.937048,4500,4500,0,2378,578,578,0,1800,1800,0,0,0,0,11000,11000,0,5066.9370479,4800,0,4800,266.93704786,266.93704786,0,0,0
21461,14359.001426,0,0,0,8300,7800,7800,0,500,500,0,0,0,0,0,0,0,6059.0014261,6000,0,6000,59.00142611,59.00142611,0,0,0
22099,28211.512331,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,21000,0,7211.5123309,7200,0,7200,11.512330892,11.512330892,0,0,0
22169,12350,0,0,0,12350,12350,12350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22173,15612.904028,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,12.904027693,0,0,0,12.904027693,12.904027693,0,0,0
22208,26296.39436,0,0,0,20280,20280,20280,0,0,0,0,0,0,0,0,0,0,6016.3943597,6000,0,6000,16.394359738,16.394359738,0,0,0
22276,36617.806129,0,0,0,32250,32250,32250,0,0,0,0,0,0,0,0,0,0,4367.8061291,3000,0,3000,1367.8061291,378.51814566,989.28798342,0,0
22277,38116.90821,16900,16900,0,0,0,0,0,0,0,0,0,0,0,15000,15000,0,6216.9082098,5400,0,5400,816.90820981,55.917453337,0,760.99075648,0
22286,24273.859733,0,0,0,16250,16250,16250,0,0,0,0,0,0,0,0,0,0,8023.8597334,7200,0,7200,823.8597334,215.06712822,0,608.79260518,0
22292,45638.714443,0,0,0,30010,30010,30010,0,0,0,0,0,0,0,0,0,0,15628.714443,14600,4800,9800,1028.7144431,206.46444309,0,822.25,0
22624,7000,0,0,0,800,0,0,0,800,800,0,0,0,0,0,0,0,6200,6200,0,6200,0,0,0,0,0
