nquest,Y,CN,CD1,CD2,CD,C,S
173,35272.053703,24200,0,0,0,24200,11072.053703
375,14710,15480,0,0,0,15480,-770
633,19005.161611,18000,1000,0,1000,19000,5.1616110772
923,28554.301343,28000,0,0,0,28000,554.30134256
1367,14341.834907,11400,0,0,0,11400,2941.8349067
1763,9934.1887872,11400,0,0,0,11400,-1465.811213
1927,10538.602685,8616,0,0,0,8616,1922.6026851
1946,12930.938058,8616,0,0,0,8616,4314.9380583
2886,49856.162937,41680,7500,0,7500,49180,676.16293695
3717,4000,9600,0,0,0,9600,-5600
5416,35025.743402,18600,0,0,0,18600,16425.743402
7886,45297.826851,32400,0,0,0,32400,12897.826851
11972,30617.20537,13200,0,0,0,13200,17417.20537
20297,20169.578035,13160,0,0,0,13160,7009.578035
20711,29317.20537,16600,0,0,0,16600,12717.20537
20837,46915.839089,31200,0,3000,3000,34200,12715.839089
21384,22944.937048,18000,0,0,0,18000,4944.9370479
21461,14359.001426,18000,0,0,0,18000,-3640.998574
22099,28211.512331,19200,0,1000,1000,20200,8011.5123309
22169,12350,10800,0,0,0,10800,1550
22173,15612.904028,14400,0,0,0,14400,1212.9040277
22208,26296.39436,20400,0,0,0,20400,5896.3943597
22276,36617.806129,15000,0,0,0,15000,21617.806129
22277,38116.90821,21000,0,0,0,21000,17116.90821
22286,24273.859733,21600,0,0,0,21600,2673.8597334
22292,45638.714443,27800,0,2000,2000,29800,15838.714443
22624,7000,15800,0,0,0,15800,-8800
22657,47408.008364,38400,0,3600,3600,42000,5408.0083642
22996,39137.44854,28810,0,390,390,29200,9937.4485401
23370,15754.629536,11040,0,1200,1200,12240,3514.6295364
23490,22297.887343,15600,0,0,0,15600,6697.8873425
23797,22517.20537,15600,0,0,0,15600,6917.2053703
23821,11591.860528,10800,0,0,0,10800,791.86052807
23823,30355.509843,19200,0,1100,1100,20300,10055.509843
23865,40500,22200,0,0,0,22200,18300
24147,100700.43759,65800,0,2000,2000,67800,32900.437592
24149,9502.9040277,8640,0,0,0,8640,862.90402769
24194,75415.740277,32700,16000,2000,18000,50700,24715.740277
24382,14293.190434,13200,0,0,0,13200,1093.1904343
24393,11308.508515,10800,0,0,0,10800,508.50851536
24616,30528.821481,24600,0,400,400,25000,5528.821481
24760,15908.602685,11400,0,0,0,11400,4508.6026851
24764,25025.808055,24000,0,0,0,24000,1025.8080554
24809,33183.787509,17650,-800,0,-800,16850,16333.787509
24853,55386.026851,31200,0,0,0,31200,24186.026851
25007,19414.196916,18000,0,0,0,18000,1414.1969163
25930,33055.472597,18000,0,0,0,18000,15055.472597
26048,48652.172781,36600,0,0,0,36600,12052.172781
26349,25987.513591,24000,0,0,0,24000,1987.5135909
27109,12850,12000,0,0,0,12000,850
27114,22032.053703,16860,0,400,400,17260,4772.0537026
27116,22751.616111,12900,0,0,0,12900,9851.6161108
27123,25915.067128,22100,0,300,300,22400,3515.0671282
