nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
173,1,0,0,23400,0,0,0,0,500,0,23400,-500,-500,22900,0,0,12200,12200,172.05370257,0,0,0,172.05370257,12372.053703,35272.053703,0,0
375,1,0,0,8710,0,0,0,0,0,0,8710,0,0,8710,0,0,6000,6000,0,0,0,0,0,6000,14710,0,0
633,1,0,0,13000,0,0,0,0,0,0,13000,0,0,13000,0,0,6000,6000,5.1616110772,0,0,0,5.1616110772,6005.1616111,19005.161611,0,0
923,1,0,0,7150,0,0,0,3000,0,0,7150,3000,3000,10150,0,0,18400,18400,4.3013425644,0,0,0,4.3013425644,18404.301343,28554.301343,0,0
1367,1,0,0,7540,0,0,0,0,0,0,7540,0,0,7540,0,0,2400,2400,111.83490667,0,0,0,111.83490667,2511.8349067,10051.834907,0,0
1367,2,0,0,4290,0,0,0,0,0,0,4290,0,0,4290,0,0,0,0,0,0,0,0,0,0,4290,0,0
1763,1,0,0,8060,0,0,0,0,0,0,8060,0,0,8060,0,0,1800,1800,74.188787198,0,0,0,74.188787198,1874.1887872,9934.1887872,0,0
1927,1,0,0,10530,0,0,0,0,0,0,10530,0,0,10530,0,0,0,0,8.6026851287,0,0,0,8.6026851287,8.6026851287,10538.602685,0,0
1946,1,0,0,12285,0,0,0,0,0,0,12285,0,0,12285,0,0,0,0,645.93805829,0,0,0,645.93805829,645.93805829,12930.938058,0,0
2886,1,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,0,11300,11300,76.162936952,0,0,0,76.162936952,11376.162937,26976.162937,0,0
2886,2,22500,380,0,0,0,0,0,0,22880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22880,0,0
3717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,4000,4000,0
5416,1,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,25.743402034,0,0,0,25.743402034,25.743402034,10025.743402,0,0
5416,2,9000,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0
5416,3,8000,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0
5416,4,8000,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0
7886,1,0,0,29250,0,0,0,0,0,0,29250,0,0,29250,0,0,8400,8400,86.026851287,0,61.8,0,147.82685129,8547.8268513,37797.826851,0,0
7886,2,7500,0,0,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0
11972,1,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,7200,7200,17.205370257,0,0,0,17.205370257,7217.2053703,21517.20537,0,0
11972,2,0,0,9100,0,0,0,0,0,0,9100,0,0,9100,0,0,0,0,0,0,0,0,0,0,9100,0,0
20297,1,0,0,15184,0,0,0,0,0,0,15184,0,0,15184,0,0,200,200,55.917453337,0,0,1570.3394183,-1514.421965,-1314.421965,13869.578035,0,0
20297,2,6300,0,0,0,0,0,0,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,0,0
20711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4600,4600,17.205370257,0,0,0,17.205370257,4617.2053703,4617.2053703,0,0
20711,2,0,0,24700,0,0,0,0,0,0,24700,0,0,24700,0,0,0,0,0,0,0,0,0,0,24700,0,0
20837,1,0,0,22100,0,0,0,0,0,0,22100,0,0,22100,0,10200,7200,17400,154.84833232,760.99075648,0,0,915.83908879,18315.839089,40415.839089,0,0
20837,2,0,0,6500,0,0,0,0,0,0,6500,0,0,6500,0,0,0,0,0,0,0,0,0,0,6500,0,0
21384,1,0,0,578,0,0,0,0,0,0,578,0,0,578,11000,0,4800,4800,266.93704786,0,0,0,266.93704786,5066.9370479,16644.937048,11000,0
21384,3,4500,0,0,0,1800,0,0,0,4500,0,0,1800,1800,0,0,0,0,0,0,0,0,0,0,6300,0,0
21461,1,0,0,7800,0,500,0,0,0,0,7800,0,500,8300,0,0,6000,6000,59.00142611,0,0,0,59.00142611,6059.0014261,14359.001426,0,0
22099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,7200,7200,11.512330892,0,0,0,11.512330892,7211.5123309,28211.512331,21000,0
22169,1,0,0,5590,0,0,0,0,0,0,5590,0,0,5590,0,0,0,0,0,0,0,0,0,0,5590,0,0
22169,2,0,0,6760,0,0,0,0,0,0,6760,0,0,6760,0,0,0,0,0,0,0,0,0,0,6760,0,0
22173,1,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,0,0,0,12.904027693,0,0,0,12.904027693,12.904027693,15612.904028,0,0
22208,1,0,0,20280,0,0,0,0,0,0,20280,0,0,20280,0,0,6000,6000,16.394359738,0,0,0,16.394359738,6016.3943597,26296.39436,0,0
22276,1,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,0,3000,3000,378.51814566,989.28798342,0,0,1367.8061291,4367.8061291,19967.806129,0,0
22276,2,0,0,16650,0,0,0,0,0,0,16650,0,0,16650,0,0,0,0,0,0,0,0,0,0,16650,0,0
22277,1,16900,0,0,0,0,0,0,0,16900,0,0,0,0,0,0,5400,5400,55.917453337,0,760.99075648,0,816.90820981,6216.9082098,23116.90821,0,0
22277,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,15000,15000,0
22286,1,0,0,11050,0,0,0,0,0,0,11050,0,0,11050,0,0,7200,7200,215.06712822,0,608.79260518,0,823.8597334,8023.8597334,19073.859733,0,0
22286,2,0,0,5200,0,0,0,0,0,0,5200,0,0,5200,0,0,0,0,0,0,0,0,0,0,5200,0,0
22292,1,0,0,9360,0,0,0,0,0,0,9360,0,0,9360,0,4800,9800,14600,206.46444309,0,822.25,0,1028.7144431,15628.714443,24988.714443,0,0
22292,2,0,0,20650,0,0,0,0,0,0,20650,0,0,20650,0,0,0,0,0,0,0,0,0,0,20650,0,0
22624,1,0,0,0,0,800,0,0,0,0,0,0,800,800,0,0,6200,6200,0,0,0,0,0,6200,7000,0,0
22657,1,20800,0,0,0,0,0,0,12000,20800,0,-12000,-12000,-12000,0,0,18000,18000,86.026851287,1521.981513,0,0,1608.0083642,19608.008364,28408.008364,0,0
22657,2,6000,0,13000,0,0,0,0,0,6000,13000,0,0,13000,0,0,0,0,0,0,0,0,0,0,19000,0,0
22996,1,0,0,28535,0,0,0,0,0,0,28535,0,0,28535,0,0,6010,6010,67.961212517,234.48732757,0,0,302.44854008,6312.4485401,34847.44854,0,0
22996,2,0,0,4290,0,0,0,0,0,0,4290,0,0,4290,0,0,0,0,0,0,0,0,0,0,4290,0,0
23370,1,0,0,17160,0,0,0,0,1500,0,17160,-1500,-1500,15660,0,0,0,0,94.629536416,0,0,0,94.629536416,94.629536416,15754.629536,0,0
23490,1,0,0,18200,0,0,0,0,0,0,18200,0,0,18200,0,0,3600,3600,41.292888618,456.59445389,0,0,497.8873425,4097.8873425,22297.887343,0,0
23797,1,16500,0,0,0,0,0,0,0,16500,0,0,0,0,0,0,6000,6000,17.205370257,0,0,0,17.205370257,6017.2053703,22517.20537,0,0
23821,1,0,0,7930,0,0,0,0,0,0,7930,0,0,7930,0,0,3600,3600,61.860528069,0,0,0,61.860528069,3661.8605281,11591.860528,0,0
23823,1,0,0,11700,0,0,0,0,0,0,11700,0,0,11700,0,0,7200,7200,203.60382534,0,0,2748.0939821,-2544.490157,4655.5098433,16355.509843,0,0
23823,2,14000,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0
23865,1,0,0,35100,0,0,0,0,0,0,35100,0,0,35100,0,0,5400,5400,0,0,0,0,0,5400,40500,0,0
24147,1,0,0,22880,0,0,0,0,0,0,22880,0,0,22880,0,14500,41800,56300,120.4375918,0,0,0,120.4375918,56420.437592,79300.437592,0,0
24147,2,21400,0,0,0,0,0,0,0,21400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21400,0,0
24149,1,0,0,9490,0,0,0,0,0,0,9490,0,0,9490,0,0,0,0,12.904027693,0,0,0,12.904027693,12.904027693,9502.9040277,0,0
24194,1,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,12600,12600,129.04027693,0,986.7,0,1115.7402769,13715.740277,34515.740277,0,0
24194,2,2000,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0
24194,3,21000,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,0
24194,4,17000,900,0,0,0,0,0,0,17900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17900,0,0
24382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1200,93.190434304,0,0,0,93.190434304,1293.1904343,1293.1904343,0,0
24382,2,0,0,13000,0,0,0,0,0,0,13000,0,0,13000,0,0,0,0,0,0,0,0,0,0,13000,0,0
24393,1,0,0,6500,0,0,0,0,0,0,6500,0,0,6500,0,0,4800,4800,8.5085153596,0,0,0,8.5085153596,4808.5085154,11308.508515,0,0
24616,1,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,0,4200,4200,68.82148103,0,0,0,68.82148103,4268.821481,23768.821481,0,0
24616,2,0,0,6760,0,0,0,0,0,0,6760,0,0,6760,0,0,0,0,0,0,0,0,0,0,6760,0,0
24760,1,0,0,11700,0,0,0,0,0,0,11700,0,0,11700,0,0,4200,4200,8.6026851287,0,0,0,8.6026851287,4208.6026851,15908.602685,0,0
24764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,25.808055386,0,0,0,25.808055386,6025.8080554,6025.8080554,0,0
24764,2,19000,0,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,0
24809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,8050,18050,301.09397951,0,532.69352953,0,833.78750904,18883.787509,18883.787509,0,0
24809,2,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,0,0,0,0,0,0,0,0,14300,0,0
24853,1,0,0,28600,0,0,0,0,0,0,28600,0,0,28600,0,0,7200,7200,86.026851287,0,0,0,86.026851287,7286.0268513,35886.026851,0,0
24853,2,19500,0,0,0,0,0,0,0,19500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19500,0,0
25007,1,0,0,14560,0,0,0,0,0,0,14560,0,0,14560,0,0,4800,4800,54.196916311,0,0,0,54.196916311,4854.1969163,19414.196916,0,0
25930,1,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,6000,6000,58.840023494,241.5233483,105.10922511,0,405.4725969,6405.4725969,27205.472597,0,0
25930,2,0,0,5850,0,0,0,0,0,0,5850,0,0,5850,0,0,0,0,0,0,0,0,0,0,5850,0,0
26048,1,0,0,44200,0,0,0,0,0,0,44200,0,0,44200,0,0,0,0,38.287088043,0,4413.8856928,0,4452.1727808,4452.1727808,48652.172781,0,0
