nquest,motusc,annoenus,NORDP
22099,4,2013,3
22099,4,2013,4
24853,5,2014,3
26349,1,2014,1
28100,4,2013,4
28100,5,2013,5
31092,4,2014,3
32210,4,2013,3
32734,5,2013,2
32734,5,2013,3
32734,5,2013,4
33038,4,2014,3
33644,2,2014,2
33882,4,2014,3
34793,4,2014,1
35507,4,2013,1
35508,1,2014,2
36148,1,2013,1
36321,4,2013,4
36378,4,2013,3
36409,4,2013,3
36409,4,2014,5
36893,4,2013,3
37011,4,2013,3
37042,4,2014,3
38014,4,2014,3
38255,4,2014,3
39095,5,2013,2
39317,4,2014,4
50060,4,2014,3
51013,4,2014,3
52700,1,2014,2
53234,5,2014,3
53997,1,2013,1
55094,3,2013,3
55636,4,2014,3
56762,4,2014,3
57621,4,2014,3
57779,4,2014,3
57779,4,2013,4
57779,4,2013,5
60078,3,2014,3
60078,4,2013,4
104002,1,2014,1
224048,1,2014,2
230037,4,2013,3
237003,5,2013,3
279054,1,2014,2
282089,4,2013,3
282089,4,2014,4
332080,4,2013,4
350068,5,2013,2
355063,4,2013,2
500726,4,2014,1
501569,4,2014,3
501874,98,,2
502060,1,2014,1
502364,1,2013,2
503308,4,2014,3
503431,1,2013,1
503593,4,2013,2
505594,4,2014,3
505606,1,2013,1
505655,4,2014,3
506385,4,2014,1
506402,1,2014,1
506565,4,2013,3
506799,4,2013,3
507190,4,2013,3
507444,1,2014,2
507542,5,2013,3
507644,4,2013,4
507644,4,2013,5
507644,4,2013,6
507644,4,2013,7
509074,4,2013,4
509076,5,2014,3
509601,4,2014,3
509806,3,2014,3
510109,1,2013,1
510984,4,2014,3
511098,1,2014,2
511116,1,2014,2
511354,4,2013,2
511519,1,2013,2
511616,4,2014,2
512884,4,2013,3
513386,1,2014,1
513386,4,2014,3
617023,4,2013,3
620481,4,2013,3
620649,4,2013,3
621762,1,2013,2
622707,1,2013,2
623606,4,2014,3
625694,3,2013,4
626162,4,2014,3
626851,4,2013,3
626868,1,2014,2
626892,1,2014,1
627479,4,2014,4
629555,4,2014,3
630345,4,2013,3
631431,4,2013,3
631431,4,2013,4
632293,1,2013,2
635047,2,2013,4
635514,1,2014,1
638339,3,2013,3
639502,4,2013,3
640250,4,2013,3
649032,4,2014,3
649071,4,2014,3
649223,1,2014,2
670338,1,2013,3
670834,5,2013,3
670853,4,2014,3
671136,4,2014,3
671362,3,2014,2
671582,4,2014,3
672065,4,2014,3
672580,3,2014,3
673269,1,2014,1
673269,4,2014,5
673452,4,2013,2
673748,1,2014,1
673858,4,2013,3
674019,3,2013,2
674019,4,2013,3
674283,1,2014,2
674380,1,2013,1
674815,4,2014,1
675482,4,2013,3
675667,4,2013,1
675977,1,2014,2
676173,1,2014,2
676557,1,2014,1
677386,4,2014,3
677655,4,2014,3
677655,5,2014,4
678304,1,2013,2
680311,1,2014,2
680430,4,2014,3
680498,4,2014,4
680732,4,2013,3
680870,3,2014,3
681096,1,2013,2
681349,4,2013,4
681436,5,2013,2
681436,5,2013,3
681436,5,2013,4
681640,5,2014,2
681668,3,2014,3
681713,1,2014,3
681790,4,2013,4
682282,1,2014,1
682360,1,2014,1
683034,4,2013,2
683120,1,2014,1
683248,4,2013,3
683437,4,2013,2
683437,5,2013,4
684671,4,2013,3
684673,4,2013,2
684673,4,2013,3
684675,4,2013,4
684684,1,2013,2
684885,4,2014,3
684937,4,2013,3
684973,3,2013,3
685024,98,,2
685451,1,2014,2
685454,1,2014,2
685454,1,2014,4
685537,4,2013,3
685902,4,2014,3
686178,4,2014,3
686253,5,2013,2
686304,2,2014,3
686717,5,2013,2
686913,1,2013,2
687070,4,2013,3
687148,5,2014,6
687165,5,2013,3
687304,1,2014,2
687497,3,2014,3
687685,4,2013,2
687883,3,2013,4
687938,2,2013,3
687993,4,2014,3
688226,3,2014,3
688226,5,2014,6
688276,4,2013,2
700073,1,2014,2
704752,4,2014,2
