NUTS3,SEX,AGE,TIME,Value_UNEMP
IT,1,Y_GE15,2019-01-01,9.093324
IT,1,Y_GE15,2019-01-01,10.304281
IT,1,Y_GE15,2019-04-01,9.071768
IT,1,Y_GE15,2019-10-01,8.73384
IT,1,Y_GE15,2019-07-01,8.267187
IT,1,Y_GE15,2020-01-01,8.403538
IT,1,Y_GE15,2020-04-01,7.207419
IT,1,Y_GE15,2020-01-01,8.543542
IT,1,Y_GE15,2020-07-01,8.992374
IT,1,Y_GE15,2020-10-01,8.838076
IT,2,Y_GE15,2019-01-01,11.09784
IT,2,Y_GE15,2019-01-01,12.086535
IT,2,Y_GE15,2019-04-01,10.655604
IT,2,Y_GE15,2019-10-01,11.478212
IT,2,Y_GE15,2019-07-01,10.164783
IT,2,Y_GE15,2020-01-01,10.191392
IT,2,Y_GE15,2020-04-01,8.396963
IT,2,Y_GE15,2020-01-01,10.583816
IT,2,Y_GE15,2020-07-01,11.417684
IT,2,Y_GE15,2020-10-01,10.301491
IT,9,Y_GE15,2019-01-01,9.951385
IT,9,Y_GE15,2019-01-01,11.068457
IT,9,Y_GE15,2019-04-01,9.750847
IT,9,Y_GE15,2019-10-01,9.911253
IT,9,Y_GE15,2019-07-01,9.074981
IT,9,Y_GE15,2020-01-01,9.163328
IT,9,Y_GE15,2020-04-01,7.710162
IT,9,Y_GE15,2020-01-01,9.416689
IT,9,Y_GE15,2020-07-01,10.019654
IT,9,Y_GE15,2020-10-01,9.460987
ITCD,1,Y_GE15,2019-01-01,4.967404
ITCD,1,Y_GE15,2019-01-01,5.634168
ITCD,1,Y_GE15,2019-04-01,4.716404
ITCD,1,Y_GE15,2019-10-01,4.901869
ITCD,1,Y_GE15,2019-07-01,4.615194
ITCD,1,Y_GE15,2020-01-01,4.896633
ITCD,1,Y_GE15,2020-04-01,4.152348
ITCD,1,Y_GE15,2020-01-01,4.628156
ITCD,1,Y_GE15,2020-07-01,5.525934
ITCD,1,Y_GE15,2020-10-01,5.271122
ITCD,2,Y_GE15,2019-01-01,7.477037
ITCD,2,Y_GE15,2019-01-01,8.226236
ITCD,2,Y_GE15,2019-04-01,6.948913
ITCD,2,Y_GE15,2019-10-01,7.727118
ITCD,2,Y_GE15,2019-07-01,6.998672
ITCD,2,Y_GE15,2020-01-01,7.005504
ITCD,2,Y_GE15,2020-04-01,5.942892
ITCD,2,Y_GE15,2020-01-01,6.925334
ITCD,2,Y_GE15,2020-07-01,7.791141
ITCD,2,Y_GE15,2020-10-01,7.345894
ITCD,9,Y_GE15,2019-01-01,6.0867
ITCD,9,Y_GE15,2019-01-01,6.78907
ITCD,9,Y_GE15,2019-04-01,5.711899
ITCD,9,Y_GE15,2019-10-01,6.169422
ITCD,9,Y_GE15,2019-07-01,5.673128
ITCD,9,Y_GE15,2020-01-01,5.832298
ITCD,9,Y_GE15,2020-04-01,4.943506
ITCD,9,Y_GE15,2020-01-01,5.6533
ITCD,9,Y_GE15,2020-07-01,6.526007
ITCD,9,Y_GE15,2020-10-01,6.194514
ITC,1,Y_GE15,2019-01-01,5.392348
ITC,1,Y_GE15,2019-01-01,6.214628
ITC,1,Y_GE15,2019-04-01,5.305225
ITC,1,Y_GE15,2019-10-01,5.035039
ITC,1,Y_GE15,2019-07-01,5.009782
ITC,1,Y_GE15,2020-01-01,5.187511
ITC,1,Y_GE15,2020-04-01,4.46522
ITC,1,Y_GE15,2020-01-01,5.089192
ITC,1,Y_GE15,2020-07-01,5.788734
ITC,1,Y_GE15,2020-10-01,5.393095
ITC,2,Y_GE15,2019-01-01,7.938624
ITC,2,Y_GE15,2019-01-01,8.80719
ITC,2,Y_GE15,2019-04-01,7.042138
ITC,2,Y_GE15,2019-10-01,8.395312
ITC,2,Y_GE15,2019-07-01,7.498122
ITC,2,Y_GE15,2020-01-01,6.983837
ITC,2,Y_GE15,2020-04-01,5.903193
ITC,2,Y_GE15,2020-01-01,6.913224
ITC,2,Y_GE15,2020-07-01,7.936104
ITC,2,Y_GE15,2020-10-01,7.17145
