NUTS3,SEX,AGE,TIME,VALUE EMP
ITC1,1,Y_GE15,2019,56.056855
ITC1,1,Y_GE15,2020,54.517857
ITC1,2,Y_GE15,2019,41.481477
ITC1,2,Y_GE15,2020,40.44472
ITC1,1,Y15-24,2019,24.083175
ITC1,1,Y15-24,2020,24.731304
ITC1,2,Y15-24,2019,17.829988
ITC1,2,Y15-24,2020,16.199324
ITC11,1,Y15-24,2019,20.132995
ITC11,1,Y15-24,2020,19.223683
ITC11,2,Y15-24,2019,18.726049
ITC11,2,Y15-24,2020,12.979298
ITC12,1,Y15-24,2019,30.293749
ITC12,1,Y15-24,2020,31.747658
ITC12,2,Y15-24,2019,17.336781
ITC12,2,Y15-24,2020,17.798385
ITC13,1,Y15-24,2019,21.800406
ITC13,1,Y15-24,2020,23.607915
ITC13,2,Y15-24,2019,21.113531
ITC13,2,Y15-24,2020,23.996098
ITC14,1,Y15-24,2019,25.118163
ITC14,1,Y15-24,2020,21.463614
ITC14,2,Y15-24,2019,18.003856
ITC14,2,Y15-24,2020,19.680233
ITC15,1,Y15-24,2019,19.233162
ITC15,1,Y15-24,2020,28.137158
ITC15,2,Y15-24,2019,5.980921
ITC15,2,Y15-24,2020,6.138415
ITC16,1,Y15-24,2019,37.068306
ITC16,1,Y15-24,2020,38.36012
ITC16,2,Y15-24,2019,21.017175
ITC16,2,Y15-24,2020,28.288508
ITC17,1,Y15-24,2019,24.989837
ITC17,1,Y15-24,2020,24.808673
ITC17,2,Y15-24,2019,15.078534
ITC17,2,Y15-24,2020,17.034314
ITC18,1,Y15-24,2019,27.516281
ITC18,1,Y15-24,2020,29.725777
ITC18,2,Y15-24,2019,19.129304
ITC18,2,Y15-24,2020,18.926446
ITC2,1,Y15-24,2019,26.938111
ITC2,1,Y15-24,2020,22.585366
ITC2,2,Y15-24,2019,18.03657
ITC2,2,Y15-24,2020,15.002632
ITC20,1,Y15-24,2019,26.938111
ITC20,1,Y15-24,2020,22.585366
ITC20,2,Y15-24,2019,18.03657
ITC20,2,Y15-24,2020,15.002632
ITC3,1,Y15-24,2019,20.480879
ITC3,1,Y15-24,2020,17.373083
ITC3,2,Y15-24,2019,12.832056
ITC3,2,Y15-24,2020,13.088889
ITC31,1,Y15-24,2019,23.608903
ITC31,1,Y15-24,2020,13.307864
ITC31,2,Y15-24,2019,17.061669
ITC31,2,Y15-24,2020,8.177245
ITC32,1,Y15-24,2019,21.265927
ITC32,1,Y15-24,2020,17.424306
ITC32,2,Y15-24,2019,19.875776
ITC32,2,Y15-24,2020,17.06312
ITC33,1,Y15-24,2019,20.17947
ITC33,1,Y15-24,2020,17.781752
ITC33,2,Y15-24,2019,9.144283
ITC33,2,Y15-24,2020,13.73137
ITC34,1,Y15-24,2019,17.473875
ITC34,1,Y15-24,2020,19.417211
ITC34,2,Y15-24,2019,13.632031
ITC34,2,Y15-24,2020,11.046641
ITC4,1,Y15-24,2019,27.98926
ITC4,1,Y15-24,2020,24.64699
ITC4,2,Y15-24,2019,20.290107
ITC4,2,Y15-24,2020,18.206361
ITC41,1,Y15-24,2019,24.332698
ITC41,1,Y15-24,2020,18.634936
ITC41,2,Y15-24,2019,18.190189
ITC41,2,Y15-24,2020,16.811207
ITC42,1,Y15-24,2019,29.232431
ITC42,1,Y15-24,2020,20.536675
ITC42,2,Y15-24,2019,13.606416
ITC42,2,Y15-24,2020,16.636832
ITC43,1,Y15-24,2019,32.119111
ITC43,1,Y15-24,2020,35.845439
ITC43,2,Y15-24,2019,18.151557
ITC43,2,Y15-24,2020,17.497768
ITC44,1,Y15-24,2019,35.690571
ITC44,1,Y15-24,2020,43.694184
ITC44,2,Y15-24,2019,30.993691
ITC44,2,Y15-24,2020,28.032105
ITC45,1,Y15-24,2019,24.408519
ITC45,1,Y15-24,2020,20.673113
ITC45,2,Y15-24,2019,18.317696
ITC45,2,Y15-24,2020,17.048748
ITC46,1,Y15-24,2019,31.072878
ITC46,1,Y15-24,2020,28.824512
ITC46,2,Y15-24,2019,25.986348
ITC46,2,Y15-24,2020,23.516019
ITC47,1,Y15-24,2019,34.925846
ITC47,1,Y15-24,2020,33.23189
ITC47,2,Y15-24,2019,28.269185
ITC47,2,Y15-24,2020,16.820699
ITC48,1,Y15-24,2019,29.943545
