nquest,nord,sex,anasc,staciv,ireg,NCOMP,PERC,AREA5
173,1,1,1948,3,18,1,1,4
375,1,2,1925,4,16,1,1,4
633,1,2,1934,4,5,1,1,2
923,1,2,1932,4,13,1,1,4
1367,1,1,1927,1,18,2,1,4
1367,2,2,1930,1,18,2,1,4
1763,1,1,1947,1,17,2,1,4
1763,2,2,1954,1,17,2,0,4
1927,1,2,1933,4,5,1,1,2
1946,1,1,1953,2,5,1,1,2
2886,1,1,1949,1,13,3,1,4
2886,2,2,1952,1,13,3,1,4
2886,3,1,1977,2,13,3,0,4
3717,1,2,1954,2,16,1,1,4
5416,1,2,1958,3,8,5,1,2
5416,2,2,1979,2,8,5,1,2
5416,3,1,1981,2,8,5,1,2
5416,4,2,1991,2,8,5,1,2
5416,5,2,2011,2,8,5,0,2
7886,1,1,1950,1,9,2,1,3
7886,2,2,1953,1,9,2,1,3
11972,1,2,1948,1,17,2,1,4
11972,2,1,1938,1,17,2,1,4
20297,1,1,1960,1,5,2,1,2
20297,2,2,1979,1,5,2,1,2
20711,1,2,1945,1,4,2,0,2
20711,2,1,1944,1,4,2,1,2
20837,1,1,1931,1,8,2,1,2
20837,2,2,1928,1,8,2,1,2
21384,1,1,1958,1,19,4,1,5
21384,2,2,1962,1,19,4,0,5
21384,3,1,1982,2,19,4,1,5
21384,4,2,1989,2,19,4,0,5
21461,1,2,1918,4,5,1,1,2
22099,1,1,1958,1,15,2,1,4
22099,2,2,1962,1,15,2,0,4
22169,1,2,1944,1,15,3,1,4
22169,2,1,1937,1,15,3,1,4
22169,3,1,1973,2,15,3,0,4
22173,1,1,1938,1,15,2,1,4
22173,2,2,1935,1,15,2,0,4
22208,1,2,1935,4,5,1,1,2
22276,1,1,1949,2,8,2,1,2
22276,2,2,1923,4,8,2,1,2
22277,1,2,1957,1,8,3,1,2
22277,2,1,1958,1,8,3,1,2
22277,3,1,1989,2,8,3,0,2
22286,1,1,1950,1,8,2,1,2
22286,2,2,1956,1,8,2,1,2
22292,1,2,1935,1,8,2,1,2
22292,2,1,1929,1,8,2,1,2
22624,1,1,1957,1,15,5,1,4
22624,2,2,1961,1,15,5,0,4
22624,3,1,1981,2,15,5,0,4
22624,4,2,1995,2,15,5,0,4
22624,5,2,1997,2,15,5,0,4
22657,1,2,1951,1,16,2,1,4
22657,2,1,1946,1,16,2,1,4
22996,1,1,1934,1,1,2,1,1
22996,2,2,1942,1,1,2,1,1
23370,1,1,1942,1,6,2,1,2
23370,2,2,1942,1,6,2,0,2
23490,1,2,1937,2,5,1,1,2
23797,1,1,1955,1,15,2,1,4
23797,2,2,1958,1,15,2,0,4
23821,1,2,1936,4,16,2,1,4
23821,2,2,1968,2,16,2,0,4
23823,1,2,1937,4,16,2,1,4
23823,2,2,1972,2,16,2,1,4
23865,1,1,1944,1,16,2,1,4
23865,2,2,1950,1,16,2,0,4
24147,1,1,1948,1,4,2,1,2
24147,2,2,1958,1,4,2,1,2
24149,1,1,1923,4,4,1,1,2
24194,1,1,1952,1,8,4,1,2
24194,2,2,1960,1,8,4,1,2
24194,3,1,1984,2,8,4,1,2
24194,4,2,1990,2,8,4,1,2
24382,1,2,1949,1,13,2,0,4
24382,2,1,1940,1,13,2,1,4
24393,1,2,1931,4,13,1,1,4
24616,1,1,1939,1,8,2,1,2
24616,2,2,1944,1,8,2,1,2
24760,1,2,1920,4,17,1,1,4
24764,1,2,1966,1,17,5,0,4
24764,2,1,1963,1,17,5,1,4
24764,3,2,1996,2,17,5,0,4
24764,4,2,1998,2,17,5,0,4
24764,5,1,2007,2,17,5,0,4
24809,1,2,1939,1,16,2,0,4
24809,2,1,1930,1,16,2,1,4
24853,1,1,1957,1,11,2,1,3
24853,2,2,1962,1,11,2,1,3
25007,1,2,1934,4,19,1,1,5
25930,1,1,1946,1,3,2,1,1
25930,2,2,1948,1,3,2,1,1
26048,1,1,1942,1,9,2,1,3
26048,2,2,1944,1,9,2,0,3
26349,1,2,1938,4,7,1,1,1
27109,1,2,1925,4,19,1,1,5
27114,1,2,1938,4,19,1,1,5
27116,1,1,1937,1,19,2,1,5
27116,2,2,1940,1,19,2,0,5
27123,1,1,1949,1,19,2,1,5
27123,2,2,1953,1,19,2,0,5
27157,1,1,1960,1,19,4,1,5
27157,2,2,1963,1,19,4,1,5
27157,3,2,1990,2,19,4,0,5
27157,4,1,1996,2,19,4,0,5
27238,1,1,1952,1,12,2,1,3
27238,2,2,1961,1,12,2,1,3
27509,1,2,1934,4,8,1,1,2
27730,1,2,1949,1,20,4,0,5
27730,2,1,1939,1,20,4,1,5
27730,3,2,1972,2,20,4,0,5
27730,4,1,1985,2,20,4,1,5
27734,1,2,1951,1,20,3,0,5
27734,2,1,1947,1,20,3,1,5
27734,3,1,1980,2,20,3,1,5
27739,1,2,1938,4,20,1,1,5
27742,1,2,1932,4,20,2,1,5
27742,2,2,1974,2,20,2,1,5
27912,1,1,1948,1,13,3,1,4
27912,2,2,1954,1,13,3,1,4
27912,3,1,1985,2,13,3,1,4
27923,1,1,1951,1,13,4,1,4
27923,2,2,1957,1,13,4,0,4
27923,3,1,1992,2,13,4,0,4
27923,4,1,2000,2,13,4,1,4
27947,1,1,1933,1,13,2,1,4
27947,2,2,1932,1,13,2,1,4
28100,1,1,1955,1,20,4,1,5
28100,2,2,1960,1,20,4,0,5
28100,3,2,1983,2,20,4,0,5
28100,4,2,2003,2,20,4,0,5
28362,1,1,1928,4,9,1,1,3
28441,1,1,1950,1,9,2,1,3
28441,2,2,1958,1,9,2,0,3
28802,1,2,1960,1,1,3,1,1
28802,2,1,1956,1,1,3,1,1
28802,3,2,1996,2,1,3,0,1
28859,1,2,1930,4,8,1,1,2
28992,1,1,1931,1,20,2,1,5
28992,2,2,1941,1,20,2,0,5
29006,1,1,1944,1,6,2,1,2
29006,2,2,1946,1,6,2,1,2
29140,1,1,1949,1,9,2,1,3
29140,2,2,1952,1,9,2,1,3
29678,1,1,1933,1,19,2,1,5
29678,2,2,1937,1,19,2,0,5
29680,1,1,1964,1,19,4,1,5
29680,2,2,1970,1,19,4,1,5
29680,3,1,1990,2,19,4,0,5
29680,4,1,1994,2,19,4,1,5
29737,1,1,1951,1,16,2,1,4
29737,2,2,1953,1,16,2,1,4
29742,1,1,1952,1,16,4,1,4
29742,2,2,1954,1,16,4,1,4
29742,3,2,1975,2,16,4,1,4
29742,4,1,1986,2,16,4,1,4
29798,1,1,1935,1,11,2,1,3
29798,2,2,1936,1,11,2,1,3
29823,1,2,1960,1,15,6,1,4
29823,2,1,1965,1,15,6,1,4
29823,3,2,1994,2,15,6,0,4
29823,4,1,1995,2,15,6,0,4
29823,5,2,1998,2,15,6,0,4
29823,6,1,2001,2,15,6,0,4
31092,1,1,1964,1,1,4,1,1
31092,2,2,1966,1,1,4,0,1
31092,3,2,1994,2,1,4,0,1
31092,4,1,2000,2,1,4,0,1
31093,1,1,1954,3,1,1,1,1
31219,1,2,1929,4,19,1,1,5
31220,1,2,1938,1,8,2,1,2
31220,2,1,1935,1,8,2,1,2
31221,1,2,1938,4,8,2,1,2
31221,2,2,1979,2,8,2,1,2
31246,1,1,1942,1,1,2,1,1
31246,2,2,1944,1,1,2,1,1
31304,1,1,1941,1,11,2,1,3
31304,2,2,1942,1,11,2,1,3
31448,1,2,1935,4,8,1,1,2
31625,1,2,1931,4,3,2,1,1
31625,2,2,1957,2,3,2,1,1
31652,1,1,1941,1,3,2,1,1
31652,2,2,1943,1,3,2,1,1
31665,1,1,1937,1,7,2,1,1
31665,2,2,1938,1,7,2,1,1
31671,1,2,1952,4,7,1,1,1
31695,1,2,1969,1,3,4,0,1
31695,2,1,1964,1,3,4,1,1
31695,3,2,1987,2,3,4,1,1
31695,4,1,1992,2,3,4,1,1
31724,1,1,1958,1,7,5,1,1
31724,2,2,1962,1,7,5,1,1
31724,3,2,1991,2,7,5,0,1
31724,4,2,1996,2,7,5,0,1
31724,5,2,1999,2,7,5,1,1
31757,1,2,1935,4,3,1,1,1
31799,1,2,1948,1,3,2,1,1
31799,2,1,1941,1,3,2,1,1
31860,1,1,1958,1,15,3,1,4
31860,2,2,1961,1,15,3,1,4
31860,3,2,1989,2,15,3,0,4
31912,1,2,1940,1,3,2,1,1
31912,2,1,1930,1,3,2,1,1
32001,1,1,1934,1,1,2,1,1
32001,2,2,1934,1,1,2,1,1
32034,1,1,1944,1,1,2,1,1
32034,2,2,1948,1,1,2,0,1
32044,1,2,1937,4,1,1,1,1
32052,1,1,1941,1,1,2,1,1
32052,2,2,1944,1,1,2,1,1
32057,1,1,1938,1,1,3,1,1
32057,2,2,1943,1,1,3,0,1
32057,3,1,1967,2,1,3,1,1
32190,1,1,1947,2,3,1,1,1
32209,1,2,1950,1,20,2,1,5
32209,2,1,1940,1,20,2,1,5
32210,1,2,1950,1,20,3,0,5
32210,2,1,1946,1,20,3,1,5
32210,3,2,1989,2,20,3,0,5
32288,1,1,1960,3,8,2,1,2
32288,2,2,1964,3,8,2,1,2
32318,1,2,1936,4,4,1,1,2
32320,1,2,1962,1,4,4,1,2
32320,2,1,1958,1,4,4,1,2
32320,3,2,1992,2,4,4,0,2
32320,4,1,1994,2,4,4,0,2
32470,1,2,1927,4,15,2,1,4
32470,2,1,1968,2,15,2,1,4
32471,1,2,1945,4,15,1,1,4
32524,1,1,1945,1,8,2,1,2
32524,2,2,1948,1,8,2,1,2
32556,1,2,1947,4,5,1,1,2
32668,1,1,1949,1,16,3,1,4
32668,2,2,1950,1,16,3,0,4
32668,3,1,1974,2,16,3,0,4
32703,1,2,1942,1,8,2,1,2
32703,2,1,1945,1,8,2,1,2
32709,1,1,1940,1,8,4,1,2
32709,2,2,1944,1,8,4,1,2
32709,3,1,1971,2,8,4,1,2
32709,4,2,1979,2,8,4,1,2
32729,1,1,1954,1,8,2,1,2
32729,2,2,1958,1,8,2,1,2
32733,1,1,1931,1,8,2,1,2
32733,2,2,1937,1,8,2,1,2
32734,1,1,1965,3,8,1,1,2
32742,1,1,1946,1,8,2,1,2
32742,2,2,1946,1,8,2,1,2
32751,1,2,1939,4,8,1,1,2
32765,1,2,1956,1,8,2,1,2
32765,2,1,1954,1,8,2,1,2
32772,1,2,1952,1,8,2,0,2
32772,2,1,1949,1,8,2,1,2
32810,1,2,1936,4,17,1,1,4
