SESSO,ETA,NCOMP,NSESSOM,NSESSOF,NCOMP13,NCOMP1417,NCOMP1844,NCOMP4554,NCOMP5564,NCOMP65,A01,A02,A03,A04,A05,A10,A23,A40,AREA5,ACOM,Y_MONTH,PANEL,A09,ID
2,74,1,0,1,0,0,0,0,0,1,4,5,1,10.0,1,4,1,2,4,4,5,2,0,30043
1,51,4,2,2,0,0,2,2,0,0,4,3,2,,4,1,2,2,4,2,11,2,1,30059
2,82,1,0,1,0,0,0,0,0,1,2,2,2,,9,4,6,2,3,5,12,1,0,30070
1,54,5,2,3,0,0,2,2,0,1,4,5,1,9.0,2,1,1,2,5,1,98,2,2,30091
1,51,4,1,3,0,1,2,1,0,0,2,2,2,,2,2,4,1,5,4,13,1,0,30098
1,72,3,1,2,0,0,1,0,0,2,4,4,1,5.0,2,4,4,2,4,2,12,2,0,30111
2,56,2,1,1,0,0,0,1,1,0,3,3,9,,3,4,2,2,4,1,9,2,1,30127
2,67,3,1,2,1,0,1,0,0,1,1,1,2,,2,4,1,2,5,4,4,2,0,30129
1,41,1,1,0,0,0,1,0,0,0,3,3,2,,2,1,4,2,5,1,7,1,0,30133
2,45,1,0,1,0,0,0,1,0,0,9,9,9,,9,6,2,2,5,1,98,1,0,30155
2,83,1,0,1,0,0,0,0,0,1,3,3,1,3.0,3,6,6,2,4,2,98,1,0,30183
2,69,2,1,1,0,0,0,1,0,1,2,3,1,99.0,9,1,4,2,3,3,16,1,1,30256
1,76,1,1,0,0,0,0,0,0,1,1,2,2,,4,2,3,2,3,5,15,2,0,30259
1,68,3,1,2,0,0,1,0,0,2,5,5,2,,1,4,4,1,2,3,21,2,1,30331
1,58,2,1,1,0,0,0,0,2,0,2,2,2,,2,2,2,2,4,4,11,1,0,30351
2,71,2,1,1,0,0,0,0,0,2,4,4,1,6.0,1,4,5,2,1,5,20,2,0,30378
2,67,2,0,2,0,0,1,0,0,1,4,3,1,3.0,2,6,6,2,4,4,18,2,1,30461
1,76,3,1,2,0,0,1,0,0,2,9,9,9,,9,4,3,2,3,4,98,2,1,30467
1,75,4,2,2,1,0,1,0,0,2,5,5,1,11.0,1,4,3,2,1,2,12,2,1,30502
1,48,1,1,0,0,0,0,1,0,0,3,4,2,,4,1,5,1,1,5,98,2,0,30552
2,77,1,0,1,0,0,0,0,0,1,5,4,1,10.0,2,4,4,1,1,4,8,1,0,30575
1,82,3,2,1,0,0,1,0,0,2,3,3,2,,4,4,4,1,1,3,20,1,1,30654
2,76,1,0,1,0,0,0,0,0,1,5,4,9,,2,4,6,2,1,4,2,2,0,30694
1,71,2,1,1,0,0,0,0,0,2,5,5,2,,4,4,4,1,1,1,17,2,0,30699
1,74,2,1,1,0,0,0,0,0,2,5,5,1,5.0,2,4,5,1,1,2,21,1,0,30758
1,76,2,1,1,0,0,0,0,0,2,2,1,2,,4,4,4,1,1,5,15,2,0,30848
2,67,1,0,1,0,0,0,0,0,1,4,3,1,11.0,4,4,3,2,1,5,7,2,0,30865
1,70,2,1,1,0,0,0,0,0,2,3,4,1,10.0,2,4,4,1,1,5,15,2,1,30872
2,74,1,0,1,0,0,0,0,0,1,5,5,1,3.0,1,4,2,1,1,5,5,1,0,30875
1,76,2,1,1,0,0,0,0,0,2,5,5,1,10.0,1,4,2,1,1,2,17,1,0,30897
1,68,3,1,2,0,0,1,0,0,2,4,4,1,10.0,2,4,4,1,1,2,21,2,1,30965
1,66,4,3,1,0,0,2,0,1,1,5,3,2,,4,2,3,2,1,2,98,2,2,30969
1,77,2,1,1,0,0,0,0,0,2,4,4,2,,3,4,4,1,1,5,98,2,0,30979
2,66,2,0,2,0,0,0,0,0,2,4,4,1,3.0,3,6,6,1,1,3,18,2,0,30982
2,72,1,0,1,0,0,0,0,0,1,3,4,2,,2,4,4,1,1,2,11,2,0,31004
2,75,2,1,1,0,0,0,1,0,1,5,5,1,6.0,2,4,4,2,1,1,10,1,0,31032
2,66,1,0,1,0,0,0,0,0,1,3,3,1,99.0,9,2,4,1,1,5,98,2,0,31070
1,57,3,1,2,0,0,1,0,2,0,4,3,1,2.0,2,1,4,1,1,1,98,1,1,31121
2,79,1,0,1,0,0,0,0,0,1,5,5,2,,2,4,3,1,2,2,4,2,0,31143
1,74,2,1,1,0,0,0,0,0,2,2,3,1,7.0,2,4,5,2,2,2,18,2,0,31148
2,77,2,0,2,0,0,0,1,0,1,3,4,1,10.0,2,1,4,1,2,3,18,1,1,31149
2,63,2,1,1,0,0,1,0,1,0,4,4,2,,5,2,3,1,2,5,7,1,1,31158
2,65,1,0,1,0,0,0,0,0,1,4,3,1,3.0,4,1,4,2,2,1,14,1,0,31182
1,80,2,1,1,0,0,0,0,0,2,5,5,1,7.0,2,1,5,1,2,5,18,2,1,31243
1,78,3,2,1,0,0,0,1,0,2,4,4,1,11.0,3,4,3,2,2,5,98,2,2,31262
2,83,1,0,1,0,0,0,0,0,1,4,4,1,2.0,2,2,3,1,2,5,14,2,0,31266
2,72,1,0,1,0,0,0,0,0,1,4,5,1,99.0,2,6,3,2,1,4,17,2,0,31275
1,59,3,2,1,0,0,1,0,2,0,5,5,1,11.0,4,1,5,1,1,2,98,2,2,31326
1,79,2,1,1,0,0,0,0,0,2,4,5,1,4.0,2,4,3,2,1,3,9,2,0,31358
1,79,4,2,2,0,0,0,2,0,2,2,3,1,99.0,2,4,4,2,1,5,21,2,2,31371
1,75,2,1,1,0,0,0,0,0,2,3,2,1,2.0,3,4,6,1,2,1,20,2,0,31436
2,60,2,0,2,0,0,0,0,1,1,5,5,2,,2,2,4,2,2,5,2,2,0,31494
1,60,5,3,2,0,1,2,0,2,0,4,5,3,,2,1,3,1,2,4,19,2,4,31506
2,76,2,1,1,0,0,0,1,0,1,3,4,1,5.0,2,2,3,2,2,5,14,2,1,31515
1,78,4,2,2,0,0,2,0,0,2,4,5,3,,2,4,4,2,2,5,98,2,3,31536
2,74,2,1,1,0,0,0,0,0,2,4,3,1,11.0,2,4,4,1,2,5,18,2,0,31560
1,84,4,2,2,0,0,0,2,0,2,9,9,1,99.0,9,2,2,2,3,4,12,2,1,31645
1,77,2,1,1,0,0,0,0,0,2,3,4,2,,3,4,3,2,3,5,13,2,1,31706
1,45,3,2,1,1,0,0,2,0,0,4,4,1,9.0,3,1,4,1,3,5,16,2,2,31716
1,84,2,1,1,0,0,0,0,0,2,4,3,1,10.0,4,4,4,1,3,5,98,2,0,31720
2,65,2,0,2,0,0,1,0,0,1,4,5,1,11.0,1,1,3,1,3,5,15,2,1,31723
1,66,3,1,2,0,0,1,0,1,1,5,5,1,11.0,1,3,4,1,3,3,98,2,2,31734
2,81,2,1,1,0,0,0,1,0,1,9,9,2,,9,2,3,2,3,3,98,2,0,31758
1,82,2,1,1,0,0,0,0,0,2,4,2,1,11.0,1,4,2,2,3,5,8,1,0,31764
1,81,2,1,1,0,0,0,0,0,2,5,5,1,11.0,1,4,4,2,3,4,18,1,1,31830
1,66,3,1,2,0,0,1,0,1,1,5,5,2,,3,2,3,2,3,4,21,2,1,31859
2,71,1,0,1,0,0,0,0,0,1,2,2,1,11.0,2,4,2,2,4,5,6,2,0,31871
1,68,2,1,1,0,0,0,0,0,2,4,4,9,,1,4,3,2,3,1,8,2,1,31885
1,73,4,3,1,0,0,1,1,0,2,2,2,1,4.0,3,4,3,2,3,4,20,2,2,31910
1,67,2,1,1,0,0,0,0,1,1,4,4,3,,5,4,4,2,3,3,98,2,0,31912
1,73,3,2,1,0,0,1,0,0,2,3,2,1,10.0,3,6,3,2,3,4,18,2,1,31914
1,58,4,2,2,0,0,2,0,2,0,4,5,1,3.0,2,4,3,2,3,4,17,2,0,31917
2,77,4,2,2,0,0,1,1,0,2,3,3,2,,2,4,3,2,3,5,20,2,3,32028
1,45,3,2,1,1,0,1,1,0,0,4,5,2,,3,2,5,1,3,5,18,2,1,32042
2,79,3,0,3,1,0,0,1,0,1,9,9,2,,9,4,4,2,3,5,98,2,0,32106
1,64,3,2,1,0,0,1,0,2,0,2,2,3,,5,4,4,1,3,4,18,2,1,32115
2,66,4,1,3,0,0,3,0,0,1,2,2,2,,4,2,3,2,3,5,17,2,3,32124
1,65,4,1,3,0,0,2,0,1,1,2,2,1,5.0,3,4,4,1,4,4,19,2,2,32162
1,68,5,2,3,0,0,2,0,0,3,2,1,2,,2,4,3,2,4,2,11,1,2,32234
1,66,4,2,2,0,0,2,0,1,1,9,9,1,11.0,2,4,1,2,4,4,10,2,1,32425
1,66,5,2,3,0,0,1,0,1,3,2,4,1,5.0,2,1,6,2,4,4,20,2,1,32438
1,77,3,2,1,0,0,1,0,1,1,4,4,2,,4,2,3,2,4,1,12,2,1,32452
1,72,3,1,2,0,0,1,0,0,2,4,4,1,10.0,1,4,5,2,4,4,98,2,2,32464
1,69,2,1,1,0,0,0,0,1,1,4,5,3,,2,6,3,1,4,3,14,2,0,32594
1,71,2,1,1,0,0,0,0,0,2,2,2,1,5.0,3,4,4,1,4,3,15,2,0,32614
1,74,4,2,2,0,0,2,0,0,2,3,2,2,,4,4,3,2,4,5,98,2,1,32635
1,71,2,1,1,0,0,0,0,0,2,9,9,1,9.0,2,4,2,2,4,4,9,2,0,32648
1,52,4,2,2,0,0,2,2,0,0,3,3,1,3.0,3,1,6,1,4,2,16,2,1,32658
1,62,5,4,1,0,0,3,0,2,0,4,3,2,,4,1,4,2,4,3,98,1,3,32704
1,51,4,3,1,0,0,2,2,0,0,5,5,1,7.0,1,3,3,2,4,2,13,2,2,32710
1,46,3,2,1,0,1,0,2,0,0,3,5,1,9.0,1,1,1,1,4,3,12,2,1,32738
1,62,4,2,2,0,0,2,0,2,0,2,2,2,,4,2,5,2,4,2,21,2,2,32775
1,57,4,3,1,0,0,2,0,2,0,2,4,1,10.0,4,1,2,2,5,5,4,2,2,32846
1,70,2,1,1,0,0,0,0,1,1,3,3,1,99.0,4,4,3,2,5,4,10,1,0,32897
2,77,3,1,2,1,0,1,0,0,1,3,2,1,11.0,3,4,3,1,5,4,15,2,1,32910
2,57,1,0,1,0,0,0,0,1,0,2,2,1,4.0,3,2,4,2,5,5,8,1,0,33022
1,74,4,2,2,0,0,1,1,0,2,9,3,1,99.0,9,6,3,2,5,2,12,2,0,33023
1,48,6,4,2,3,1,0,2,0,0,9,9,9,,9,1,1,2,5,1,14,2,1,33082
1,54,3,2,1,0,0,1,2,0,0,5,5,1,4.0,2,1,3,2,1,4,19,1,2,33118
1,81,2,1,1,0,0,0,0,0,2,5,5,1,5.0,2,2,4,1,1,4,18,1,1,33120
2,52,3,2,1,0,1,1,1,0,0,5,5,1,99.0,1,2,3,2,1,5,8,2,0,33157
1,66,4,2,2,0,0,2,0,1,1,2,2,1,7.0,2,4,5,2,1,5,9,1,2,33211
1,85,1,1,0,0,0,0,0,0,1,4,5,1,7.0,4,4,3,2,1,5,9,1,0,33216
1,64,3,2,1,0,0,1,0,2,0,5,5,1,10.0,1,4,3,2,1,5,18,1,1,33247
1,82,2,1,1,0,0,0,0,0,2,4,4,1,99.0,1,4,4,2,1,3,11,1,0,33250
2,68,3,1,2,0,0,2,0,0,1,4,5,1,6.0,2,4,3,1,1,1,18,2,2,33289
1,78,3,1,2,0,0,0,1,0,2,5,5,1,10.0,4,4,4,2,1,3,12,1,1,33310
1,55,4,3,1,0,0,2,1,1,0,9,9,1,3.0,2,2,4,1,1,4,98,2,1,33337
1,68,2,1,1,0,0,0,0,1,1,5,5,2,,2,4,6,1,1,1,22,1,1,33341
1,69,2,1,1,0,0,0,0,0,2,2,4,1,7.0,3,4,2,2,1,3,10,2,0,33405
1,66,3,2,1,0,0,1,0,1,1,3,4,1,5.0,2,4,4,1,1,4,11,1,1,33453
1,59,3,2,1,0,0,1,0,2,0,3,3,2,,4,3,1,1,1,5,15,1,0,33500
1,62,2,1,1,0,0,0,0,2,0,5,5,1,5.0,2,1,4,1,1,5,98,2,1,33537
1,79,4,3,1,0,0,1,1,0,2,2,3,2,,3,4,4,1,1,5,20,2,1,33563
1,60,4,1,3,0,0,2,0,2,0,3,4,1,99.0,1,4,3,1,1,5,21,2,3,33618
1,54,7,2,5,1,0,4,2,0,0,3,3,1,3.0,2,1,3,2,1,5,18,1,3,33632
1,62,2,1,1,0,0,0,0,2,0,4,4,1,3.0,2,4,4,1,1,1,11,2,0,33767
1,71,2,1,1,0,0,0,0,0,2,3,4,2,,4,4,6,1,1,4,19,2,0,33805
1,49,4,3,1,2,0,0,2,0,0,3,3,2,,2,1,4,1,2,2,19,1,1,33841
1,74,2,1,1,0,0,0,0,0,2,2,2,1,5.0,2,4,5,1,2,5,11,1,0,33923
1,64,3,2,1,0,0,1,0,2,0,2,2,2,,2,4,5,2,2,5,16,2,1,33937
2,50,3,2,1,0,0,2,1,0,0,3,3,2,,3,1,3,1,2,2,16,1,1,33946
2,55,1,0,1,0,0,0,0,1,0,2,2,3,,2,1,4,2,2,1,98,2,0,33960
