ID,MESI,SESSO,TITOLO,ETA,NCOMP,NSESSOM,NSESSOF,NCOMP5,NCOMP613,NCOMP1417,NCOMP1844,NCOMP4554,NCOMP5564,NCOMP65,SITGEN,MLAV,PREZZIP,PREZZIF,NOCCOTT,NSMART,NOCCNOW,OCC,CONTR,SETT,PROBPERD,PROBLAV,PROBPERDF,MISURE_1,MISURE_2,MISURE_3,MISURE_4,MISURE_5,MISURE_6,MISURE_7,SMARTTEO,SMARTEFF,SMARTMOT,PROBIMPR,DIFFAFF,CONDGEN,VARRED,VARREDQ,VARREDM,VARREDMQ,DEBITI_1,DEBITI_2,DEBITI_3,DIFFDEB_1,DIFFDEB_2,DIFFDEB_3,DIFFDEB_4,DIFFDEB_5,DURMOR,FINEMOR,ATFIN,VARREDF,VARREDFA,VARREDFD,RISPAR,PRECAUZ,VARCONS,VARCONSQ,VARQUAL,VARQUAN,RICPRES,MOTPRES,NATALE,FREQATT_1,FREQATT_2,FREQATT_3,FREQATT_4,FREQATT_5,RIDMOT,ALTRIMOT_1,ALTRIMOT_2,ALTRIMOT_3,CONTAGI_1_1,CONTAGI_2_1,CONTAGI_3_1,CONTAGI_4_1,CONTAGI_5_1,CONTAGI_1_2,CONTAGI_2_2,CONTAGI_3_2,CONTAGI_4_2,CONTAGI_5_2,CONTAGI_1_3,CONTAGI_2_3,CONTAGI_3_3,CONTAGI_4_3,CONTAGI_5_3,CONTAGI_1_4,CONTAGI_2_4,CONTAGI_3_4,CONTAGI_4_4,CONTAGI_5_4,AREA5,ACOM,Y_MONTH,STACIV,DATAINT,PESO,PNASC
30043,1.0,2,3,74,1,0,1,0,0,0,0,0,0,1,4,5,2,1,1,0.0,0,4,,,,,,2,2,2,2,2,2,2,,,,0,,2,2,,2,,2,2,2,,,,,,,,2,2,,,2,1300,2,,,,6,,4,1,1,3,1,1,1.0,,,,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,6,23NOV2020,27315.6994623876,1
30070,4.0,2,4,82,1,0,1,0,0,0,0,0,0,1,2,2,3,2,0,,0,4,,,,,,2,2,2,2,2,2,2,,,,0,,6,2,,2,,2,2,2,,,,,,,,1,2,,,1,1000,2,,,,6,,1,2,1,1,1,1,2.0,30.0,50.0,20.0,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,5,12,4,21NOV2020,19743.2755799776,1
30091,1.0,1,3,54,5,2,3,0,0,0,2,2,0,1,5,4,2,2,0,,2,1,2.0,1.0,0.0,,50.0,2,2,2,1,2,2,1,0.0,0.0,,0,,1,2,,2,,2,2,2,,,,,,,,2,3,,3.0,3,3000,3,3.0,3.0,1.0,5,1.0,4,3,2,3,3,2,2.0,50.0,30.0,20.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,98,3,26NOV2020,4754.51109647336,1
30098,,1,3,51,4,1,3,0,0,1,2,1,0,0,9,5,9,3,1,0.0,1,2,,4.0,0.0,,,2,2,2,2,2,2,2,0.0,0.0,,0,,5,3,2.0,2,,1,2,2,0.0,0.0,0.0,0.0,1.0,,,1,1,2.0,,2,10000,3,3.0,3.0,2.0,6,,1,1,1,1,1,1,2.0,10.0,40.0,50.0,1,4,4,3,5,4,4,4,4,4,3,4,4,4,2,3,2,2,2,2,5,4,13,3,29NOV2020,5497.71314775129,1
30111,1.0,1,3,72,3,1,2,0,0,0,1,0,0,2,1,1,2,1,0,,0,4,,,,,,2,2,2,2,2,2,2,,,,0,,3,2,,2,,2,2,2,,,,,,,,1,1,2.0,,1,10000,2,,,,6,,1,3,1,1,1,1,1.0,,,,3,1,3,2,1,3,2,2,2,3,3,2,2,1,1,3,1,1,1,1,4,2,12,3,21NOV2020,6711.02698266782,1
30127,3.0,2,4,56,2,1,1,0,0,0,0,1,1,0,3,3,4,3,1,1.0,1,1,3.0,3.0,1.0,,,2,2,2,2,2,2,2,1.0,1.0,,1,2.0,4,3,2.0,2,,1,1,1,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2,2,,,2,2000,2,,,,3,2.0,1,1,3,2,4,2,2.0,20.0,60.0,20.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,9,1,21NOV2020,4986.82938639743,2
30129,1.0,2,3,67,3,1,2,1,0,0,1,0,0,1,2,1,4,4,0,,0,4,,,,,,2,2,1,2,2,2,2,,,,0,2.0,1,2,,2,,2,2,2,,,,,,,,2,2,,,2,2000,2,,,,5,1.0,4,3,3,3,3,1,1.0,,,,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,5,4,4,6,21NOV2020,9193.32714724228,1
30133,1.0,1,4,41,1,1,0,0,0,0,1,0,0,0,3,4,2,1,1,0.0,1,1,1.0,5.0,10.0,,,2,2,2,2,2,2,2,0.0,0.0,,0,,3,2,,2,,2,2,2,,,,,,,,2,2,,,2,3000,2,,,,6,,3,3,3,3,1,1,1.0,,,,3,3,3,1,3,2,2,3,1,2,2,2,3,1,2,2,2,3,2,2,5,1,7,1,21NOV2020,20519.2879298759,1
30155,1.0,2,3,45,1,0,1,0,0,0,0,1,0,0,5,5,9,9,0,,0,3,,,,0.0,,2,2,2,1,2,2,2,,,,0,,2,3,4.0,3,4.0,2,2,2,,,,,,,,2,3,,4.0,2,1500,3,4.0,3.0,1.0,6,,2,2,1,1,1,1,1.0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,98,1,21NOV2020,20496.9042819163,1
30183,1.0,2,1,83,1,0,1,0,0,0,0,0,0,1,3,4,3,2,0,,0,4,,,,,,2,2,2,2,2,2,2,,,,0,,6,2,,2,,2,2,2,,,,,,,,1,2,,,1,1500,2,,,,6,,1,3,3,3,3,3,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,98,4,23NOV2020,64089.2459581522,1
30256,3.0,2,3,69,2,1,1,0,0,0,0,1,0,1,9,9,2,2,1,0.0,1,4,,,,,,2,2,2,2,2,2,2,,,,0,,4,2,,2,,2,2,1,0.0,0.0,0.0,0.0,1.0,,,2,2,,,2,3000,3,1.0,3.0,1.0,1,1.0,5,3,1,2,1,1,2.0,30.0,20.0,50.0,3,1,3,1,2,3,2,3,2,3,3,2,3,1,2,3,2,3,1,2,3,3,16,4,23NOV2020,15250.8159998152,1
30259,2.0,1,6,76,1,1,0,0,0,0,0,0,0,1,1,2,4,4,1,1.0,1,2,,7.0,0.0,,,2,2,2,2,2,2,2,100.0,100.0,,100,2.0,4,3,2.0,3,2.0,2,2,2,,,,,,,,2,1,2.0,,2,10000,2,,,,6,,1,3,1,2,1,1,1.0,,,,3,3,3,3,4,3,3,3,1,1,3,1,3,1,1,3,1,2,1,2,3,5,15,5,22NOV2020,19823.1519788164,1
30331,1.0,1,6,68,3,1,2,0,0,0,1,0,0,2,5,5,4,3,2,1.0,2,4,,,,,0.0,2,2,2,2,2,2,2,,,,0,,5,2,,2,,2,2,1,0.0,0.0,0.0,0.0,1.0,,,1,3,,1.0,1,10000,2,,,,1,2.0,1,2,1,2,1,1,2.0,60.0,20.0,20.0,5,5,5,4,5,4,4,4,3,5,3,2,2,2,1,2,2,2,1,1,2,3,21,3,21NOV2020,5621.97497129652,1
30351,2.0,1,4,58,2,1,1,0,0,0,0,0,2,0,4,5,3,2,2,1.0,1,2,,7.0,50.0,,,2,2,2,2,2,2,2,70.0,70.0,,20,,3,3,4.0,3,4.0,2,1,1,1.0,0.0,0.0,0.0,0.0,,,2,3,,3.0,3,2500,3,2.0,2.0,1.0,1,1.0,1,3,1,3,1,1,1.0,,,,3,1,3,1,1,3,1,2,1,1,2,1,2,1,1,2,1,1,1,1,4,4,11,3,21NOV2020,7010.84177579047,1
30378,4.0,2,3,71,2,1,1,0,0,0,0,0,0,2,4,5,2,2,2,0.0,0,4,,,,,,2,2,2,2,2,2,2,,,,0,,5,2,,2,,2,2,2,,,,,,,,1,2,,,1,20000,2,,,,6,,2,3,2,3,2,2,2.0,50.0,50.0,0.0,3,3,3,3,3,3,3,3,2,2,3,2,3,2,2,3,2,3,2,2,1,5,20,3,25NOV2020,13716.3778404977,1
30461,4.0,2,6,67,2,0,2,0,0,0,1,0,0,1,4,4,3,1,1,1.0,1,6,,,,,,2,2,2,2,2,2,2,,,,0,,6,2,,2,,2,2,2,,,,,,,,1,2,,,1,3000,2,,,,6,,2,3,2,1,1,1,2.0,0.0,80.0,20.0,3,4,1,1,1,3,2,1,1,1,3,1,1,1,1,2,1,1,1,1,4,4,18,3,22NOV2020,4658.38552200895,1
30467,1.0,1,4,76,3,1,2,0,0,0,1,0,0,2,4,2,2,9,1,1.0,1,4,,,,,,2,2,2,2,2,2,2,,,,0,,4,2,,2,,2,2,2,,,,,,,,2,2,,,2,1000,2,,,,6,,7,3,2,2,1,1,1.0,,,,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,98,3,21NOV2020,6802.24334922023,1
30502,3.0,1,6,75,4,2,2,0,1,0,1,0,0,2,5,5,2,2,0,,0,4,,,,,,2,2,2,2,2,2,2,,,,0,,3,3,2.0,3,2.0,2,2,2,,,,,,,,2,1,2.0,,3,4500,3,2.0,3.0,2.0,6,,7,2,3,2,2,1,1.0,,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,1,2,12,3,21NOV2020,5701.41998715414,1
