nquest,Y
173,16636.652815
375,13939.661126
633,20305.497922
923,13874.424613
1367,14155.201653
1763,16902.199169
1946,6641.9986836
2886,54380.143715
3717,0.0
5416,43005.876764
7886,30439.088836
11972,30054.979223
20297,32678.326408
20711,28305.206763
20837,47123.345869
22099,18229.832757
22169,14200.0
22173,22725.656971
22208,31747.553745
22276,29892.062421
22286,26729.328152
22624,19300.0
22657,44252.633891
22996,39458.935086
23370,16849.170081
23490,23617.226823
23797,27831.154893
23821,12183.218528
23823,30855.170776
24147,65915.195979
24149,12097.330563
24194,68560.493299
24382,11891.290777
24616,26814.661126
24760,16836.652815
24764,28010.995845
24809,30525.656971
24853,54344.932134
25007,18983.168855
26349,19081.218596
27109,7800.0
27114,16094.661126
27116,12003.298753
27157,10202.546422
27238,31636.652815
27509,27618.342241
27730,45664.661126
27734,23462.296422
27739,26363.949169
27742,12360.0
27912,34329.322252
27923,24208.490961
27947,22102.78546
28362,25950.676432
28441,40256.023822
28802,54410.780312
28859,11855.783239
28992,32093.30563
29140,42734.572188
29678,18957.5551
29680,39605.497922
29737,66889.280698
29742,39630.0
29798,29579.833783
29823,43940.0
31093,22251.279049
31220,59698.139086
31221,29707.330563
31246,38410.76093
31625,38353.707331
31652,49981.090315
31665,30822.816253
31671,33070.154955
31695,48710.995845
31724,90575.525285
31757,17556.448409
31799,31153.622179
31860,42927.019231
32034,21717.350597
32044,8982.5656971
32052,33234.319398
32057,49387.918908
32190,24236.652815
32318,18936.652815
32320,81824.660564
32471,11418.16435
32524,77592.458237
32556,21721.991689
32668,31725.290443
32703,13800.0
32709,89528.978289
32729,63461.280037
32734,23807.330563
32751,33239.62042
32765,58473.30563
32772,26883.264076
32810,10898.20363
32822,41347.64866
32839,26754.036498
32861,56207.363345
32887,48005.497922
33036,10400.0
33038,50316.385841
33275,45650.0
33303,39672.245495
33335,63608.059011
33336,21100.0
33348,37086.652815
33451,23447.64866
33455,30053.283686
33479,44829.322252
33644,16618.256916
33823,20413.136679
33839,14898.79647
33877,49620.596983
33882,22242.509285
33937,35909.958446
33985,85099.426607
33994,41716.186047
34059,41490.98242
34252,17451.673528
34732,28646.526062
34778,25017.523044
34825,58918.060167
34900,28035.801828
35005,36374.458622
35022,26202.192539
35032,77733.828102
35234,29822.460972
35319,29659.582336
35322,17135.937274
35323,16959.488268
35326,39696.611261
35340,6774.6611261
35349,17270.159048
35355,12074.824549
35370,10207.330563
35372,45600.276542
35374,27025.412219
35379,24218.326408
35502,8556.6528152
35507,46626.540662
35508,7307.330563
35518,31854.979223
35600,10813.561542
35640,35256.69912
35682,33040.543797
35788,28057.154074
35968,73910.075021
36067,43200.0
36130,40922.724745
36164,24854.244544
36186,17783.983378
36250,38812.828485
36321,46838.569949
36333,17502.565697
36378,46268.627968
36403,18470.202666
36409,65721.991689
36443,37700.27107
36450,66432.53383
36522,66147.197142
36524,52436.652815
36697,19501.367816
36893,37953.982942
37001,48175.656971
37011,51407.559746
37299,21200.0
37459,33113.516985
37521,26043.71306
37665,43007.927063
37677,33366.681589
37810,7700.0
38014,28296.783112
38095,39405.626646
38106,36032.766154
38135,6313.545708
38272,31850.032896
38316,66197.096199
38349,38103.857282
38554,48077.679013
38877,14364.133211
38885,34709.958446
38939,47809.628133
38940,36498.644504
38957,21901.832641
38979,21644.301475
38992,97466.165696
39056,41081.348835
39086,49861.25614
39095,29245.802712
39218,31364.982534
39227,18653.415891
39284,67698.60295
