nquest,nord,Y
173,1,35272.053703
375,1,14710.0
633,1,19005.161611
923,1,28554.301343
1367,1,10051.834907
1367,2,4290.0
1763,1,9934.1887872
1927,1,10538.602685
1946,1,12930.938058
2886,1,26976.162937
2886,2,22880.0
3717,1,4000.0
5416,1,10025.743402
5416,2,9000.0
5416,3,8000.0
5416,4,8000.0
7886,1,37797.826851
7886,2,7500.0
11972,1,21517.20537
11972,2,9100.0
20297,1,13869.578035
20297,2,6300.0
20711,1,4617.2053703
20711,2,24700.0
20837,1,40415.839089
20837,2,6500.0
21384,1,16644.937048
21384,3,6300.0
21461,1,14359.001426
22099,1,28211.512331
22169,1,5590.0
22169,2,6760.0
22173,1,15612.904028
22208,1,26296.39436
22276,1,19967.806129
22276,2,16650.0
22277,1,23116.90821
22277,2,15000.0
22286,1,19073.859733
22286,2,5200.0
22292,1,24988.714443
22292,2,20650.0
22624,1,7000.0
22657,1,28408.008364
22657,2,19000.0
22996,1,34847.44854
22996,2,4290.0
23370,1,15754.629536
23490,1,22297.887343
23797,1,22517.20537
23821,1,11591.860528
23823,1,16355.509843
23823,2,14000.0
23865,1,40500.0
24147,1,79300.437592
24147,2,21400.0
24149,1,9502.9040277
24194,1,34515.740277
24194,2,2000.0
24194,3,21000.0
24194,4,17900.0
24382,1,1293.1904343
24382,2,13000.0
24393,1,11308.508515
24616,1,23768.821481
24616,2,6760.0
24760,1,15908.602685
24764,1,6025.8080554
24764,2,19000.0
24809,1,18883.787509
24809,2,14300.0
24853,1,35886.026851
24853,2,19500.0
25007,1,19414.196916
25930,1,27205.472597
25930,2,5850.0
26048,1,48652.172781
26349,1,25987.513591
27109,1,12850.0
27114,1,22032.053703
27116,1,22751.616111
27123,1,25915.067128
27157,1,11862.137566
27157,2,6000.0
27238,1,30255.0
27238,2,13000.0
27509,1,14177.991435
27730,1,11413.284717
27730,2,19110.0
27730,4,15400.0
27734,1,3097.6546631
27734,2,15340.0
27734,3,14500.0
27739,1,21015.392061
27742,1,17593.227619
27742,2,9700.0
27912,1,23272.705119
27912,2,4550.0
27912,3,1400.0
27923,1,27811.278451
27923,4,490.0
27947,1,18282.690203
27947,2,7930.0
28100,1,28600.0
28362,1,38083.602685
28441,1,43351.11909
28802,1,58359.015198
28802,2,29200.0
28859,1,21240.251563
28992,1,43107.374677
29006,1,29622.084437
29006,2,8450.0
29140,1,27218.602685
29140,2,14014.0
29678,1,20347.314768
29680,1,18724.493505
29680,2,6000.0
29680,4,8000.0
29737,1,50159.94301
29737,2,22000.0
29742,1,30500.0
29742,2,22000.0
29742,3,10270.0
29742,4,9600.0
29798,1,27316.161108
29798,2,7800.0
29823,1,9908.6026851
